+--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+-----------------------+--------+---------+-----------------------+
| Bin#   |           ZZ           |         ttZ          |         Higgs         |         WZ          |         Other         |         Total         |  data  |  Ratio  |          WWZ          |
|--------+------------------------+----------------------+-----------------------+---------------------+-----------------------+-----------------------+--------+---------+-----------------------+
| Bin0   |         0 ± 0          |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |  0.002879 ± 0.001446   | 0.001567 ± 0.002714  |         0 ± 0         |        0 ± 0        | -0.001404 ± 0.001404  |  0.003042 ± 0.00338   | 0 ± 0  |  0 ± 0  | 0.0006411 ± 0.000142  |
| Bin2   |   0.01089 ± 0.002915   |  0.01724 ± 0.00683   |         0 ± 0         |  0.08172 ± 0.05779  |  0.001404 ± 0.001404  |   0.1113 ± 0.05828    | 0 ± 0  |  0 ± 0  | 0.008071 ± 0.0004768  |
| Bin3   |   0.02022 ± 0.003883   |  0.0141 ± 0.007515   |         0 ± 0         |        0 ± 0        | -0.001404 ± 0.003138  |  0.03292 ± 0.009022   | 0 ± 0  |  0 ± 0  |   0.03483 ± 0.06214   |
| Bin4   |   0.04067 ± 0.00559    |  0.01567 ± 0.008582  |         0 ± 0         |  0.04086 ± 0.04086  |  0.005614 ± 0.002807  |   0.1028 ± 0.04222    | 0 ± 0  |  0 ± 0  |   0.1601 ± 0.06214    |
| Bin5   |   0.06351 ± 0.006915   |   0.0235 ± 0.01074   |         0 ± 0         |        0 ± 0        | -0.002054 ± 0.005628  |   0.08495 ± 0.01396   | 0 ± 0  |  0 ± 0  |   0.2365 ± 0.07611    |
| Bin6   |   0.09267 ± 0.008372   |  0.05014 ± 0.01193   |         0 ± 0         |     0 ± 0.05779     |  0.001404 ± 0.003138  |   0.1442 ± 0.05968    | 0 ± 0  |  0 ± 0  |   0.3051 ± 0.08788    |
| Bin7   |   0.08785 ± 0.008239   |  0.04857 ± 0.01339   |   0.1051 ± 0.09622    |        0 ± 0        |   0.1126 ± 0.06426    |    0.3541 ± 0.1168    | 0 ± 0  |  0 ± 0  |   0.3203 ± 0.08788    |
| Bin8   |   0.1012 ± 0.008757    |  0.05798 ± 0.01357   |         0 ± 0         |  0.1226 ± 0.07077   |  0.001404 ± 0.003713  |   0.2832 ± 0.07269    | 0 ± 0  |  0 ± 0  |   0.1436 ± 0.001798   |
| Bin9   |   0.0993 ± 0.008725    |   0.07051 ± 0.0132   |   0.01874 ± 0.01325   |  0.04086 ± 0.04086  |   0.04267 ± 0.03722   |    0.2721 ± 0.059     | 0 ± 0  |  0 ± 0  |   0.2741 ± 0.07611    |
| Bin10  |   0.09703 ± 0.008628   |  0.05511 ± 0.01381   |         0 ± 0         |  0.1226 ± 0.07077   |  0.004211 ± 0.00506   |    0.2789 ± 0.0728    | 0 ± 0  |  0 ± 0  |   0.1767 ± 0.07611    |
| Bin11  |   0.07443 ± 0.007452   |   0.06268 ± 0.0133   | -0.009372 ± 0.009372  |  0.04086 ± 0.04086  |  0.005614 ± 0.00397   |   0.1742 ± 0.04478    | 0 ± 0  |  0 ± 0  |   0.1632 ± 0.04396    |
| Bin12  |   0.09025 ± 0.008311   |   0.06424 ± 0.0141   |   0.01874 ± 0.01325   |  0.04086 ± 0.07077  |  0.00777 ± 0.003539   |   0.2219 ± 0.07393    | 0 ± 0  |  0 ± 0  |    0.328 ± 0.09825    |
| Bin13  |   0.07279 ± 0.007476   |  0.07678 ± 0.01428   |  -0.07702 ± 0.09667   |  0.08172 ± 0.05779  |  0.005614 ± 0.002807  |    0.1599 ± 0.1138    | 0 ± 0  |  0 ± 0  |   0.1827 ± 0.08788    |
| Bin14  |   0.04275 ± 0.005687   |   0.07051 ± 0.0141   |   0.01874 ± 0.01325   |  0.04086 ± 0.04086  |   0.04408 ± 0.03724   |   0.2169 ± 0.05885    | 0 ± 0  |  0 ± 0  |    0.213 ± 0.07611    |
| Bin15  |   0.05919 ± 0.006734   |  0.06268 ± 0.01366   |   0.01874 ± 0.01874   |  0.04086 ± 0.04086  | -0.001404 ± 0.003138  |   0.1801 ± 0.04757    | 0 ± 0  |  0 ± 0  |   0.2885 ± 0.09824    |
| Bin16  |   0.03218 ± 0.004922   |  0.04544 ± 0.01283   |  0.009372 ± 0.009372  |        0 ± 0        | -0.001404 ± 0.003713  |   0.08559 ± 0.01704   | 0 ± 0  |  0 ± 0  |   0.1455 ± 0.06214    |
| Bin17  |   0.03432 ± 0.005137   |  0.04701 ± 0.01193   |  0.009372 ± 0.009372  |        0 ± 0        |  0.001404 ± 0.003713  |   0.0921 ± 0.01644    | 0 ± 0  |  0 ± 0  |   0.1368 ± 0.06214    |
| Bin18  |   0.01825 ± 0.003646   |  0.03761 ± 0.01108   |         0 ± 0         |  0.04086 ± 0.04086  |  0.00356 ± 0.003249   |   0.1003 ± 0.04262    | 0 ± 0  |  0 ± 0  |   0.1283 ± 0.06214    |
| Bin19  |   0.02357 ± 0.004255   |  0.05484 ± 0.01224   |         0 ± 0         |  0.04086 ± 0.04086  |   0.03986 ± 0.03711   |    0.1591 ± 0.0567    | 0 ± 0  |  0 ± 0  |   0.07672 ± 0.04394   |
