+--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |          ttZ          |         Higgs         |         WZ          |         Other         |         Total          |  data  | Ratio  |          WWZ           |
|--------+------------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |     58.8 ± 0.2069      |   0.1348 ± 0.01841    |    0.1915 ± 0.1354    |   0.1226 ± 0.1226   |  0.007018 ± 0.005565  |     59.26 ± 0.2767     | 0 ± 0  | 0 ± 0  |    0.5937 ± 0.1163     |
| Bin2   |     50.27 ± 0.1913     |   0.08931 ± 0.01724   |    0.1728 ± 0.2353    |  0.08172 ± 0.1001   |     0 ± 0.005955      |     50.62 ± 0.3199     | 0 ± 0  | 0 ± 0  |    0.4835 ± 0.09827    |
| Bin3   |     40.56 ± 0.1719     |   0.09088 ± 0.01841   |    0.2967 ± 0.2143    |  0.1634 ± 0.08172   |  0.007018 ± 0.004655  |     41.12 ± 0.2873     | 0 ± 0  | 0 ± 0  |    0.5654 ± 0.1163     |
| Bin4   |     30.87 ± 0.1499     |   0.08775 ± 0.01643   |   0.07702 ± 0.1664    |   0.131 ± 0.1859    |   0.07692 ± 0.05263   |     31.24 ± 0.2962     | 0 ± 0  | 0 ± 0  |    0.4853 ± 0.09827    |
| Bin5   |     22.78 ± 0.1288     |   0.1298 ± 0.01928    |  -0.01874 ± 0.01325   |  0.08172 ± 0.05779  |   0.03425 ± 0.03732   |     23.01 ± 0.1479     | 0 ± 0  | 0 ± 0  |    0.4018 ± 0.09827    |
| Bin6   |     15.72 ± 0.1069     |   0.08931 ± 0.01695   |    0.4112 ± 0.2351    |  0.04086 ± 0.04086  |   0.04127 ± 0.03735   |     16.3 ± 0.2647      | 0 ± 0  | 0 ± 0  |    0.8151 ± 0.1522     |
| Bin7   |    10.47 ± 0.08723     |   0.1191 ± 0.01854    |  -0.06765 ± 0.09713   |   0.2452 ± 0.1001   | -0.004211 ± 0.005436  |     10.76 ± 0.1656     | 0 ± 0  | 0 ± 0  |    0.5435 ± 0.1076     |
| Bin8   |    6.888 ± 0.07073     |   0.1128 ± 0.01745    |   0.09576 ± 0.09576   |  0.1226 ± 0.07077   |  0.008421 ± 0.005251  |     7.228 ± 0.1397     | 0 ± 0  | 0 ± 0  |    0.5788 ± 0.1318     |
| Bin9   |    4.304 ± 0.05585     |   0.1222 ± 0.01673    |    0.1915 ± 0.1361    |        0 ± 0        |  0.01058 ± 0.005319   |     4.629 ± 0.1481     | 0 ± 0  | 0 ± 0  |    0.3217 ± 0.0879     |
| Bin10  |     2.612 ± 0.0434     |   0.08931 ± 0.01752   |   0.02812 ± 0.01623   |   0.2452 ± 0.1001   |  0.004211 ± 0.003138  |     2.979 ± 0.1117     | 0 ± 0  | 0 ± 0  |    0.6621 ± 0.1457     |
| Bin11  |    1.656 ± 0.03466     |   0.1081 ± 0.01511    |    0.2009 ± 0.1358    |  0.08172 ± 0.05779  |  0.007119 ± 0.004595  |     2.054 ± 0.1524     | 0 ± 0  | 0 ± 0  |    0.2031 ± 0.06215    |
| Bin12  |     1.014 ± 0.0272     |   0.06111 ± 0.01393   |   0.02812 ± 0.01623   |        0 ± 0        |   0.03986 ± 0.03716   |    1.143 ± 0.05078     | 0 ± 0  | 0 ± 0  |    0.2925 ± 0.09824    |
| Bin13  |    0.5899 ± 0.02063    |   0.05798 ± 0.01302   |         0 ± 0         |     0 ± 0.05779     |  0.004211 ± 0.003713  |    0.6521 ± 0.06283    | 0 ± 0  | 0 ± 0  |    0.1284 ± 0.06214    |
| Bin14  |    0.3772 ± 0.01651    |   0.04857 ± 0.01183   |      0 ± 0.01325      |        0 ± 0        |  0.002156 ± 0.002931  |    0.4279 ± 0.02443    | 0 ± 0  | 0 ± 0  |   0.02096 ± 0.06213    |
| Bin15  |    0.2488 ± 0.01336    |   0.03134 ± 0.01015   |      0 ± 0.01325      |  0.04086 ± 0.04086  |  0.002807 ± 0.001985  |    0.3238 ± 0.04616    | 0 ± 0  | 0 ± 0  |    0.1428 ± 0.07609    |
| Bin16  |    0.1485 ± 0.01037    |  0.02037 ± 0.008724   | -0.009372 ± 0.009372  |        0 ± 0        |         0 ± 0         |    0.1595 ± 0.01648    | 0 ± 0  | 0 ± 0  |  0.005506 ± 0.000393   |
| Bin17  |   0.1106 ± 0.008935    |  0.02977 ± 0.008142   |         0 ± 0         | -0.04086 ± 0.04086  |         0 ± 0         |   0.09955 ± 0.04261    | 0 ± 0  | 0 ± 0  |  0.002482 ± 0.0002463  |
| Bin18  |   0.08244 ± 0.007737   |  0.01097 ± 0.006069   |         0 ± 0         |     0 ± 0.05779     |         0 ± 0         |   0.09341 ± 0.05862    | 0 ± 0  | 0 ± 0  |   0.08939 ± 0.06213    |
| Bin19  |   0.04893 ± 0.005996   |  0.01254 ± 0.004432   |         0 ± 0         | -0.04086 ± 0.04086  |         0 ± 0         |    0.0206 ± 0.04154    | 0 ± 0  | 0 ± 0  | 0.0009912 ± 0.0001934  |
