+--------+---------------------+-----------------------+----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
| Bin#   |         ZZ          |          ttZ          |        Higgs         |         WZ          |         Other         |        Total        |  data  | Ratio  |          WWZ          |
|--------+---------------------+-----------------------+----------------------+---------------------+-----------------------+---------------------+--------+--------+-----------------------+
| Bin0   |        0 ± 0        |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |   20.72 ± 0.1259    |  0.004701 ± 0.002714  |        0 ± 0         |        0 ± 0        |         0 ± 0         |    20.72 ± 0.126    | 0 ± 0  | 0 ± 0  |  0.01454 ± 0.0005361  |
| Bin2   |   34.45 ± 0.1615    |  0.003134 ± 0.004432  |        0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |   34.46 ± 0.1616    | 0 ± 0  | 0 ± 0  |   0.04719 ± 0.00104   |
| Bin3   |   30.25 ± 0.1502    |   0.0141 ± 0.00565    |   0.2873 ± 0.1664    |     0 ± 0.05779     |     0 ± 0.002807      |   30.55 ± 0.2316    | 0 ± 0  | 0 ± 0  |   0.1598 ± 0.06214    |
| Bin4   |   24.84 ± 0.1352    |   0.0188 ± 0.007676   | 0.009372 ± 0.009372  |  0.1634 ± 0.08172   |  0.004963 ± 0.003539  |   25.03 ± 0.1585    | 0 ± 0  | 0 ± 0  |  0.09813 ± 0.001391   |
| Bin5   |    20.1 ± 0.1209    |  0.01254 ± 0.007676   |  0.09576 ± 0.09576   |  0.04086 ± 0.04086  |  0.005614 ± 0.00397   |   20.25 ± 0.1598    | 0 ± 0  | 0 ± 0  |    0.17 ± 0.04396     |
| Bin6   |   16.67 ± 0.1096    |   0.03447 ± 0.01015   |        0 ± 0         |  0.08172 ± 0.1001   |  0.004211 ± 0.003713  |   16.79 ± 0.1488    | 0 ± 0  | 0 ± 0  |   0.3193 ± 0.08788    |
| Bin7   |   13.43 ± 0.09783   |  0.03447 ± 0.008291   |  -0.08639 ± 0.1661   |     0 ± 0.05779     |   0.1126 ± 0.06426    |   13.49 ± 0.2114    | 0 ± 0  | 0 ± 0  |   0.3743 ± 0.09825    |
| Bin8   |   11.21 ± 0.08912   |  0.04231 ± 0.009531   |   0.1051 ± 0.09713   |  0.04086 ± 0.07077  |  0.001404 ± 0.003138  |     11.4 ± 0.15     | 0 ± 0  | 0 ± 0  |   0.2475 ± 0.06215    |
| Bin9   |   9.384 ± 0.08127   |   0.03761 ± 0.01063   |  0.08639 ± 0.09622   |  0.08172 ± 0.05779  |  0.00777 ± 0.004934   |   9.597 ± 0.1391    | 0 ± 0  | 0 ± 0  |    0.208 ± 0.04397    |
| Bin10  |   7.903 ± 0.07423   |   0.05393 ± 0.0124    |  -0.1145 ± 0.09667   |  0.08172 ± 0.05779  |  0.007018 ± 0.004211  |   7.931 ± 0.1355    | 0 ± 0  | 0 ± 0  |    0.29 ± 0.07611     |
| Bin11  |   6.793 ± 0.06867   |   0.0282 ± 0.01039    |  0.09576 ± 0.09576   |  0.08172 ± 0.05779  |     0 ± 0.003438      |   6.998 ± 0.1317    | 0 ± 0  | 0 ± 0  |   0.2404 ± 0.06216    |
| Bin12  |   5.924 ± 0.06395   |   0.04857 ± 0.01183   |        0 ± 0         |  0.04086 ± 0.07077  |   0.03846 ± 0.03719   |   6.052 ± 0.1031    | 0 ± 0  | 0 ± 0  |   0.3633 ± 0.09825    |
| Bin13  |   4.968 ± 0.05833   |   0.03604 ± 0.01003   |  0.09576 ± 0.09576   |        0 ± 0        |  0.001404 ± 0.002431  |   5.101 ± 0.1126    | 0 ± 0  | 0 ± 0  |   0.3081 ± 0.08788    |
| Bin14  |   4.427 ± 0.05508   |   0.04544 ± 0.01204   |   0.1145 ± 0.09667   |  0.04086 ± 0.04086  |   0.03425 ± 0.03716   |   4.662 ± 0.1248    | 0 ± 0  | 0 ± 0  |   0.2517 ± 0.09825    |
| Bin15  |   3.79 ± 0.05085    |   0.04701 ± 0.01173   |   0.2967 ± 0.1667    |     0 ± 0.05779     |  0.007018 ± 0.003138  |    4.14 ± 0.184     | 0 ± 0  | 0 ± 0  |   0.1514 ± 0.04396    |
| Bin16  |   3.402 ± 0.04821   |   0.04701 ± 0.0113    |   0.1915 ± 0.1354    |        0 ± 0        |  0.006367 ± 0.004294  |   3.647 ± 0.1443    | 0 ± 0  | 0 ± 0  |    0.228 ± 0.07611    |
| Bin17  |   2.895 ± 0.04448   |   0.04387 ± 0.01173   |  -0.09576 ± 0.09576  |        0 ± 0        |      0 ± 0.00397      |   2.843 ± 0.1063    | 0 ± 0  | 0 ± 0  |   0.1313 ± 0.04396    |
| Bin18  |   2.597 ± 0.04222   |   0.04074 ± 0.01063   |   0.1822 ± 0.1358    |  0.08172 ± 0.05779  |  0.002807 ± 0.001985  |   2.904 ± 0.1538    | 0 ± 0  | 0 ± 0  |   0.2081 ± 0.07611    |
| Bin19  |   2.281 ± 0.03962   |   0.06111 ± 0.01162   |        0 ± 0         |  0.04086 ± 0.04086  |  0.00356 ± 0.004294   |   2.386 ± 0.05825   | 0 ± 0  | 0 ± 0  |   0.2051 ± 0.07611    |
