+--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs         |         WZ          |         Other         |        Total         |  data  |  Ratio  |          WWZ          |
|--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0         |
| Bin1   |    24.5 ± 0.1345     | 0.004701 ± 0.004146  |        0 ± 0         |        0 ± 0        |         0 ± 0         |    24.51 ± 0.1345    | 0 ± 0  |  0 ± 0  |  0.03084 ± 0.0008633  |
| Bin2   |    51.92 ± 0.1951    |  0.0188 ± 0.007349   |   0.2873 ± 0.1659    |  0.1634 ± 0.08172   |  0.005614 ± 0.002807  |    52.4 ± 0.2689     | 0 ± 0  |  0 ± 0  |    0.223 ± 0.07611    |
| Bin3   |    51.88 ± 0.1944    |  0.02194 ± 0.007676  |  0.009372 ± 0.1358   | -0.04086 ± 0.04086  | -0.004211 ± 0.003138  |    51.87 ± 0.2407    | 0 ± 0  |  0 ± 0  |   0.2313 ± 0.06216    |
| Bin4   |    41.09 ± 0.1725    |   0.03447 ± 0.0113   |   0.2779 ± 0.2143    |  0.08172 ± 0.05779  | -0.001404 ± 0.003138  |    41.48 ± 0.2814    | 0 ± 0  |  0 ± 0  |   0.2722 ± 0.06216    |
| Bin5   |    28.95 ± 0.1446    |  0.05954 ± 0.01273   |    0.1915 ± 0.192    |  0.08172 ± 0.05779  |   0.03846 ± 0.0373    |    29.32 ± 0.2503    | 0 ± 0  |  0 ± 0  |    0.4858 ± 0.1076    |
| Bin6   |    18.92 ± 0.1167    |   0.04231 ± 0.0132   |   0.1145 ± 0.1664    |  0.08172 ± 0.1001   |     0 ± 0.002807      |    19.16 ± 0.227     | 0 ± 0  |  0 ± 0  |   0.4107 ± 0.08789    |
| Bin7   |   11.92 ± 0.09284    |  0.08148 ± 0.01436   |     0 ± 0.01325      |  0.1226 ± 0.09137   |  0.007018 ± 0.006118  |    12.14 ± 0.1319    | 0 ± 0  |  0 ± 0  |   0.2399 ± 0.002395   |
| Bin8   |   7.078 ± 0.07137    |  0.06268 ± 0.01401   |  0.01874 ± 0.01325   |  0.08172 ± 0.08172  |   0.04267 ± 0.03745   |    7.284 ± 0.1164    | 0 ± 0  |  0 ± 0  |    0.6243 ± 0.1318    |
| Bin9   |   4.225 ± 0.05517    |  0.07364 ± 0.01478   |  0.09576 ± 0.09576   |   0.2536 ± 0.1903   |  0.01404 ± 0.004862   |    4.662 ± 0.2206    | 0 ± 0  |  0 ± 0  |    0.425 ± 0.1163     |
| Bin10  |    2.637 ± 0.0437    |  0.08527 ± 0.01556   |  -0.09576 ± 0.09667  |  0.1226 ± 0.07077   |  0.01058 ± 0.005319   |    2.759 ± 0.1286    | 0 ± 0  |  0 ± 0  |   0.2735 ± 0.08789    |
| Bin11  |    1.631 ± 0.0344    |   0.0931 ± 0.01595   |   0.2009 ± 0.1358    |  0.2043 ± 0.09137   |     0 ± 0.002807      |    2.129 ± 0.168     | 0 ± 0  |  0 ± 0  |   0.3376 ± 0.08789    |
| Bin12  |   0.931 ± 0.02599    |  0.07521 ± 0.01486   |  0.08639 ± 0.09622   |  0.04086 ± 0.04086  |  0.002807 ± 0.005614  |    1.136 ± 0.1089    | 0 ± 0  |  0 ± 0  |   0.3592 ± 0.09825    |
| Bin13  |   0.5667 ± 0.02039   |  0.06268 ± 0.01348   |  0.09576 ± 0.09576   |        0 ± 0        |  0.002807 ± 0.003438  |   0.7279 ± 0.09889   | 0 ± 0  |  0 ± 0  |   0.2934 ± 0.08788    |
| Bin14  |   0.4023 ± 0.01727   |  0.09245 ± 0.01511   |   0.1051 ± 0.1667    | -0.04086 ± 0.04086  |  0.004211 ± 0.004211  |   0.5633 ± 0.1732    | 0 ± 0  |  0 ± 0  |   0.1857 ± 0.06215    |
| Bin15  |   0.2505 ± 0.01357   |  0.05484 ± 0.01393   |  -0.01874 ± 0.01325  |  0.04086 ± 0.04086  |   0.07973 ± 0.05248   |   0.4072 ± 0.07055   | 0 ± 0  |  0 ± 0  |   0.1695 ± 0.06215    |
| Bin16  |   0.1589 ± 0.01083   |  0.03761 ± 0.01311   |  0.009372 ± 0.01623  |  0.04086 ± 0.04086  |     0 ± 0.002807      |   0.2467 ± 0.04722   | 0 ± 0  |  0 ± 0  |   0.2001 ± 0.07611    |
| Bin17  |   0.114 ± 0.009245   |  0.06581 ± 0.01292   |   0.1051 ± 0.09622   |  0.04086 ± 0.04086  |   0.03565 ± 0.03714   |   0.3615 ± 0.1121    | 0 ± 0  |  0 ± 0  |   0.1031 ± 0.04396    |
| Bin18  |  0.07575 ± 0.00753   |  0.04701 ± 0.01063   |  0.009372 ± 0.01623  |  0.04086 ± 0.07077  |  0.001505 ± 0.003638  |   0.1745 ± 0.07386   | 0 ± 0  |  0 ± 0  |   0.1355 ± 0.06214    |
