+--------+------------------+---------------------+----------------------+---------------------+-----------------------+------------------+--------+--------+---------------------+
| Bin#   |        ZZ        |         ttZ         |        Higgs         |         WZ          |         Other         |      Total       |  data  | Ratio  |         WWZ         |
|--------+------------------+---------------------+----------------------+---------------------+-----------------------+------------------+--------+--------+---------------------+
| Bin0   |      0 ± 0       |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |        0 ± 0        |
| Bin1   |      0 ± 0       |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |        0 ± 0        |
| Bin2   |      0 ± 0       |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |        0 ± 0        |
| Bin3   |      0 ± 0       |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |        0 ± 0        |
| Bin4   |  11.5 ± 0.09241  |  0.03983 ± 0.0125   |   0.1051 ± 0.09713   |  0.08172 ± 0.05779  |     0 ± 0.003438      |  11.73 ± 0.1466  | 0 ± 0  | 0 ± 0  |  0.3144 ± 0.06217   |
| Bin5   |  23.57 ± 0.1312  |   0.105 ± 0.01621   |   0.2009 ± 0.2351    |   0.286 ± 0.1226    |   0.05325 ± 0.03791   |  24.22 ± 0.2987  | 0 ± 0  | 0 ± 0  |   0.4955 ± 0.0622   |
| Bin6   |  30.72 ± 0.1491  |  0.1103 ± 0.01974   |   0.4788 ± 0.2541    |   0.2452 ± 0.1001   |   0.04688 ± 0.03777   |   31.6 ± 0.314   | 0 ± 0  | 0 ± 0  |  0.5764 ± 0.08791   |
| Bin7   |  28.93 ± 0.1445  |   0.116 ± 0.01787   |    0.383 ± 0.192     |  0.1226 ± 0.09137   |  0.002909 ± 0.006541  |  29.55 ± 0.2578  | 0 ± 0  | 0 ± 0  |   0.6056 ± 0.1076   |
| Bin8   |  26.85 ± 0.1392  |  0.09871 ± 0.01752  |   0.2103 ± 0.1361    |  0.04086 ± 0.09137  |  0.004211 ± 0.00506   |  27.21 ± 0.2158  | 0 ± 0  | 0 ± 0  |   0.5507 ± 0.1076   |
| Bin9   |  23.46 ± 0.1303  |   0.1097 ± 0.0188   |  -0.08639 ± 0.09713  |  0.04086 ± 0.09137  |      0 ± 0.00397      |  23.53 ± 0.1874  | 0 ± 0  | 0 ± 0  |   0.361 ± 0.07613   |
| Bin10  |  18.95 ± 0.1172  |  0.1269 ± 0.01834   |   0.1822 ± 0.1922    |     0 ± 0.08172     | -0.001404 ± 0.003138  |  19.25 ± 0.2402  | 0 ± 0  | 0 ± 0  |   0.6705 ± 0.1584   |
| Bin11  |  15.19 ± 0.1049  |  0.09871 ± 0.01621  |  0.09576 ± 0.09576   |  0.04086 ± 0.07077  |   0.03846 ± 0.03714   |  15.47 ± 0.1638  | 0 ± 0  | 0 ± 0  |   0.3708 ± 0.1163   |
| Bin12  | 11.86 ± 0.09269  |  0.08305 ± 0.01559  | -0.009372 ± 0.01623  |  0.1226 ± 0.07077   |   0.03846 ± 0.03735   |  12.09 ± 0.1245  | 0 ± 0  | 0 ± 0  |  0.2054 ± 0.06216   |
| Bin13  | 9.418 ± 0.08277  |  0.06111 ± 0.01445  |        0 ± 0         |  0.04086 ± 0.04086  |  0.004963 ± 0.002931  | 9.525 ± 0.09348  | 0 ± 0  | 0 ± 0  |  0.2728 ± 0.08788   |
| Bin14  | 7.503 ± 0.07393  |  0.05954 ± 0.01366  |  0.09576 ± 0.09576   |   0.2536 ± 0.1813   |  0.002807 ± 0.001985  |  7.915 ± 0.2184  | 0 ± 0  | 0 ± 0  |  0.2522 ± 0.08788   |
| Bin15  |  6.07 ± 0.06656  |  0.06424 ± 0.01339  |  -0.09576 ± 0.09576  |  0.04086 ± 0.04086  |  0.002807 ± 0.001985  |  6.083 ± 0.1243  | 0 ± 0  | 0 ± 0  | 0.06182 ± 0.001464  |
| Bin16  | 4.936 ± 0.06001  |  0.06581 ± 0.01234  |        0 ± 0         |  0.04086 ± 0.04086  |  0.000651 ± 0.002931  |  5.043 ± 0.0737  | 0 ± 0  | 0 ± 0  |  0.09446 ± 0.04395  |
| Bin17  | 3.991 ± 0.05406  |  0.04231 ± 0.01097  | 0.009372 ± 0.009372  |        0 ± 0        |  0.001404 ± 0.003138  | 4.044 ± 0.05604  | 0 ± 0  | 0 ± 0  |   0.1709 ± 0.0761   |
| Bin18  | 3.363 ± 0.04971  | 0.03447 ± 0.009659  | 0.009372 ± 0.009372  | -0.04086 ± 0.04086  |   0.04062 ± 0.03715   | 3.407 ± 0.07551  | 0 ± 0  | 0 ± 0  |   0.1659 ± 0.0761   |
| Bin19  | 2.769 ± 0.04515  |  0.05014 ± 0.00991  |        0 ± 0         |        0 ± 0        |         0 ± 0         | 2.819 ± 0.04622  | 0 ± 0  | 0 ± 0  |  0.2021 ± 0.08787   |
| Bin20  |  2.35 ± 0.04163  |  0.0282 ± 0.009136  |        0 ± 0         |  0.04086 ± 0.04086  | -0.001404 ± 0.001404  | 2.417 ± 0.05906  | 0 ± 0  | 0 ± 0  |  0.0217 ± 0.000848  |
