+--------+------------------+---------------------+-----------------------+--------------------+-----------------------+------------------+--------+--------+--------------------+
| Bin#   |        ZZ        |         ttZ         |         Higgs         |         WZ         |         Other         |      Total       |  data  | Ratio  |        WWZ         |
|--------+------------------+---------------------+-----------------------+--------------------+-----------------------+------------------+--------+--------+--------------------+
| Bin0   |      0 ± 0       |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin1   |      0 ± 0       |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin2   |      0 ± 0       |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin3   |  7.929 ± 0.0774  |  0.01724 ± 0.00646  |    0.1915 ± 0.1354    |    0 ± 0.08172     |     0 ± 0.001985      |  8.138 ± 0.1762  | 0 ± 0  | 0 ± 0  | 0.2687 ± 0.002686  |
| Bin4   | 6.071 ± 0.06756  | 0.02507 ± 0.007676  |   0.1051 ± 0.09622    |  0.1226 ± 0.07077  | -0.003458 ± 0.003539  |  6.32 ± 0.1375   | 0 ± 0  | 0 ± 0  | 0.3391 ± 0.003038  |
| Bin5   |  5.035 ± 0.0614  | 0.03761 ± 0.008582  |    0.4112 ± 0.1922    | 0.04086 ± 0.04086  |  0.001404 ± 0.003138  |  5.526 ± 0.2061  | 0 ± 0  | 0 ± 0  |  0.6267 ± 0.1077   |
| Bin6   | 4.926 ± 0.06042  | 0.02729 ± 0.009869  |    0.1822 ± 0.1922    |  0.1226 ± 0.07077  |  0.002807 ± 0.001985  |  5.261 ± 0.2138  | 0 ± 0  | 0 ± 0  | 0.3659 ± 0.003094  |
| Bin7   | 5.526 ± 0.06407  |  0.04231 ± 0.01074  |  0.009372 ± 0.01623   |  0.1226 ± 0.07077  |  0.002807 ± 0.003438  | 5.703 ± 0.09749  | 0 ± 0  | 0 ± 0  |  0.4339 ± 0.0622   |
| Bin8   | 6.906 ± 0.07148  |  0.05327 ± 0.01173  |    0.1915 ± 0.1361    |    0 ± 0.05779     |  0.008421 ± 0.00397   |  7.159 ± 0.1647  | 0 ± 0  | 0 ± 0  |  0.4099 ± 0.0622   |
| Bin9   | 8.134 ± 0.07744  |  0.04701 ± 0.01193  |  -0.009372 ± 0.01623  | 0.04086 ± 0.04086  |   0.03565 ± 0.03735   |  8.248 ± 0.0973  | 0 ± 0  | 0 ± 0  |  0.3683 ± 0.06219  |
| Bin10  |  9.539 ± 0.0835  |  0.05798 ± 0.01375  |      0 ± 0.1354       | 0.04086 ± 0.09137  |   0.04763 ± 0.03749   |  9.686 ± 0.1878  | 0 ± 0  | 0 ± 0  |  0.3445 ± 0.07613  |
| Bin11  | 11.96 ± 0.09311  |  0.09088 ± 0.01486  |    0.01874 ± 0.192    |  0.3353 ± 0.1903   |  0.005614 ± 0.004862  |  12.41 ± 0.2863  | 0 ± 0  | 0 ± 0  |  0.3285 ± 0.1076   |
| Bin12  |  17.54 ± 0.1123  |  0.08305 ± 0.01511  |    0.1728 ± 0.1361    | 0.08172 ± 0.08172  |  0.006367 ± 0.007341  |  17.88 ± 0.1952  | 0 ± 0  | 0 ± 0  |  0.1766 ± 0.06215  |
| Bin13  |  31.17 ± 0.1491  |  0.06894 ± 0.01311  | -0.009372 ± 0.009372  | 0.04086 ± 0.04086  |   0.03706 ± 0.03748   |  31.31 ± 0.1599  | 0 ± 0  | 0 ± 0  |  0.3996 ± 0.1243   |
| Bin14  |  31.86 ± 0.1505  |  0.02572 ± 0.01159  |    0.1915 ± 0.1354    | 0.08172 ± 0.05779  |   0.04623 ± 0.03736   |  32.21 ± 0.2141  | 0 ± 0  | 0 ± 0  |  0.1027 ± 0.06213  |
| Bin15  |      0 ± 0       |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin16  |      0 ± 0       |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin17  | 5.891 ± 0.06468  | 0.01097 ± 0.004146  |         0 ± 0         |       0 ± 0        |  0.002807 ± 0.001985  | 5.905 ± 0.06484  | 0 ± 0  | 0 ± 0  | 0.04485 ± 0.04393  |
| Bin18  |  27.01 ± 0.1391  |  0.05171 ± 0.0132   |         0 ± 0         | 0.08172 ± 0.08172  |  0.002807 ± 0.00397   |  27.15 ± 0.1619  | 0 ± 0  | 0 ± 0  |  0.1824 ± 0.08786  |
| Bin19  |  13.94 ± 0.1005  |  0.05798 ± 0.01244  |  0.009372 ± 0.009372  | 0.04086 ± 0.07077  |  0.001404 ± 0.003138  |  14.05 ± 0.1239  | 0 ± 0  | 0 ± 0  |  0.1814 ± 0.08786  |
| Bin20  | 8.894 ± 0.08042  |  0.03604 ± 0.01097  |         0 ± 0         | 0.04086 ± 0.04086  |  0.001404 ± 0.002431  |  8.973 ± 0.0909  | 0 ± 0  | 0 ± 0  |  0.1368 ± 0.07609  |
| Bin21  |  45.37 ± 0.184   |   0.738 ± 0.04646   |    0.1332 ± 0.2158    |  0.1634 ± 0.1292   |   0.04483 ± 0.03751   |  46.45 ± 0.3173  | 0 ± 0  | 0 ± 0  |   1.673 ± 0.2881   |
+--------+------------------+---------------------+-----------------------+--------------------+-----------------------+------------------+--------+--------+--------------------+
