+--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs         |         WZ          |         Other         |         Total          |  data  | Ratio  |          WWZ           |
|--------+------------------------+-----------------------+----------------------+---------------------+-----------------------+------------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |         0 ± 0          | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |   0.1086 ± 0.007998    |   0.1673 ± 0.02196    | -0.003175 ± 0.01124  |  0.02718 ± 0.03118  | -0.002593 ± 0.003237  |    0.2974 ± 0.04068    | 0 ± 0  | 0 ± 0  |    0.4951 ± 0.1443     |
| Bin2   |   0.09849 ± 0.007739   |   0.1098 ± 0.02131    |   0.1038 ± 0.09907   |  0.2488 ± 0.09744   |  0.001621 ± 0.002885  |    0.5625 ± 0.1408     | 0 ± 0  | 0 ± 0  |    0.2755 ± 0.1375     |
| Bin3   |   0.0883 ± 0.007303    |   0.1589 ± 0.02093    | 0.006836 ± 0.006836  |  0.1518 ± 0.06152   |  0.01111 ± 0.004585   |    0.4169 ± 0.06591    | 0 ± 0  | 0 ± 0  |   0.09916 ± 0.08717    |
| Bin4   |   0.07762 ± 0.006862   |   0.1584 ± 0.02282    |  0.01874 ± 0.01325   |  0.2034 ± 0.08747   |   0.04235 ± 0.03546   |    0.5005 ± 0.09824    | 0 ± 0  | 0 ± 0  |    0.4919 ± 0.1574     |
| Bin5   |    0.8477 ± 0.02269    |   0.2457 ± 0.02827    |    0.306 ± 0.1624    |  0.1429 ± 0.06262   |   0.05509 ± 0.03535   |     1.597 ± 0.1813     | 0 ± 0  | 0 ± 0  |     1.206 ± 0.1743     |
| Bin6   |    0.5724 ± 0.01856    |   0.2873 ± 0.02968    |   0.1165 ± 0.08708   |   0.1535 ± 0.1111   |   0.1323 ± 0.07047    |     1.262 ± 0.1616     | 0 ± 0  | 0 ± 0  |     1.463 ± 0.1914     |
| Bin7   |    0.3053 ± 0.01357    |    0.269 ± 0.02844    |   0.2175 ± 0.1299    |  0.07556 ± 0.08766  |   0.07999 ± 0.05306   |    0.9473 ± 0.1684     | 0 ± 0  | 0 ± 0  |     1.105 ± 0.1566     |
| Bin8   |    0.1825 ± 0.01054    |   0.2775 ± 0.02846    |  -0.0508 ± 0.09825   |  0.1523 ± 0.08509   |   0.1875 ± 0.08216    |     0.749 ± 0.1567     | 0 ± 0  | 0 ± 0  |     1.162 ± 0.1573     |
| Bin9   |   0.1212 ± 0.008531    |    0.285 ± 0.02898    |  0.02812 ± 0.02223   |   0.2656 ± 0.1527   |   0.05096 ± 0.03575   |    0.7508 ± 0.1612     | 0 ± 0  | 0 ± 0  |     1.078 ± 0.1693     |
| Bin10  |   0.06759 ± 0.006398   |    0.2162 ± 0.0276    |  -0.07018 ± 0.09788  |  0.1304 ± 0.07568   |    0.162 ± 0.07862    |     0.506 ± 0.1493     | 0 ± 0  | 0 ± 0  |    0.9173 ± 0.1517     |
| Bin11  |   0.04894 ± 0.005408   |   0.2308 ± 0.02546    |  -0.00205 ± 0.01641  |   0.2397 ± 0.135    |   0.04972 ± 0.0466    |    0.5671 ± 0.1461     | 0 ± 0  | 0 ± 0  |     0.6485 ± 0.144     |
| Bin12  |   0.04578 ± 0.005359   |   0.1923 ± 0.02329    |  0.02399 ± 0.01425   |  0.08138 ± 0.05079  |  0.002694 ± 0.004264  |    0.3462 ± 0.05807    | 0 ± 0  | 0 ± 0  |    0.5464 ± 0.1456     |
| Bin13  |   0.02584 ± 0.003827   |   0.1683 ± 0.02205    |  0.01144 ± 0.008121  |        0 ± 0        |   0.04034 ± 0.03459   |    0.2459 ± 0.04199    | 0 ± 0  | 0 ± 0  |     0.2594 ± 0.108     |
| Bin14  |   0.02135 ± 0.003498   |    0.13 ± 0.01989     |   0.0105 ± 0.01219   | -0.01334 ± 0.03016  |   0.00453 ± 0.00356   |    0.153 ± 0.03846     | 0 ± 0  | 0 ± 0  |    0.1285 ± 0.06005    |
| Bin15  |   0.02484 ± 0.003874   |   0.09116 ± 0.01688   |  0.01239 ± 0.01148   |  0.06779 ± 0.04894  |   0.00122 ± 0.00122   |    0.1974 ± 0.05318    | 0 ± 0  | 0 ± 0  |    0.1545 ± 0.0761     |
| Bin16  |   0.02006 ± 0.00353    |   0.07518 ± 0.0139    |     0 ± 0.008764     |   0.0108 ± 0.0108   |   0.07493 ± 0.05118   |    0.181 ± 0.05494     | 0 ± 0  | 0 ± 0  |    0.1427 ± 0.0744     |
| Bin17  |   0.01177 ± 0.002666   |   0.03774 ± 0.0107    |        0 ± 0         |        0 ± 0        |         0 ± 0         |   0.04951 ± 0.01102    | 0 ± 0  | 0 ± 0  |    0.1352 ± 0.07424    |
| Bin18  |   0.01152 ± 0.002674   |  0.01906 ± 0.008028   | 0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         |   0.03678 ± 0.01049    | 0 ± 0  | 0 ± 0  |   0.04535 ± 0.04245    |
