+--------+---------------------+----------------------+----------------------+----------------------+----------------------+-------------------+--------+--------+-------------------+
| Bin#   |         ZZ          |         ttZ          |        Higgs         |          WZ          |        Other         |       Total       |  data  | Ratio  |        WWZ        |
|--------+---------------------+----------------------+----------------------+----------------------+----------------------+-------------------+--------+--------+-------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin1   |        0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin2   |        0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin3   |        0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0         |        0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin4   | 0.02478 ± 0.003902  | 0.009638 ± 0.003942  | 0.006836 ± 0.006836  |  0.05107 ± 0.04185   |  0.03643 ± 0.03527   | 0.1288 ± 0.05543  | 0 ± 0  | 0 ± 0  | 0.1163 ± 0.06213  |
| Bin5   | 0.08436 ± 0.007065  |  0.03397 ± 0.01134   | 0.005248 ± 0.005248  |  0.02718 ± 0.01922   |   0.116 ± 0.06426    | 0.2667 ± 0.06859  | 0 ± 0  | 0 ± 0  | 0.2233 ± 0.07526  |
| Bin6   |  0.1675 ± 0.01002   |  0.09335 ± 0.01667   | 0.009372 ± 0.009372  |   0.1903 ± 0.09058   | 0.009737 ± 0.005393  | 0.4702 ± 0.09327  | 0 ± 0  | 0 ± 0  |  0.508 ± 0.1162   |
| Bin7   |  0.3176 ± 0.01391   |   0.1986 ± 0.02377   |  0.04276 ± 0.01624   |   0.1518 ± 0.07141   |   0.2256 ± 0.09503   |  0.9363 ± 0.1231  | 0 ± 0  | 0 ± 0  |  0.9358 ± 0.1702  |
| Bin8   |  0.3124 ± 0.01379   |   0.2563 ± 0.02708   |   0.1101 ± 0.08855   |   0.1904 ± 0.1292    |   0.2121 ± 0.09056   |  1.081 ± 0.1835   | 0 ± 0  | 0 ± 0  |  0.7066 ± 0.1442  |
| Bin9   |  0.2676 ± 0.01282   |   0.3051 ± 0.02967   |  0.01444 ± 0.01889   |    0.257 ± 0.1183    |  0.08136 ± 0.05174   |  0.9254 ± 0.1344  | 0 ± 0  | 0 ± 0  |  0.8128 ± 0.138   |
| Bin10  |  0.2294 ± 0.01181   |    0.1862 ± 0.026    |   0.1242 ± 0.08741   |   0.1244 ± 0.08863   |  0.01868 ± 0.007363  |  0.683 ± 0.1279   | 0 ± 0  | 0 ± 0  |  0.9489 ± 0.1735  |
| Bin11  |  0.1892 ± 0.01069   |   0.2228 ± 0.02675   |   0.0105 ± 0.02122   |   0.2028 ± 0.08646   |   0.0706 ± 0.05081   |  0.6959 ± 0.1065  | 0 ± 0  | 0 ± 0  |  0.6391 ± 0.1236  |
| Bin12  |  0.1749 ± 0.01028   |   0.1911 ± 0.02403   |  -0.09195 ± 0.09686  |   0.113 ± 0.07687    |  0.00423 ± 0.004633  |  0.3913 ± 0.1265  | 0 ± 0  | 0 ± 0  |  0.5184 ± 0.1237  |
| Bin13  |  0.1408 ± 0.009105  |   0.1849 ± 0.02301   |   0.108 ± 0.08695    |  0.09785 ± 0.07746   |  0.01322 ± 0.005491  |  0.5449 ± 0.1192  | 0 ± 0  | 0 ± 0  |  0.3455 ± 0.1134  |
| Bin14  |  0.122 ± 0.008654   |   0.1272 ± 0.02198   |  0.02146 ± 0.01273   |   0.1324 ± 0.06294   |  0.01193 ± 0.004778  |  0.415 ± 0.06859  | 0 ± 0  | 0 ± 0  |  0.4497 ± 0.1057  |
| Bin15  | 0.09358 ± 0.007549  |   0.1606 ± 0.02145   |  0.09576 ± 0.09625   |  -0.04365 ± 0.04838  |  0.00802 ± 0.004186  |  0.3143 ± 0.1102  | 0 ± 0  | 0 ± 0  | 0.3396 ± 0.08793  |
| Bin16  | 0.07613 ± 0.006757  |   0.1231 ± 0.02014   |  -0.07177 ± 0.09682  |  0.09497 ± 0.06669   |  0.04077 ± 0.03466   |  0.2632 ± 0.1244  | 0 ± 0  | 0 ± 0  |  0.4928 ± 0.1248  |
| Bin17  | 0.06421 ± 0.006231  |   0.1035 ± 0.01775   | 0.006197 ± 0.006197  |  0.01359 ± 0.01359   |  0.00244 ± 0.004371  |  0.19 ± 0.02442   | 0 ± 0  | 0 ± 0  |   0.55 ± 0.138    |
| Bin18  | 0.05082 ± 0.005433  |   0.09276 ± 0.018    | 0.009372 ± 0.009372  |   0.04365 ± 0.0444   |  0.03643 ± 0.03546   |  0.233 ± 0.06058  | 0 ± 0  | 0 ± 0  | 0.1005 ± 0.06323  |
| Bin19  | 0.04124 ± 0.004876  |   0.1049 ± 0.01735   | 0.006836 ± 0.006836  | -0.008011 ± 0.02045  | 0.003309 ± 0.002367  |  0.1483 ± 0.0282  | 0 ± 0  | 0 ± 0  | 0.2145 ± 0.07531  |
