+--------+----------------------+---------------------+-----------------------+---------------------+-----------------------+--------------------+--------+--------+----------------------+
| Bin#   |          ZZ          |         ttZ         |         Higgs         |         WZ          |         Other         |       Total        |  data  | Ratio  |         WWZ          |
|--------+----------------------+---------------------+-----------------------+---------------------+-----------------------+--------------------+--------+--------+----------------------+
| Bin0   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin1   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin2   |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin3   |   0.4386 ± 0.01614   |  0.3585 ± 0.03249   |   0.08724 ± 0.03192   |  0.1622 ± 0.09917   |    0.3402 ± 0.1133    |   1.387 ± 0.1581   | 0 ± 0  | 0 ± 0  |    1.119 ± 0.1686    |
| Bin4   |   0.5986 ± 0.01902   |  0.5559 ± 0.03846   |    0.1463 ± 0.1639    |   0.5797 ± 0.1728   |   0.1288 ± 0.06243    |    2.009 ± 0.25    | 0 ± 0  | 0 ± 0  |    1.583 ± 0.199     |
| Bin5   |   0.5845 ± 0.01896   |  0.5599 ± 0.04005   |   0.03528 ± 0.02413   |   0.426 ± 0.1576    |   0.1273 ± 0.06402    |   1.733 ± 0.1775   | 0 ± 0  | 0 ± 0  |    1.726 ± 0.2344    |
| Bin6   |   0.4609 ± 0.01668   |  0.4499 ± 0.03602   |   0.09866 ± 0.08771   |  0.2391 ± 0.09701   |   0.1511 ± 0.06863    |    1.4 ± 0.1529    | 0 ± 0  | 0 ± 0  |    2.36 ± 0.2893     |
| Bin7   |   0.2083 ± 0.01129   |   0.328 ± 0.03152   |    0.2131 ± 0.1317    |   0.171 ± 0.07226   |    0.1299 ± 0.0703    |   1.05 ± 0.1692    | 0 ± 0  | 0 ± 0  |   0.3881 ± 0.08783   |
| Bin8   |  0.1245 ± 0.008617   |  0.1679 ± 0.02686   |   0.01462 ± 0.01074   |  0.05132 ± 0.06782  |  0.006653 ± 0.00518   |  0.3649 ± 0.07441  | 0 ± 0  | 0 ± 0  |   0.5663 ± 0.1313    |
| Bin9   |  0.08124 ± 0.007034  |  0.1228 ± 0.02187   |   0.1113 ± 0.09642    |  0.1341 ± 0.07094   |  0.005998 ± 0.004021  |   0.4555 ± 0.122   | 0 ± 0  | 0 ± 0  |   0.5765 ± 0.1312    |
| Bin10  |  0.0634 ± 0.006178   |  0.09478 ± 0.01954  |  -0.08639 ± 0.09622   | 0.005475 ± 0.03279  | -0.0001833 ± 0.00186  |  0.07708 ± 0.1037  | 0 ± 0  | 0 ± 0  |   0.4027 ± 0.1064    |
| Bin11  |  0.0462 ± 0.005323   |  0.08724 ± 0.0177   |   0.01621 ± 0.0116    |  0.02439 ± 0.01736  | -0.002374 ± 0.003459  |  0.1717 ± 0.0281   | 0 ± 0  | 0 ± 0  |   0.2794 ± 0.08792   |
| Bin12  |  0.02715 ± 0.003869  |  0.08646 ± 0.01656  |         0 ± 0         |   0.1336 ± 0.1208   |  0.002689 ± 0.002754  |   0.2499 ± 0.122   | 0 ± 0  | 0 ± 0  |   0.2135 ± 0.07785   |
| Bin13  |  0.01616 ± 0.003106  |  0.06767 ± 0.01479  |  0.006197 ± 0.006197  | -0.01613 ± 0.02901  |  0.001404 ± 0.001404  |  0.0753 ± 0.03332  | 0 ± 0  | 0 ± 0  |   0.278 ± 0.09789    |
| Bin14  |  0.01401 ± 0.002839  |  0.04706 ± 0.01321  | -0.009372 ± 0.009372  |        0 ± 0        |  0.001404 ± 0.001404  |  0.0531 ± 0.01651  | 0 ± 0  | 0 ± 0  |   0.1741 ± 0.0751    |
| Bin15  |  0.01572 ± 0.002985  |  0.04326 ± 0.01108  |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.002431  | 0.06038 ± 0.01173  | 0 ± 0  | 0 ± 0  |  -0.01176 ± 0.04544  |
| Bin16  | 0.009641 ± 0.002362  | 0.02276 ± 0.008138  |         0 ± 0         |  0.02693 ± 0.02693  |         0 ± 0         | 0.05933 ± 0.02823  | 0 ± 0  | 0 ± 0  |   0.2016 ± 0.08714   |
| Bin17  |  0.00963 ± 0.002332  |  0.04063 ± 0.01093  |         0 ± 0         |        0 ± 0        |         0 ± 0         | 0.05026 ± 0.01118  | 0 ± 0  | 0 ± 0  |    0.151 ± 0.0751    |
| Bin18  |  0.00746 ± 0.002128  | 0.04128 ± 0.009248  |    0.1026 ± 0.096     |        0 ± 0        |         0 ± 0         |  0.1513 ± 0.09647  | 0 ± 0  | 0 ± 0  |  0.06054 ± 0.04394   |
| Bin19  | 0.004471 ± 0.001556  | 0.02021 ± 0.006814  |         0 ± 0         |        0 ± 0        |         0 ± 0         | 0.02469 ± 0.00699  | 0 ± 0  | 0 ± 0  | 0.01353 ± 0.0007271  |
