+--------+---------------------+---------------------+----------------------+---------------------+-----------------------+-------------------+--------+--------+--------------------+
| Bin#   |         ZZ          |         ttZ         |        Higgs         |         WZ          |         Other         |       Total       |  data  | Ratio  |        WWZ         |
|--------+---------------------+---------------------+----------------------+---------------------+-----------------------+-------------------+--------+--------+--------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin1   |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin2   |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin3   | 0.03132 ± 0.004331  |  0.0349 ± 0.00918   | 0.006197 ± 0.006197  |  0.1455 ± 0.07452   |  0.002689 ± 0.001909  | 0.2206 ± 0.07548  | 0 ± 0  | 0 ± 0  | 0.4235 ± 0.003509  |
| Bin4   |  0.0516 ± 0.005594  | 0.03348 ± 0.008837  |   0.1182 ± 0.09694   |  0.06779 ± 0.06386  |  0.003055 ± 0.00325   |  0.2741 ± 0.1166  | 0 ± 0  | 0 ± 0  |  0.6025 ± 0.0623   |
| Bin5   | 0.09833 ± 0.007679  |  0.04435 ± 0.01181  |  0.01303 ± 0.009227  | 0.008011 ± 0.04322  |  0.00122 ± 0.004198   | 0.1649 ± 0.04658  | 0 ± 0  | 0 ± 0  |  0.6211 ± 0.06122  |
| Bin6   |  0.1376 ± 0.008978  |  0.05113 ± 0.01308  | 0.005248 ± 0.005248  |  0.01393 ± 0.05126  |   0.04722 ± 0.04645   | 0.2551 ± 0.07117  | 0 ± 0  | 0 ± 0  |  0.6569 ± 0.0745   |
| Bin7   |  0.1835 ± 0.01043   |  0.0652 ± 0.01264   |     0 ± 0.01325      |  0.01359 ± 0.01359  | 9.934e-05 ± 0.003311  |  0.2624 ± 0.0253  | 0 ± 0  | 0 ± 0  |  0.6459 ± 0.08573  |
| Bin8   |  0.2433 ± 0.01222   |  0.09007 ± 0.01488  |   0.2066 ± 0.1312    |  0.07884 ± 0.04643  |   0.06506 ± 0.04659   |  0.6838 ± 0.148   | 0 ± 0  | 0 ± 0  |   0.6737 ± 0.107   |
| Bin9   |  0.2339 ± 0.01184   |  0.07468 ± 0.01449  |  0.01001 ± 0.01315   |  0.04331 ± 0.0348   |  0.007218 ± 0.00505   | 0.3691 ± 0.04195  | 0 ± 0  | 0 ± 0  |  0.457 ± 0.07702   |
| Bin10  |  0.2765 ± 0.01291   |  0.1085 ± 0.01666   | -0.006197 ± 0.01148  |  0.09497 ± 0.05258  |   0.04792 ± 0.03748   | 0.5217 ± 0.06889  | 0 ± 0  | 0 ± 0  |  0.3665 ± 0.07701  |
| Bin11  |  0.2118 ± 0.01143   |  0.09562 ± 0.01708  |  0.002904 ± 0.1288   |  -0.0108 ± 0.01871  |  0.01717 ± 0.006589   |  0.3166 ± 0.1319  | 0 ± 0  | 0 ± 0  |  0.3258 ± 0.1072   |
| Bin12  |   0.179 ± 0.01053   |  0.1151 ± 0.01781   |   0.1088 ± 0.09711   | -0.03807 ± 0.07536  |    0.1605 ± 0.0769    |  0.5253 ± 0.1465  | 0 ± 0  | 0 ± 0  |  0.3477 ± 0.1077   |
| Bin13  |  0.1259 ± 0.008703  |  0.1012 ± 0.01802   | 0.005248 ± 0.005248  |   0.1173 ± 0.1271   |    0.1307 ± 0.0635    |  0.4803 ± 0.1436  | 0 ± 0  | 0 ± 0  |  0.3078 ± 0.1082   |
| Bin14  |  0.1507 ± 0.009499  |  0.1068 ± 0.01664   |  0.01239 ± 0.008764  |  0.06466 ± 0.03958  |   0.0588 ± 0.04663    |  0.3934 ± 0.0647  | 0 ± 0  | 0 ± 0  |  0.2847 ± 0.1076   |
| Bin15  |  0.1329 ± 0.008887  |  0.08203 ± 0.01793  | 0.006836 ± 0.006836  |  0.09252 ± 0.07263  |    0.118 ± 0.06873    |  0.4323 ± 0.1022  | 0 ± 0  | 0 ± 0  |  0.1409 ± 0.09614  |
| Bin16  |  0.09244 ± 0.00753  |  0.1328 ± 0.01785   | 0.009372 ± 0.009372  |  0.05411 ± 0.03308  |   0.03637 ± 0.0374    | 0.3251 ± 0.05437  | 0 ± 0  | 0 ± 0  |  0.2701 ± 0.1063   |
| Bin17  | 0.05511 ± 0.005852  |  0.1019 ± 0.01833   |  -0.08178 ± 0.0968   |   0.1878 ± 0.1296   | -0.005828 ± 0.004619  |  0.2572 ± 0.163   | 0 ± 0  | 0 ± 0  |  0.2712 ± 0.1068   |
| Bin18  | 0.07141 ± 0.006638  |  0.1107 ± 0.01933   |  -0.002535 ± 0.0116  |  0.1574 ± 0.07097   |   0.03696 ± 0.03553   |  0.374 ± 0.08277  | 0 ± 0  | 0 ± 0  |  0.2284 ± 0.09626  |
| Bin19  |  0.06015 ± 0.00595  |  0.1233 ± 0.01961   |   0.1173 ± 0.09943   |  0.08583 ± 0.06948  |   0.04174 ± 0.03459   |  0.4284 ± 0.1278  | 0 ± 0  | 0 ± 0  |  0.3152 ± 0.1145   |
