+--------+----------------------+-----------------------+-----------------------+--------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin#   |          ZZ          |          ttZ          |         Higgs         |         WZ         |         Other         |        Total         |  data  | Ratio  |          WWZ          |
|--------+----------------------+-----------------------+-----------------------+--------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |  0.05778 ± 0.005837  | -0.001591 ± 0.001591  |         0 ± 0         |       0 ± 0        |         0 ± 0         |  0.05619 ± 0.00605   | 0 ± 0  | 0 ± 0  |   0.04599 ± 0.04245   |
| Bin2   |   1.661 ± 0.03114    |    0.0617 ± 0.014     | -0.006197 ± 0.006197  | 0.04086 ± 0.04086  |  0.001469 ± 0.001469  |   1.759 ± 0.05363    | 0 ± 0  | 0 ± 0  |    0.5255 ± 0.1368    |
| Bin3   |   5.943 ± 0.05874    |   0.2526 ± 0.02851    |         0 ± 0         |  0.08973 ± 0.0613  | 0.0007525 ± 0.003808  |   6.286 ± 0.08964    | 0 ± 0  | 0 ± 0  |    0.8048 ± 0.1682    |
| Bin4   |   12.07 ± 0.08381    |    0.402 ± 0.03447    |   0.1045 ± 0.09666    |  0.1216 ± 0.08613  |   0.03769 ± 0.03552   |    12.74 ± 0.162     | 0 ± 0  | 0 ± 0  |     1.58 ± 0.2189     |
| Bin5   |    19.69 ± 0.1071    |   0.4255 ± 0.03583    |    0.1392 ± 0.2145    |  0.2365 ± 0.1034   |   0.03912 ± 0.03567   |    20.53 ± 0.2659    | 0 ± 0  | 0 ± 0  |     1.48 ± 0.1779     |
| Bin6   |    28.43 ± 0.1281    |   0.3729 ± 0.03351    |   -0.07419 ± 0.1617   |  0.3687 ± 0.1777   |   0.0145 ± 0.007381   |    29.11 ± 0.2744    | 0 ± 0  | 0 ± 0  |    1.413 ± 0.1995     |
| Bin7   |    39.09 ± 0.1496    |   0.3856 ± 0.03432    |    0.8423 ± 0.2764    |  0.2543 ± 0.1187   |   0.0814 ± 0.05011    |    40.65 ± 0.3414    | 0 ± 0  | 0 ± 0  |    1.657 ± 0.2055     |
| Bin8   |    52.62 ± 0.1734    |    0.3458 ± 0.0318    |    0.2273 ± 0.2382    |  0.1186 ± 0.1073   |   0.05087 ± 0.03594   |    53.36 ± 0.3172    | 0 ± 0  | 0 ± 0  |    1.466 ± 0.1904     |
| Bin9   |    62.97 ± 0.1899    |   0.2876 ± 0.02817    |    0.6146 ± 0.2326    |   0.3757 ± 0.124   |   0.1251 ± 0.06227    |    64.38 ± 0.332     | 0 ± 0  | 0 ± 0  |    1.352 ± 0.1939     |
| Bin10  |    71.29 ± 0.2024    |   0.2697 ± 0.02813    |    0.2035 ± 0.182     |  0.2964 ± 0.1152   |   0.1649 ± 0.07381    |    72.23 ± 0.3059    | 0 ± 0  | 0 ± 0  |     1.299 ± 0.184     |
| Bin11  |    78.66 ± 0.2126    |   0.2191 ± 0.02554    |    0.1431 ± 0.3151    |   0.6451 ± 0.219   |   0.1669 ± 0.07787    |    79.83 ± 0.4462    | 0 ± 0  | 0 ± 0  |    0.9554 ± 0.1579    |
| Bin12  |     84.47 ± 0.22     |    0.206 ± 0.02487    |    0.4192 ± 0.2346    |  0.1425 ± 0.1001   |   0.06574 ± 0.04716   |     85.3 ± 0.341     | 0 ± 0  | 0 ± 0  |    0.9162 ± 0.1448    |
| Bin13  |    72.4 ± 0.2031     |   0.1663 ± 0.02075    |    0.1299 ± 0.1682    |   0.186 ± 0.1282   |   0.05975 ± 0.0361    |    72.94 ± 0.2962    | 0 ± 0  | 0 ± 0  |    0.6963 ± 0.123     |
| Bin14  |    21.54 ± 0.1099    |   0.03241 ± 0.01006   |    0.1944 ± 0.1297    |  0.1185 ± 0.05493  |   0.1389 ± 0.07454    |    22.03 ± 0.1938    | 0 ± 0  | 0 ± 0  |    0.203 ± 0.06196    |
| Bin15  |   6.735 ± 0.06103    |  0.006321 ± 0.007129  |         0 ± 0         |  0.06525 ± 0.0444  | -0.001469 ± 0.001469  |   6.806 ± 0.07582    | 0 ± 0  | 0 ± 0  |    0.2082 ± 0.0864    |
| Bin16  |   1.773 ± 0.03108    |  0.003293 ± 0.002331  |         0 ± 0         |  -0.0108 ± 0.0108  |  -0.00122 ± 0.00122   |   1.765 ± 0.03301    | 0 ± 0  | 0 ± 0  | 0.009905 ± 0.0004095  |
| Bin17  |   0.251 ± 0.01156    |  0.001567 ± 0.001567  |         0 ± 0         |       0 ± 0        |   0.00219 ± 0.00219   |   0.2547 ± 0.01187   | 0 ± 0  | 0 ± 0  | 0.001338 ± 0.0001306  |
| Bin18  | 0.004816 ± 0.001578  |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         | 0.004816 ± 0.001578  | 0 ± 0  | 0 ± 0  | 2.475e-05 ± 1.75e-05  |
| Bin19  |        0 ± 0         |         0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0         |
