+--------+----------------------+-----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin#   |          ZZ          |          ttZ          |        Higgs         |         WZ          |         Other         |        Total         |  data  | Ratio  |          WWZ           |
|--------+----------------------+-----------------------+----------------------+---------------------+-----------------------+----------------------+--------+--------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |    137.7 ± 0.2793    |   0.2614 ± 0.02757    |   0.3999 ± 0.2706    |   0.1686 ± 0.1304   |   0.0432 ± 0.03512    |    138.6 ± 0.4126    | 0 ± 0  | 0 ± 0  |     1.343 ± 0.1852     |
| Bin2   |    116.7 ± 0.2576    |   0.2482 ± 0.02785    |   0.5628 ± 0.3265    |   0.2918 ± 0.1392   | -0.002654 ± 0.007696  |    117.8 ± 0.4395    | 0 ± 0  | 0 ± 0  |     1.064 ± 0.158      |
| Bin3   |     92.57 ± 0.23     |   0.2581 ± 0.02813    |    0.326 ± 0.249     |   0.4665 ± 0.1401   |   0.1157 ± 0.06092    |    93.73 ± 0.3729    | 0 ± 0  | 0 ± 0  |     1.009 ± 0.138      |
| Bin4   |    68.86 ± 0.1989    |   0.2267 ± 0.02687    |   0.0827 ± 0.2146    |   0.2834 ± 0.2052   |   0.1505 ± 0.07269    |    69.6 ± 0.3657     | 0 ± 0  | 0 ± 0  |     1.285 ± 0.1732     |
| Bin5   |    49.69 ± 0.1696    |   0.2844 ± 0.02866    |   0.1822 ± 0.1788    |  0.2624 ± 0.08794   |   0.04513 ± 0.03783   |    50.46 ± 0.2659    | 0 ± 0  | 0 ± 0  |     1.13 ± 0.1622      |
| Bin6   |    33.81 ± 0.1401    |   0.2285 ± 0.02657    |   0.4247 ± 0.2713    |  0.1805 ± 0.09596   |    0.1429 ± 0.0694    |    34.78 ± 0.3286    | 0 ± 0  | 0 ± 0  |     1.719 ± 0.2258     |
| Bin7   |    22.43 ± 0.1143    |   0.2823 ± 0.02876    |  -0.05397 ± 0.09837  |   0.294 ± 0.1048    |   0.04123 ± 0.03631   |     23 ± 0.1894      | 0 ± 0  | 0 ± 0  |     1.333 ± 0.1739     |
| Bin8   |   14.44 ± 0.09193    |   0.2446 ± 0.02692    |   0.09671 ± 0.1693   |   0.2471 ± 0.0833   |   0.09722 ± 0.05054   |    15.12 ± 0.2175    | 0 ± 0  | 0 ± 0  |     1.297 ± 0.1856     |
| Bin9   |   8.935 ± 0.07239    |   0.2702 ± 0.02666    |   0.3101 ± 0.1616    |  0.05411 ± 0.0412   |  0.02533 ± 0.007128   |    9.595 ± 0.1839    | 0 ± 0  | 0 ± 0  |    0.9052 ± 0.1445     |
| Bin10  |   5.452 ± 0.05643    |   0.2059 ± 0.02645    |    0.218 ± 0.1276    |   0.3551 ± 0.1218   |   0.1045 ± 0.06568    |    6.335 ± 0.1983    | 0 ± 0  | 0 ± 0  |     1.125 ± 0.1799     |
| Bin11  |   3.338 ± 0.04445    |   0.2513 ± 0.02491    |    0.226 ± 0.1363    |   0.1228 ± 0.0823   |   0.03877 ± 0.03565   |    3.977 ± 0.171     | 0 ± 0  | 0 ± 0  |    0.5542 ± 0.1146     |
| Bin12  |   2.041 ± 0.03479    |    0.162 ± 0.0212     |  0.01603 ± 0.01838   |  0.04878 ± 0.02455  |   0.0883 ± 0.05948    |   2.356 ± 0.07835    | 0 ± 0  | 0 ± 0  |    0.5057 ± 0.1389     |
| Bin13  |   1.241 ± 0.02691    |   0.1166 ± 0.02057    |  0.02512 ± 0.01263   |  0.05386 ± 0.06921  |   0.04124 ± 0.0356    |   1.478 ± 0.08581    | 0 ± 0  | 0 ± 0  |    0.2965 ± 0.09682    |
| Bin14  |   0.7842 ± 0.02145   |   0.1093 ± 0.01939    |  0.006836 ± 0.01491  |   0.1578 ± 0.1235   |  0.006968 ± 0.004166  |    1.065 ± 0.1278    | 0 ± 0  | 0 ± 0  |     0.343 ± 0.1292     |
| Bin15  |   0.5132 ± 0.01737   |   0.07247 ± 0.01497   |  0.09183 ± 0.08687   |  0.05166 ± 0.04226  |  0.004027 ± 0.002871  |   0.7332 ± 0.09933   | 0 ± 0  | 0 ± 0  |     0.3258 ± 0.114     |
| Bin16  |   0.3155 ± 0.01358   |   0.04274 ± 0.0134    | -0.007784 ± 0.01273  |        0 ± 0        |         0 ± 0         |   0.3505 ± 0.02293   | 0 ± 0  | 0 ± 0  |    0.09678 ± 0.0609    |
| Bin17  |   0.2237 ± 0.01146   |   0.05589 ± 0.01102   |        0 ± 0         | -0.04086 ± 0.04086  |         0 ± 0         |   0.2387 ± 0.04384   | 0 ± 0  | 0 ± 0  |   0.09395 ± 0.06218    |
| Bin18  |  0.1582 ± 0.009738   |  0.03016 ± 0.008817   | 0.006836 ± 0.006836  |     0 ± 0.05779     |         0 ± 0         |   0.1952 ± 0.05965   | 0 ± 0  | 0 ± 0  |   0.09098 ± 0.06213    |
| Bin19  |   0.1062 ± 0.00792   |  0.02348 ± 0.007276   | 0.005248 ± 0.005248  | -0.04086 ± 0.04086  |         0 ± 0         |  0.09411 ± 0.04258   | 0 ± 0  | 0 ± 0  |  0.002118 ± 0.0002964  |
