+--------+-------------------+----------------------+----------------------+---------------------+-----------------------+-------------------+--------+--------+-----------------------+
| Bin#   |        ZZ         |         ttZ          |        Higgs         |         WZ          |         Other         |       Total       |  data  | Ratio  |          WWZ          |
|--------+-------------------+----------------------+----------------------+---------------------+-----------------------+-------------------+--------+--------+-----------------------+
| Bin0   |       0 ± 0       |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   |   192 ± 0.3336    |    1.12 ± 0.05768    |    0.638 ± 0.3776    |   0.7851 ± 0.1962   |   0.2117 ± 0.09045    |  194.7 ± 0.5512   | 0 ± 0  | 0 ± 0  |    5.023 ± 0.3578     |
| Bin2   |  123.3 ± 0.2661   |   0.8005 ± 0.04786   |   0.9191 ± 0.3412    |   0.3798 ± 0.1621   |    0.1531 ± 0.062     |  125.6 ± 0.4687   | 0 ± 0  | 0 ± 0  |    3.235 ± 0.2886     |
| Bin3   |  71.43 ± 0.2021   |   0.4941 ± 0.03848   |   0.4027 ± 0.2341    |   0.3025 ± 0.1226   |    0.172 ± 0.07384    |   72.8 ± 0.3429   | 0 ± 0  | 0 ± 0  |    1.892 ± 0.2302     |
| Bin4   |  44.61 ± 0.1598   |   0.2837 ± 0.03019   |   0.2399 ± 0.2339    |   0.4371 ± 0.1284   |   0.09751 ± 0.05826   |  45.66 ± 0.3178   | 0 ± 0  | 0 ± 0  |    1.302 ± 0.1856     |
| Bin5   |  30.75 ± 0.1329   |   0.1705 ± 0.02318   |  0.09485 ± 0.09342   |  0.06942 ± 0.1076   |   0.08933 ± 0.05162   |  31.18 ± 0.2029   | 0 ± 0  | 0 ± 0  |    0.7403 ± 0.1438    |
| Bin6   |  22.23 ± 0.1127   |   0.1199 ± 0.01961   |  -0.05798 ± 0.08724  |  0.06187 ± 0.04322  |   0.05013 ± 0.04666   |   22.4 ± 0.1573   | 0 ± 0  | 0 ± 0  |    0.8206 ± 0.1586    |
| Bin7   |  16.8 ± 0.09783   |   0.1173 ± 0.01882   |   0.4832 ± 0.2147    | -0.04086 ± 0.04362  |   0.04011 ± 0.03749   |   17.4 ± 0.2436   | 0 ± 0  | 0 ± 0  |    0.4455 ± 0.107     |
| Bin8   |  12.43 ± 0.08385  |   0.06918 ± 0.0145   |   -0.102 ± 0.09596   |  0.008011 ± 0.0613  |   0.03815 ± 0.03459   |  12.44 ± 0.1463   | 0 ± 0  | 0 ± 0  |    0.2666 ± 0.115     |
| Bin9   |  9.499 ± 0.07302  |  0.05609 ± 0.01138   |  0.08892 ± 0.09629   |  0.09531 ± 0.05936  |  0.000252 ± 0.004067  |   9.74 ± 0.1352   | 0 ± 0  | 0 ± 0  |   0.1485 ± 0.04397    |
| Bin10  |  7.089 ± 0.0627   |   0.03829 ± 0.0116   |  0.01239 ± 0.008764  |        0 ± 0        |  0.002353 ± 0.004307  |  7.142 ± 0.06451  | 0 ± 0  | 0 ± 0  |   0.1206 ± 0.04369    |
| Bin11  |  5.316 ± 0.05407  |  0.05234 ± 0.00987   |        0 ± 0         |  0.1492 ± 0.07053   |  0.005312 ± 0.002665  |  5.523 ± 0.08946  | 0 ± 0  | 0 ± 0  |   0.1879 ± 0.07614    |
| Bin12  |  4.116 ± 0.0474   |  0.0281 ± 0.007345   | 0.005248 ± 0.005248  |  0.02439 ± 0.01736  |  0.004995 ± 0.003195  |  4.179 ± 0.05138  | 0 ± 0  | 0 ± 0  | -0.0006251 ± 0.04395  |
| Bin13  |  3.264 ± 0.04204  |  0.02137 ± 0.008036  |  -0.08038 ± 0.08579  |   0.1742 ± 0.1245   |  0.001186 ± 0.002885  |  3.381 ± 0.1572   | 0 ± 0  | 0 ± 0  |   0.1219 ± 0.06195    |
| Bin14  |  2.518 ± 0.03698  | 0.008574 ± 0.006146  |   0.09576 ± 0.1617   |   0.1719 ± 0.1719   |  0.001121 ± 0.002352  |  2.795 ± 0.2389   | 0 ± 0  | 0 ± 0  |   0.06945 ± 0.04246   |
| Bin15  |  1.971 ± 0.03264  |  0.00779 ± 0.005742  |  0.09949 ± 0.09887   |   0.0108 ± 0.0108   |         0 ± 0         |  2.089 ± 0.1048   | 0 ± 0  | 0 ± 0  |  0.02264 ± 0.000841   |
| Bin16  |  1.548 ± 0.02864  |  0.01307 ± 0.004629  |  0.09833 ± 0.09234   |  0.01359 ± 0.01359  |  0.001404 ± 0.001404  |  1.674 ± 0.09775  | 0 ± 0  | 0 ± 0  |  0.01724 ± 0.0006987  |
| Bin17  |  1.288 ± 0.02631  | 0.002578 ± 0.004381  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  1.291 ± 0.02667  | 0 ± 0  | 0 ± 0  |  0.01443 ± 0.0006718  |
| Bin18  |  1.076 ± 0.02387  | 0.001726 ± 0.002836  |        0 ± 0         |        0 ± 0        | -0.001469 ± 0.001469  |  1.076 ± 0.02409  | 0 ± 0  | 0 ± 0  |  0.01114 ± 0.0005532  |
| Bin19  | 0.8968 ± 0.02184  | 0.004884 ± 0.003589  |        0 ± 0         |  0.01359 ± 0.01359  |  0.00381 ± 0.002206   | 0.9191 ± 0.02607  | 0 ± 0  | 0 ± 0  |    0.056 ± 0.04543    |
