+--------+------------------+--------------------+----------------------+---------------------+----------------------+------------------+--------+--------+-------------------+
| Bin#   |        ZZ        |        ttZ         |        Higgs         |         WZ          |        Other         |      Total       |  data  | Ratio  |        WWZ        |
|--------+------------------+--------------------+----------------------+---------------------+----------------------+------------------+--------+--------+-------------------+
| Bin0   |      0 ± 0       |       0 ± 0        |        0 ± 0         |        0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin1   |      0 ± 0       |       0 ± 0        |        0 ± 0         |        0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin2   |      0 ± 0       |       0 ± 0        |        0 ± 0         |        0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin3   |      0 ± 0       |       0 ± 0        |        0 ± 0         |        0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin4   |  26.02 ± 0.1233  |  0.1009 ± 0.01817  |   0.2921 ± 0.2091    |   0.2208 ± 0.0969   |   0.1344 ± 0.06847   |  26.77 ± 0.2708  | 0 ± 0  | 0 ± 0  | 0.6728 ± 0.08646  |
| Bin5   |  53.14 ± 0.1748  |  0.2471 ± 0.02533  |   0.5014 ± 0.3095    |   0.5204 ± 0.1456   |    0.18 ± 0.07224    |  54.59 ± 0.3916  | 0 ± 0  | 0 ± 0  |  1.165 ± 0.1058   |
| Bin6   |  69.4 ± 0.1987   |  0.2388 ± 0.02777  |    0.6786 ± 0.342    |   0.4416 ± 0.1454   |   0.1322 ± 0.06256   |  70.9 ± 0.4269   | 0 ± 0  | 0 ± 0  |  1.404 ± 0.1501   |
| Bin7   |  65.08 ± 0.1924  |  0.2632 ± 0.02822  |   0.5061 ± 0.2526    |   0.2764 ± 0.114    |   0.052 ± 0.03635    |  66.18 ± 0.3404  | 0 ± 0  | 0 ± 0  |  1.283 ± 0.1506   |
| Bin8   |  61.03 ± 0.1861  |  0.262 ± 0.02774   |   0.3312 ± 0.1651    |   0.2057 ± 0.1119   |  0.05021 ± 0.04686   |  61.88 ± 0.2782  | 0 ± 0  | 0 ± 0  |  1.161 ± 0.1509   |
| Bin9   |  52.89 ± 0.1736  |  0.2384 ± 0.02776  |   0.02466 ± 0.1873   |   0.1058 ± 0.1078   |  0.08543 ± 0.05851   |  53.34 ± 0.2846  | 0 ± 0  | 0 ± 0  |  1.033 ± 0.1509   |
| Bin10  |  43.05 ± 0.1566  |   0.264 ± 0.0285   |    0.1904 ± 0.193    |  0.06795 ± 0.08928  |  0.03391 ± 0.03561   |  43.61 ± 0.268   | 0 ± 0  | 0 ± 0  |  1.202 ± 0.2144   |
| Bin11  |  34.33 ± 0.1399  |  0.2526 ± 0.02637  |   0.1879 ± 0.1329    |   0.1549 ± 0.1018   |   0.07821 ± 0.0508   |  35.01 ± 0.2255  | 0 ± 0  | 0 ± 0  |   0.68 ± 0.1389   |
| Bin12  |  26.82 ± 0.1237  |  0.2203 ± 0.02422  |  0.003661 ± 0.01867  |  0.2144 ± 0.08473   |  0.08837 ± 0.05957   |  27.35 ± 0.1642  | 0 ± 0  | 0 ± 0  |  0.5217 ± 0.1057  |
| Bin13  |  21.27 ± 0.1103  |  0.1755 ± 0.02322  |  0.007785 ± 0.01061  |  0.2313 ± 0.09855   | 0.008555 ± 0.003983  |  21.7 ± 0.1502   | 0 ± 0  | 0 ± 0  |  0.6091 ± 0.1312  |
| Bin14  | 16.87 ± 0.09834  |  0.1414 ± 0.02115  |   0.1954 ± 0.1291    |   0.2805 ± 0.1833   |  0.03802 ± 0.03549   |  17.53 ± 0.2483  | 0 ± 0  | 0 ± 0  |  0.6032 ± 0.1511  |
| Bin15  | 13.64 ± 0.08856  |  0.1415 ± 0.02045  |  -0.08956 ± 0.09596  |  0.04086 ± 0.04086  | 0.002591 ± 0.003801  |  13.74 ± 0.1384  | 0 ± 0  | 0 ± 0  |  0.3943 ± 0.1058  |
| Bin16  | 11.07 ± 0.07984  |  0.1306 ± 0.01972  |  0.007785 ± 0.01061  |  0.1055 ± 0.05689   | 0.001871 ± 0.003174  |  11.31 ± 0.1006  | 0 ± 0  | 0 ± 0  | 0.1998 ± 0.06323  |
| Bin17  | 9.111 ± 0.07242  |  0.07575 ± 0.019   |  0.008423 ± 0.0124   | 0.003329 ± 0.03171  | 0.001652 ± 0.003674  |  9.2 ± 0.08233   | 0 ± 0  | 0 ± 0  |  0.476 ± 0.1303   |
| Bin18  | 7.559 ± 0.06618  | 0.08317 ± 0.01547  | 0.009372 ± 0.009372  |   0.1008 ± 0.1277   |   0.04421 ± 0.0372   |  7.796 ± 0.1497  | 0 ± 0  | 0 ± 0  |  0.3786 ± 0.1152  |
| Bin19  |  6.29 ± 0.06036  | 0.08599 ± 0.01437  |  0.09854 ± 0.09854   | -0.01359 ± 0.01359  |  0.005816 ± 0.00303  |  6.466 ± 0.1173  | 0 ± 0  | 0 ± 0  | 0.2787 ± 0.09813  |
