+--------+------------------+----------------------+----------------------+--------------------+----------------------+------------------+--------+--------+-----------------------+
| Bin#   |        ZZ        |         ttZ          |        Higgs         |         WZ         |        Other         |      Total       |  data  | Ratio  |          WWZ          |
|--------+------------------+----------------------+----------------------+--------------------+----------------------+------------------+--------+--------+-----------------------+
| Bin0   |  122.5 ± 0.2677  |   0.6498 ± 0.04416   |    2.024 ± 0.4812    |  0.9752 ± 0.2357   |   0.3508 ± 0.1066    |  126.5 ± 0.6099  | 0 ± 0  | 0 ± 0  |    7.008 ± 0.2533     |
| Bin1   |  12.6 ± 0.08476  |   0.08696 ± 0.0148   |   0.2138 ± 0.1883    | 0.07859 ± 0.06477  | 0.005729 ± 0.006188  |  12.98 ± 0.217   | 0 ± 0  | 0 ± 0  |   0.3162 ± 0.07613    |
| Bin2   | 14.62 ± 0.09113  |   0.1077 ± 0.01597   |   -0.2754 ± 0.2125   |   0.343 ± 0.1884   |  0.07578 ± 0.04886   |  14.88 ± 0.3026  | 0 ± 0  | 0 ± 0  |    0.3207 ± 0.1063    |
| Bin3   |  17.5 ± 0.09944  |  0.08169 ± 0.01477   |    0.1825 ± 0.129    |  0.1171 ± 0.06084  |  0.01295 ± 0.007826  |  17.89 ± 0.1747  | 0 ± 0  | 0 ± 0  |    0.415 ± 0.1135     |
| Bin4   |  21.99 ± 0.1115  |  0.09707 ± 0.01634   |  0.08114 ± 0.09636   |  0.07337 ± 0.0796  |  0.09619 ± 0.05855   |  22.33 ± 0.1782  | 0 ± 0  | 0 ± 0  |   0.1282 ± 0.04369    |
| Bin5   |  29.01 ± 0.1277  |  0.07587 ± 0.01528   |        0 ± 0         |  0.1058 ± 0.05367  | 0.008119 ± 0.005553  |  29.2 ± 0.1394   | 0 ± 0  | 0 ± 0  |    0.194 ± 0.07526    |
| Bin6   |  41.59 ± 0.1525  |  0.09265 ± 0.01588   |  -0.01053 ± 0.1353   |  0.1585 ± 0.07847  |  0.07384 ± 0.05153   |  41.9 ± 0.2251   | 0 ± 0  | 0 ± 0  |    0.528 ± 0.1455     |
| Bin7   |  66.63 ± 0.1929  |   0.0852 ± 0.01612   |   0.2768 ± 0.1639    | 0.08063 ± 0.06115  | 0.009745 ± 0.005426  |  67.08 ± 0.261   | 0 ± 0  | 0 ± 0  |    0.2048 ± 0.1077    |
| Bin8   | 5.522 ± 0.05547  | 0.003158 ± 0.004458  |        0 ± 0         |       0 ± 0        |   0.0423 ± 0.03719   | 5.568 ± 0.06693  | 0 ± 0  | 0 ± 0  | 0.002142 ± 0.0002726  |
| Bin9   |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin10  |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin11  |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin12  |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin13  |      0 ± 0       |        0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin14  | 13.28 ± 0.08612  |   0.02536 ± 0.0079   |        0 ± 0         | 0.05386 ± 0.03808  | 0.002841 ± 0.002614  | 13.36 ± 0.09453  | 0 ± 0  | 0 ± 0  |   0.08945 ± 0.06194   |
| Bin15  |  36.53 ± 0.1431  |   0.0647 ± 0.01437   | 0.006197 ± 0.009669  | 0.03773 ± 0.02901  | -0.001003 ± 0.00357  |  36.64 ± 0.1471  | 0 ± 0  | 0 ± 0  |   0.0953 ± 0.06213    |
| Bin16  |  24.31 ± 0.1173  |  0.07231 ± 0.01475   |  0.08038 ± 0.08579   | 0.09531 ± 0.08284  |  0.03665 ± 0.03541   |  24.6 ± 0.1716   | 0 ± 0  | 0 ± 0  |   0.09435 ± 0.0864    |
| Bin17  |  17.65 ± 0.1002  |  0.06461 ± 0.01363   |  0.01859 ± 0.01073   |  0.142 ± 0.08234   | 0.002188 ± 0.003195  |  17.88 ± 0.1309  | 0 ± 0  | 0 ± 0  |    0.1805 ± 0.1068    |
| Bin18  | 13.77 ± 0.08866  |  0.07581 ± 0.01503   | 0.009372 ± 0.009372  | -0.0108 ± 0.05879  |  0.004027 ± 0.00233  |  13.84 ± 0.1079  | 0 ± 0  | 0 ± 0  |   0.1354 ± 0.07439    |
| Bin19  | 10.81 ± 0.07867  |  0.05386 ± 0.01338   |  -0.0853 ± 0.09239   |  0.1802 ± 0.09127  |  0.00122 ± 0.00122   |  10.96 ± 0.1524  | 0 ± 0  | 0 ± 0  |    0.265 ± 0.1058     |
| Bin20  |  9.203 ± 0.0727  |  0.04896 ± 0.01284   | 0.006836 ± 0.006836  | 0.00279 ± 0.01736  |  0.00381 ± 0.003408  | 9.266 ± 0.07622  | 0 ± 0  | 0 ± 0  |    0.2648 ± 0.1057    |
