+--------+------------------+--------------------+---------------------+--------------------+----------------------+------------------+--------+--------+--------------------+
| Bin#   |        ZZ        |        ttZ         |        Higgs        |         WZ         |        Other         |      Total       |  data  | Ratio  |        WWZ         |
|--------+------------------+--------------------+---------------------+--------------------+----------------------+------------------+--------+--------+--------------------+
| Bin0   |      0 ± 0       |       0 ± 0        |        0 ± 0        |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin1   |      0 ± 0       |       0 ± 0        |        0 ± 0        |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin2   |      0 ± 0       |       0 ± 0        |        0 ± 0        |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin3   |  17.87 ± 0.1033  | 0.03441 ± 0.01011  |   0.2957 ± 0.164    | 0.03494 ± 0.08844  |  0.03916 ± 0.03537   |  18.27 ± 0.2162  | 0 ± 0  | 0 ± 0  | 0.5947 ± 0.004281  |
| Bin4   | 13.74 ± 0.09036  | 0.06095 ± 0.01168  |  0.1166 ± 0.09656   | 0.09566 ± 0.07572  | 0.001602 ± 0.004687  |  14.02 ± 0.1529  | 0 ± 0  | 0 ± 0  |  0.7893 ± 0.04272  |
| Bin5   | 11.48 ± 0.08225  | 0.05572 ± 0.01326  |   0.7632 ± 0.2645   |  0.1002 ± 0.05239  |   0.03697 ± 0.0356   |  12.44 ± 0.2844  | 0 ± 0  | 0 ± 0  |   1.24 ± 0.1375    |
| Bin6   | 11.24 ± 0.08104  | 0.06777 ± 0.01502  |   0.2135 ± 0.1932   |  0.1839 ± 0.08896  | 0.006647 ± 0.003448  |  11.72 ± 0.2281  | 0 ± 0  | 0 ± 0  |  0.9839 ± 0.08626  |
| Bin7   | 12.52 ± 0.08562  | 0.07632 ± 0.01567  |  0.005712 ± 0.0205  |  0.2279 ± 0.08983  |  0.08824 ± 0.05847   |  12.92 ± 0.1396  | 0 ± 0  | 0 ± 0  |  0.9058 ± 0.0754   |
| Bin8   | 15.46 ± 0.09502  |  0.1026 ± 0.01776  |   0.3032 ± 0.2073   |  0.1749 ± 0.09564  |  0.04126 ± 0.03589   |  16.08 ± 0.2505  | 0 ± 0  | 0 ± 0  |  0.9308 ± 0.09691  |
| Bin9   |  18.58 ± 0.1036  |  0.1161 ± 0.01815  |   0.1975 ± 0.1321   | 0.07884 ± 0.06196  |  0.04337 ± 0.03772   |  19.01 ± 0.1838  | 0 ± 0  | 0 ± 0  |  0.7465 ± 0.07708  |
| Bin10  |  21.57 ± 0.1113  |  0.1359 ± 0.02048  |   0.1287 ± 0.1648   |  0.07884 ± 0.1014  |  0.09351 ± 0.05178   |   22 ± 0.2301    | 0 ± 0  | 0 ± 0  |  0.8169 ± 0.1221   |
| Bin11  |  27.22 ± 0.1245  |  0.1946 ± 0.02177  |  -0.06164 ± 0.2839  |  0.4216 ± 0.1993   |  0.08151 ± 0.04925   |  27.86 ± 0.3724  | 0 ± 0  | 0 ± 0  |  0.6369 ± 0.1308   |
| Bin12  |  39.48 ± 0.1494  |  0.1788 ± 0.02203  |   0.2637 ± 0.161    |  0.1905 ± 0.1002   |   0.1091 ± 0.05907   |  40.22 ± 0.2495  | 0 ± 0  | 0 ± 0  |  0.5431 ± 0.1216   |
| Bin13  |  70.6 ± 0.1989   |  0.1685 ± 0.02203  |  -0.01053 ± 0.1353  |  0.2642 ± 0.09507  |  0.08196 ± 0.05183   |  71.1 ± 0.2647   | 0 ± 0  | 0 ± 0  |   0.722 ± 0.1638   |
| Bin14  |  72.15 ± 0.2007  | 0.08835 ± 0.01672  |   0.2768 ± 0.1639   | 0.08063 ± 0.06115  |  0.05205 ± 0.03758   |  72.65 ± 0.2694  | 0 ± 0  | 0 ± 0  |  0.2069 ± 0.1077   |
| Bin15  |      0 ± 0       |       0 ± 0        |        0 ± 0        |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin16  |      0 ± 0       |       0 ± 0        |        0 ± 0        |       0 ± 0        |        0 ± 0         |      0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0        |
| Bin17  | 13.28 ± 0.08612  |  0.02536 ± 0.0079  |        0 ± 0        | 0.05386 ± 0.03808  | 0.002841 ± 0.002614  | 13.36 ± 0.09453  | 0 ± 0  | 0 ± 0  | 0.08945 ± 0.06194  |
| Bin18  |  60.85 ± 0.185   |   0.137 ± 0.0206   |  0.08658 ± 0.08634  |  0.133 ± 0.08778   |  0.03565 ± 0.03559   |  61.24 ± 0.226   | 0 ± 0  | 0 ± 0  |  0.1896 ± 0.1064   |
| Bin19  |  31.41 ± 0.1338  |  0.1404 ± 0.02029  |  0.02796 ± 0.01425  |  0.1312 ± 0.1012   | 0.006216 ± 0.003955  |  31.72 ± 0.1696  | 0 ± 0  | 0 ± 0  |  0.3159 ± 0.1302   |
| Bin20  |  20.01 ± 0.1071  |  0.1028 ± 0.01854  | -0.07846 ± 0.09264  |  0.183 ± 0.09291   |  0.00503 ± 0.00362   |  20.22 ± 0.1704  | 0 ± 0  | 0 ± 0  |  0.5298 ± 0.1496   |
