+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |    3.607 ± 0.03818     |    3.607 ± 0.03818     | 3.994e-05 ± 2.306e-05  |
| Bin2   |     204.2 ± 0.2981     |     204.2 ± 0.2981     |  0.006835 ± 0.0004045  |
| Bin3   |     23.19 ± 0.1009     |     23.19 ± 0.1009     |    0.133 ± 0.07563     |
| Bin4   |    4.381 ± 0.04379     |    4.381 ± 0.04379     |  0.0002803 ± 0.000119  |
| Bin5   |    1.384 ± 0.02463     |    1.384 ± 0.02463     | 0.0002004 ± 0.0001129  |
| Bin6   |    0.5193 ± 0.01512    |    0.5193 ± 0.01512    | 2.663e-05 ± 1.883e-05  |
| Bin7   |   0.2245 ± 0.009936    |   0.2245 ± 0.009936    |         0 ± 0          |
| Bin8   |   0.09082 ± 0.006334   |   0.09082 ± 0.006334   | 1.331e-05 ± 1.331e-05  |
| Bin9   |   0.05091 ± 0.004762   |   0.05091 ± 0.004762   |         0 ± 0          |
| Bin10  |   0.02518 ± 0.003333   |   0.02518 ± 0.003333   |         0 ± 0          |
| Bin11  |   0.01049 ± 0.002127   |   0.01049 ± 0.002127   |         0 ± 0          |
| Bin12  |  0.007856 ± 0.001861   |  0.007856 ± 0.001861   |         0 ± 0          |
| Bin13  |  0.005893 ± 0.001534   |  0.005893 ± 0.001534   |         0 ± 0          |
| Bin14  |  0.004358 ± 0.001427   |  0.004358 ± 0.001427   |         0 ± 0          |
| Bin15  |  0.000423 ± 0.0002991  |  0.000423 ± 0.0002991  |         0 ± 0          |
| Bin16  | 0.0004979 ± 0.0004979  | 0.0004979 ± 0.0004979  |         0 ± 0          |
| Bin17  | 0.0002657 ± 0.0002183  | 0.0002657 ± 0.0002183  |         0 ± 0          |
| Bin18  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin19  | 0.0004979 ± 0.0004979  | 0.0004979 ± 0.0004979  |         0 ± 0          |
| Bin20  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin21  |         0 ± 0          |         0 ± 0          |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
