+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |    6.124 ± 0.05344     |    6.124 ± 0.05344     | 7.426e-05 ± 3.032e-05  |
| Bin2   |      440 ± 0.4638      |      440 ± 0.4638      |    0.142 ± 0.07353     |
| Bin3   |     55.44 ± 0.1651     |     55.44 ± 0.1651     |    0.1315 ± 0.09493    |
| Bin4   |    10.24 ± 0.07104     |    10.24 ± 0.07104     |   -0.04206 ± 0.04245   |
| Bin5   |     3.05 ± 0.03884     |     3.05 ± 0.03884     |  0.000198 ± 4.95e-05   |
| Bin6   |    1.168 ± 0.02404     |    1.168 ± 0.02404     |   0.04254 ± 0.04245    |
| Bin7   |    0.4649 ± 0.01519    |    0.4649 ± 0.01519    |   0.04246 ± 0.04245    |
| Bin8   |    0.2218 ± 0.01053    |    0.2218 ± 0.01053    | 1.238e-05 ± 1.238e-05  |
| Bin9   |   0.1123 ± 0.007493    |   0.1123 ± 0.007493    |         0 ± 0          |
| Bin10  |   0.05507 ± 0.005239   |   0.05507 ± 0.005239   |         0 ± 0          |
| Bin11  |   0.0352 ± 0.004212    |   0.0352 ± 0.004212    |         0 ± 0          |
| Bin12  |   0.01781 ± 0.002945   |   0.01781 ± 0.002945   |         0 ± 0          |
| Bin13  |  0.006332 ± 0.001801   |  0.006332 ± 0.001801   |         0 ± 0          |
| Bin14  |  0.00159 ± 0.0009177   |  0.00159 ± 0.0009177   |         0 ± 0          |
| Bin15  |   0.002762 ± 0.00119   |   0.002762 ± 0.00119   |         0 ± 0          |
| Bin16  |  0.001172 ± 0.0007577  |  0.001172 ± 0.0007577  |         0 ± 0          |
| Bin17  |  0.001172 ± 0.0007577  |  0.001172 ± 0.0007577  |         0 ± 0          |
| Bin18  | 0.0004593 ± 0.0004593  | 0.0004593 ± 0.0004593  |         0 ± 0          |
| Bin19  | 0.0005298 ± 0.0005298  | 0.0005298 ± 0.0005298  |         0 ± 0          |
| Bin20  | 0.0005298 ± 0.0005298  | 0.0005298 ± 0.0005298  |         0 ± 0          |
| Bin21  | 0.0005298 ± 0.0005298  | 0.0005298 ± 0.0005298  |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
