+--------+---------------------+---------------------+------------------------+
| Bin#   |         ZZ          |        Total        |          WWZ           |
|--------+---------------------+---------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0        |         0 ± 0          |
| Bin1   |   435.7 ± 0.4613    |   435.7 ± 0.4613    |    0.2289 ± 0.1123     |
| Bin2   |   58.01 ± 0.1688    |   58.01 ± 0.1688    |    0.08704 ± 0.0849    |
| Bin3   |   13.1 ± 0.08042    |   13.1 ± 0.08042    | 0.0004332 ± 7.528e-05  |
| Bin4   |   4.689 ± 0.04828   |   4.689 ± 0.04828   |  0.000198 ± 4.95e-05   |
| Bin5   |   2.132 ± 0.03259   |   2.132 ± 0.03259   | 0.0001114 ± 3.713e-05  |
| Bin6   |   1.051 ± 0.0229    |   1.051 ± 0.0229    |  2.475e-05 ± 1.75e-05  |
| Bin7   |  0.6264 ± 0.01774   |  0.6264 ± 0.01774   | 1.238e-05 ± 1.238e-05  |
| Bin8   |  0.4056 ± 0.01424   |  0.4056 ± 0.01424   | 1.238e-05 ± 1.238e-05  |
| Bin9   |  0.2548 ± 0.01133   |  0.2548 ± 0.01133   |         0 ± 0          |
| Bin10  |  0.1914 ± 0.009744  |  0.1914 ± 0.009744  |         0 ± 0          |
| Bin11  |  0.148 ± 0.008577   |  0.148 ± 0.008577   |  2.475e-05 ± 1.75e-05  |
| Bin12  |  0.1207 ± 0.007771  |  0.1207 ± 0.007771  |         0 ± 0          |
| Bin13  | 0.08376 ± 0.006465  | 0.08376 ± 0.006465  |         0 ± 0          |
| Bin14  |  0.06276 ± 0.00564  |  0.06276 ± 0.00564  |         0 ± 0          |
| Bin15  |  0.0524 ± 0.005102  |  0.0524 ± 0.005102  |         0 ± 0          |
| Bin16  | 0.04408 ± 0.004619  | 0.04408 ± 0.004619  |         0 ± 0          |
| Bin17  | 0.03725 ± 0.004314  | 0.03725 ± 0.004314  |         0 ± 0          |
| Bin18  |  0.02889 ± 0.0038   |  0.02889 ± 0.0038   | 1.238e-05 ± 1.238e-05  |
| Bin19  | 0.02124 ± 0.003188  | 0.02124 ± 0.003188  |         0 ± 0          |
| Bin20  | 0.01621 ± 0.002827  | 0.01621 ± 0.002827  |         0 ± 0          |
| Bin21  |  0.1764 ± 0.009363  |  0.1764 ± 0.009363  |         0 ± 0          |
+--------+---------------------+---------------------+------------------------+
