+--------+------------------------+------------------------+------------------------+
| Bin#   |           ZZ           |         Total          |          WWZ           |
|--------+------------------------+------------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0          |         0 ± 0          |
| Bin1   |     22.22 ± 0.1087     |     22.22 ± 0.1087     | 0.0003408 ± 6.447e-05  |
| Bin2   |     1487 ± 0.9213      |     1487 ± 0.9213      |    0.3963 ± 0.1227     |
| Bin3   |     181.6 ± 0.3238     |     181.6 ± 0.3238     |    0.4053 ± 0.1561     |
| Bin4   |     33.61 ± 0.1392     |     33.61 ± 0.1392     |   0.005098 ± 0.06217   |
| Bin5   |     10.2 ± 0.07672     |     10.2 ± 0.07672     |    0.1325 ± 0.07609    |
| Bin6   |    3.839 ± 0.04707     |    3.839 ± 0.04707     |   0.04281 ± 0.04245    |
| Bin7   |     1.61 ± 0.03055     |     1.61 ± 0.03055     |   0.04257 ± 0.04245    |
| Bin8   |    0.6911 ± 0.01995    |    0.6911 ± 0.01995    | 2.569e-05 ± 1.818e-05  |
| Bin9   |    0.3817 ± 0.01494    |    0.3817 ± 0.01494    |         0 ± 0          |
| Bin10  |    0.1901 ± 0.01052    |    0.1901 ± 0.01052    |         0 ± 0          |
| Bin11  |   0.1112 ± 0.008158    |   0.1112 ± 0.008158    |  3.638e-05 ± 2.1e-05   |
| Bin12  |   0.06365 ± 0.006142   |   0.06365 ± 0.006142   |         0 ± 0          |
| Bin13  |   0.02997 ± 0.004079   |   0.02997 ± 0.004079   |         0 ± 0          |
| Bin14  |   0.01358 ± 0.002927   |   0.01358 ± 0.002927   |         0 ± 0          |
| Bin15  |  0.008365 ± 0.002287   |  0.008365 ± 0.002287   |         0 ± 0          |
| Bin16  |   0.006046 ± 0.00198   |   0.006046 ± 0.00198   |         0 ± 0          |
| Bin17  |  0.005228 ± 0.001819   |  0.005228 ± 0.001819   |         0 ± 0          |
| Bin18  |  0.001293 ± 0.0009133  |  0.001293 ± 0.0009133  |         0 ± 0          |
| Bin19  |  0.001816 ± 0.001072   |  0.001816 ± 0.001072   |         0 ± 0          |
| Bin20  | 0.0007211 ± 0.0005633  | 0.0007211 ± 0.0005633  |         0 ± 0          |
| Bin21  | 0.0009387 ± 0.0006692  | 0.0009387 ± 0.0006692  |         0 ± 0          |
+--------+------------------------+------------------------+------------------------+
