+--------+----------------------+----------------------+-----------------------+--------------------+-----------------------+---------------------+--------+---------+------------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ         |         Other         |        Total        |  data  |  Ratio  |          WWZ           |
|--------+----------------------+----------------------+-----------------------+--------------------+-----------------------+---------------------+--------+---------+------------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   | 0.00209 ± 0.0009154  | 0.001436 ± 0.001436  |         0 ± 0         |  -0.0108 ± 0.0108  |  0.001186 ± 0.001186  |  -0.006089 ± 0.011  | 0 ± 0  | -0 ± 0  | 0.0003698 ± 0.0001247  |
| Bin2   | 0.006134 ± 0.001552  |  0.01436 ± 0.004975  |  0.005248 ± 0.005248  |  0.0108 ± 0.0108   |         0 ± 0         |  0.03654 ± 0.01309  | 0 ± 0  |  0 ± 0  |  0.004111 ± 0.0003869  |
| Bin3   |  0.01263 ± 0.002188  | 0.007181 ± 0.004308  |         0 ± 0         |  0.08295 ± 0.0539  |         0 ± 0         |  0.1028 ± 0.05412   | 0 ± 0  |  0 ± 0  |   0.0159 ± 0.0006756   |
| Bin4   |  0.01863 ± 0.002676  | 0.005745 ± 0.005374  |         0 ± 0         |  0.0108 ± 0.01871  |  0.003092 ± 0.002245  |  0.03827 ± 0.01978  | 0 ± 0  |  0 ± 0  |   0.07671 ± 0.04543    |
| Bin5   |  0.02318 ± 0.002938  |  0.0316 ± 0.007036   |         0 ± 0         | -0.0324 ± 0.02415  | -0.001186 ± 0.001186  |  0.02119 ± 0.02535  | 0 ± 0  |  0 ± 0  |   0.08533 ± 0.04544    |
| Bin6   |  0.02822 ± 0.003267  |  0.01149 ± 0.007599  |         0 ± 0         |  0.0216 ± 0.01527  |   0.03553 ± 0.03436   |  0.09684 ± 0.0385   | 0 ± 0  |  0 ± 0  |    0.1373 ± 0.06425    |
| Bin7   |  0.02659 ± 0.003151  |  0.01149 ± 0.007036  |  0.005248 ± 0.005248  |  0.0108 ± 0.0108   |   0.00144 ± 0.00359   |  0.05557 ± 0.01471  | 0 ± 0  |  0 ± 0  |   0.09291 ± 0.07869    |
| Bin8   |  0.02018 ± 0.002745  |  0.02441 ± 0.008496  |   0.09854 ± 0.09854   |    0 ± 0.01527     |  0.003558 ± 0.002054  |   0.1467 ± 0.1001   | 0 ± 0  |  0 ± 0  |    0.1376 ± 0.06425    |
| Bin9   |  0.02309 ± 0.002954  |  0.01293 ± 0.007734  |   0.09854 ± 0.09854   |    0 ± 0.01527     |  0.003558 ± 0.002054  |   0.1381 ± 0.1001   | 0 ± 0  |  0 ± 0  |    0.1321 ± 0.06425    |
| Bin10  |  0.01791 ± 0.002576  |  0.03734 ± 0.009526  |   0.0105 ± 0.007422   |  0.0216 ± 0.0216   |  0.003092 ± 0.002245  |  0.09044 ± 0.02498  | 0 ± 0  |  0 ± 0  |   0.03595 ± 0.06425    |
| Bin11  |  0.01809 ± 0.002588  |  0.02154 ± 0.007996  |         0 ± 0         |  0.0216 ± 0.0216   |         0 ± 0         |  0.06123 ± 0.02318  | 0 ± 0  |  0 ± 0  |    0.1209 ± 0.06425    |
| Bin12  |  0.008914 ± 0.00172  |  0.02585 ± 0.008124  | -0.005248 ± 0.005248  | 0.03975 ± 0.05169  |         0 ± 0         |  0.06927 ± 0.05262  | 0 ± 0  |  0 ± 0  |   0.07014 ± 0.04543    |
| Bin13  |  0.009364 ± 0.00185  |  0.03303 ± 0.008496  |         0 ± 0         | 0.06135 ± 0.05169  |  0.002372 ± 0.001677  |  0.1061 ± 0.05244   | 0 ± 0  |  0 ± 0  |  0.02078 ± 0.0008004   |
| Bin14  |  0.01145 ± 0.002076  | 0.005745 ± 0.007036  |  0.005248 ± 0.005248  |       0 ± 0        | -0.002372 ± 0.001677  | 0.02007 ± 0.009174  | 0 ± 0  |  0 ± 0  |  0.01797 ± 0.0008557   |
| Bin15  | 0.007772 ± 0.001719  |  0.02441 ± 0.007996  |         0 ± 0         |  0.0108 ± 0.0108   |  0.002372 ± 0.001677  |  0.04536 ± 0.01365  | 0 ± 0  |  0 ± 0  |   0.05979 ± 0.04543    |
| Bin16  | 0.008818 ± 0.001803  |  0.0158 ± 0.007462   |         0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  |  0.0258 ± 0.007768  | 0 ± 0  |  0 ± 0  |   0.05627 ± 0.04543    |
| Bin17  |  0.00768 ± 0.001725  |  0.02585 ± 0.007323  |         0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  | 0.03234 ± 0.007616  | 0 ± 0  |  0 ± 0  |  0.009106 ± 0.0005661  |
| Bin18  | 0.007319 ± 0.001647  |  0.01005 ± 0.005562  |  0.005248 ± 0.005248  |       0 ± 0        |         0 ± 0         | 0.02262 ± 0.007823  | 0 ± 0  |  0 ± 0  |  0.00708 ± 0.0005258   |
| Bin19  |  0.006272 ± 0.00153  | 0.005745 ± 0.004541  |  0.005248 ± 0.005248  |  0.0216 ± 0.01527  |         0 ± 0         |  0.03887 ± 0.01685  | 0 ± 0  |  0 ± 0  |   0.05181 ± 0.04543    |
