+--------+-----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+-------------+------------------+------------------------+
| Bin#   |          ZZ           |          ttZ          |        Higgs         |         WZ         |         Other         |        Total         |    data     |      Ratio       |          WWZ           |
|--------+-----------------------+-----------------------+----------------------+--------------------+-----------------------+----------------------+-------------+------------------+------------------------+
| Bin0   |         0 ± 0         |         0 ± 0         |        0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |     31.68 ± 0.108     |  0.002872 ± 0.002031  |  0.09854 ± 0.09854   |       0 ± 0        |         0 ± 0         |    31.78 ± 0.1462    | 15 ± 3.873  |  0.472 ± 0.1219  | 0.0001118 ± 3.536e-05  |
| Bin2   |    57.45 ± 0.1444     |  0.001436 ± 0.001436  |   0.1971 ± 0.1394    |       0 ± 0        |         0 ± 0         |    57.65 ± 0.2007    | 48 ± 6.928  | 0.8326 ± 0.1202  | 0.0003355 ± 6.125e-05  |
| Bin3   |    48.41 ± 0.1315     |  0.001436 ± 0.001436  |  0.09854 ± 0.09854   |       0 ± 0        |  0.002372 ± 0.001677  |    48.51 ± 0.1644    | 42 ± 6.481  | 0.8658 ± 0.1336  | 0.0009073 ± 0.0001823  |
| Bin4   |    33.12 ± 0.1084     |  0.001436 ± 0.001436  |  0.09854 ± 0.09854   |  0.0108 ± 0.0108   |         0 ± 0         |    33.23 ± 0.1469    |   36 ± 6    |  1.083 ± 0.1806  |  0.000996 ± 0.0001518  |
| Bin5   |    19.86 ± 0.08379    |  0.002872 ± 0.002872  |        0 ± 0         |  0.0108 ± 0.0108   |         0 ± 0         |   19.87 ± 0.08453    |  22 ± 4.69  |  1.107 ± 0.236   |   0.0008723 ± 0.0001   |
| Bin6   |    11.05 ± 0.06236    |  0.002872 ± 0.004062  |        0 ± 0         |  0.0108 ± 0.0108   |         0 ± 0         |   11.06 ± 0.06342    |  7 ± 2.646  | 0.6327 ± 0.2392  |  0.0008387 ± 9.94e-05  |
| Bin7   |    6.124 ± 0.04646    |  0.004308 ± 0.003211  |  -0.09854 ± 0.09854  |       0 ± 0        |  0.003558 ± 0.002054  |    6.033 ± 0.109     |  6 ± 2.449  | 0.9946 ± 0.4064  | 0.0007724 ± 0.0001434  |
| Bin8   |    3.194 ± 0.03355    |   0.004308 ± 0.0038   |        0 ± 0         |       0 ± 0        |         0 ± 0         |   3.198 ± 0.03376    |  7 ± 2.646  |  2.189 ± 0.8275  | 0.0007507 ± 0.0001767  |
| Bin9   |    1.667 ± 0.02428    |  0.002872 ± 0.003518  |        0 ± 0         |       0 ± 0        | -0.001186 ± 0.001186  |   1.668 ± 0.02457    |  3 ± 1.732  |  1.798 ± 1.039   | 0.0005375 ± 0.0001329  |
| Bin10  |   0.8516 ± 0.01732    | -0.001436 ± 0.002487  |        0 ± 0         | -0.0216 ± 0.01527  |  0.004743 ± 0.002372  |   0.8333 ± 0.02335   |    0 ± 0    |      0 ± 0       |  0.0004026 ± 6.71e-05  |
| Bin11  |   0.4521 ± 0.01268    |  0.002872 ± 0.002872  |        0 ± 0         |  0.0108 ± 0.0108   |  0.001186 ± 0.001186  |   0.467 ± 0.01694    |    1 ± 1    |  2.141 ± 2.143   | 0.0003467 ± 6.616e-05  |
| Bin12  |   0.2388 ± 0.009243   |  0.008617 ± 0.003518  | 0.005248 ± 0.005248  |  0.0108 ± 0.0108   |  0.002372 ± 0.001677  |   0.2659 ± 0.01565   |    0 ± 0    |      0 ± 0       |  0.000246 ± 5.245e-05  |
| Bin13  |   0.1256 ± 0.006735   |  0.005745 ± 0.003518  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.1314 ± 0.007598   |    0 ± 0    |      0 ± 0       | 0.0002356 ± 0.0001185  |
| Bin14  |  0.06416 ± 0.004742   |     0 ± 0.002872      |  0.09854 ± 0.09854   |       0 ± 0        |         0 ± 0         |   0.1627 ± 0.09869   |    0 ± 0    |      0 ± 0       | 0.0001006 ± 3.355e-05  |
| Bin15  |   0.0386 ± 0.003717   |     0 ± 0.002031      |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.0386 ± 0.004236   |    0 ± 0    |      0 ± 0       | 0.0001566 ± 4.184e-05  |
| Bin16  |  0.02228 ± 0.002828   |  0.007181 ± 0.003211  |        0 ± 0         |       0 ± 0        |         0 ± 0         |  0.02946 ± 0.004279  |    0 ± 0    |      0 ± 0       |  6.71e-05 ± 2.739e-05  |
| Bin17  |   0.01432 ± 0.00232   |  0.001436 ± 0.002487  |        0 ± 0         |       0 ± 0        |  0.001186 ± 0.001186  |  0.01694 ± 0.003602  |    0 ± 0    |      0 ± 0       | 1.118e-05 ± 1.118e-05  |
| Bin18  |  0.006318 ± 0.001515  |  0.001436 ± 0.003211  |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.007754 ± 0.003551  |    0 ± 0    |      0 ± 0       |  6.71e-05 ± 2.739e-05  |
| Bin19  | 0.001637 ± 0.0007384  |  0.002872 ± 0.002031  |        0 ± 0         |       0 ± 0        |         0 ± 0         | 0.004509 ± 0.002161  |    0 ± 0    |      0 ± 0       | 2.237e-05 ± 1.582e-05  |
