+--------+------------------+-----------------------+----------------------+-------------------+----------------------+------------------+-------------+------------------+------------------------+
| Bin#   |        ZZ        |          ttZ          |        Higgs         |        WZ         |        Other         |      Total       |    data     |      Ratio       |          WWZ           |
|--------+------------------+-----------------------+----------------------+-------------------+----------------------+------------------+-------------+------------------+------------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0       |        0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |      0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0       |        0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin2   |      0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0       |        0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin3   |      0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0       |        0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin4   | 2.324 ± 0.02826  |  0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0       |        0 ± 0         |  2.326 ± 0.0283  |    0 ± 0    |      0 ± 0       | 0.0001006 ± 3.355e-05  |
| Bin5   | 8.197 ± 0.05345  |  0.002872 ± 0.002031  |  0.09854 ± 0.09854   |       0 ± 0       |        0 ± 0         |  8.299 ± 0.1121  |  7 ± 2.646  |  0.8435 ± 0.319  | 0.0003243 ± 6.022e-05  |
| Bin6   |  19.71 ± 0.0835  |  0.002872 ± 0.002872  |   0.1971 ± 0.1394    |       0 ± 0       | 0.002372 ± 0.001677  |  19.91 ± 0.1625  | 19 ± 4.359  | 0.9543 ± 0.2191  | 0.0006822 ± 8.734e-05  |
| Bin7   |  36.8 ± 0.1152   |  0.004308 ± 0.004308  |        0 ± 0         |  0.0108 ± 0.0108  |        0 ± 0         |  36.82 ± 0.1158  | 27 ± 5.196  | 0.7334 ± 0.1412  | 0.0009618 ± 0.0001049  |
| Bin8   |  35.09 ± 0.1128  |  0.01723 ± 0.005374   |        0 ± 0         |  0.0108 ± 0.0108  |     0 ± 0.001677     |  35.12 ± 0.1134  | 32 ± 5.657  | 0.9111 ± 0.1611  |  0.001308 ± 0.000122   |
| Bin9   | 27.23 ± 0.09923  |  0.004308 ± 0.004308  |        0 ± 0         | -0.0108 ± 0.0108  | 0.003558 ± 0.002054  | 27.23 ± 0.09993  | 18 ± 4.243  | 0.6611 ± 0.1558  |  0.001007 ± 0.0001531  |
| Bin10  | 20.36 ± 0.08567  |  0.002872 ± 0.004541  |   0.2956 ± 0.1707    |       0 ± 0       | 0.002372 ± 0.001677  |  20.66 ± 0.191   | 19 ± 4.359  | 0.9195 ± 0.2111  | 0.0008954 ± 0.0001481  |
| Bin11  | 14.96 ± 0.07324  |  0.007181 ± 0.004308  |        0 ± 0         |       0 ± 0       | 0.002372 ± 0.001677  | 14.97 ± 0.07338  | 17 ± 4.123  |  1.136 ± 0.2755  | 0.0007165 ± 0.0001394  |
| Bin12  | 11.06 ± 0.06285  |  0.005745 ± 0.004062  |        0 ± 0         | 0.0108 ± 0.01871  |        0 ± 0         |  11.08 ± 0.0657  | 12 ± 3.464  |  1.083 ± 0.3128  | 0.0005494 ± 0.0001717  |
| Bin13  | 8.124 ± 0.05387  |  0.001436 ± 0.002487  |  -0.09854 ± 0.09854  |  0.0108 ± 0.0108  |        0 ± 0         |  8.037 ± 0.1128  | 12 ± 3.464  |  1.493 ± 0.4315  |  0.0004376 ± 0.000168  |
| Bin14  | 6.174 ± 0.04689  |  0.004308 ± 0.002487  |        0 ± 0         |       0 ± 0       | 0.001186 ± 0.001186  | 6.179 ± 0.04697  |    4 ± 2    | 0.6473 ± 0.3237  | 0.0003139 ± 0.0001222  |
| Bin15  | 4.688 ± 0.04092  |  0.002872 ± 0.002872  | 0.005248 ± 0.005248  |       0 ± 0       |        0 ± 0         | 4.696 ± 0.04135  |    4 ± 2    |  0.8518 ± 0.426  | 0.0002013 ± 4.745e-05  |
| Bin16  | 3.648 ± 0.03615  |  0.004308 ± 0.002487  |        0 ± 0         |       0 ± 0       |        0 ± 0         | 3.652 ± 0.03624  |  5 ± 2.236  |  1.369 ± 0.6125  | 7.828e-05 ± 2.959e-05  |
| Bin17  |  2.807 ± 0.0317  | -0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0       | 0.001186 ± 0.001186  | 2.806 ± 0.03176  |  3 ± 1.732  |  1.069 ± 0.6173  | 7.828e-05 ± 2.959e-05  |
| Bin18  |  2.163 ± 0.0279  |  0.002872 ± 0.002031  |        0 ± 0         |       0 ± 0       | 0.001186 ± 0.001186  |  2.167 ± 0.028   |    0 ± 0    |      0 ± 0       | 7.828e-05 ± 2.959e-05  |
| Bin19  | 1.702 ± 0.02475  |     0 ± 0.002031      |        0 ± 0         |       0 ± 0       |        0 ± 0         | 1.702 ± 0.02484  |    1 ± 1    | 0.5875 ± 0.5875  | 2.237e-05 ± 1.582e-05  |
| Bin20  | 1.396 ± 0.02237  |  0.001436 ± 0.001436  |        0 ± 0         |       0 ± 0       |        0 ± 0         | 1.397 ± 0.02242  |  2 ± 1.414  |  1.431 ± 1.012   | 1.118e-05 ± 1.118e-05  |
