+--------+------------------------+-----------------------+---------------------+-------------------+----------------------+-----------------------+-------------+------------------+------------------------+
| Bin#   |           ZZ           |          ttZ          |        Higgs        |        WZ         |        Other         |         Total         |    data     |      Ratio       |          WWZ           |
|--------+------------------------+-----------------------+---------------------+-------------------+----------------------+-----------------------+-------------+------------------+------------------------+
| Bin0   |         0 ± 0          |         0 ± 0         |        0 ± 0        |       0 ± 0       |        0 ± 0         |         0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |    8.179 ± 0.05427     |         0 ± 0         |  0.09854 ± 0.09854  |       0 ± 0       |        0 ± 0         |    8.277 ± 0.1125     |  2 ± 1.414  | 0.2416 ± 0.1709  | 2.237e-05 ± 1.582e-05  |
| Bin2   |    22.32 ± 0.08969     |         0 ± 0         |  0.09854 ± 0.09854  |       0 ± 0       |        0 ± 0         |    22.42 ± 0.1332     | 17 ± 4.123  |  0.7584 ± 0.184  | 0.0001006 ± 3.355e-05  |
| Bin3   |     30.83 ± 0.1054     | -0.001436 ± 0.001436  |        0 ± 0        |       0 ± 0       |        0 ± 0         |    30.83 ± 0.1054     | 18 ± 4.243  | 0.5839 ± 0.1376  | 0.0002572 ± 5.592e-05  |
| Bin4   |     33.11 ± 0.1092     |  0.001436 ± 0.001436  |        0 ± 0        |       0 ± 0       | 0.002372 ± 0.001677  |    33.12 ± 0.1092     | 33 ± 5.745  | 0.9965 ± 0.1735  | 0.0003355 ± 6.125e-05  |
| Bin5   |     30.57 ± 0.1047     |  0.001436 ± 0.001436  | -0.09854 ± 0.09854  |  0.0108 ± 0.0108  |        0 ± 0         |    30.48 ± 0.1442     | 17 ± 4.123  | 0.5578 ± 0.1353  | 0.0004361 ± 7.333e-05  |
| Bin6   |     25.59 ± 0.0958     |  0.004308 ± 0.002487  |        0 ± 0        |       0 ± 0       |        0 ± 0         |    25.59 ± 0.09583    | 23 ± 4.796  | 0.8987 ± 0.1874  | 0.0007388 ± 0.0001403  |
| Bin7   |    19.93 ± 0.08451     |  0.001436 ± 0.002487  |   0.2023 ± 0.1395   |  0.0108 ± 0.0108  | 0.003558 ± 0.002054  |    20.15 ± 0.1634     | 27 ± 5.196  |  1.34 ± 0.2582   | 0.0005592 ± 8.064e-05  |
| Bin8   |    14.63 ± 0.07238     |  0.007181 ± 0.003211  |        0 ± 0        |  0.0108 ± 0.0108  |        0 ± 0         |    14.65 ± 0.07326    | 17 ± 4.123  |  1.16 ± 0.2815   | 0.0007165 ± 0.0001412  |
| Bin9   |    10.39 ± 0.06098     |     0 ± 0.002031      |        0 ± 0        |       0 ± 0       | 0.001186 ± 0.001186  |    10.39 ± 0.06103    |  8 ± 2.828  |  0.77 ± 0.2723   | 0.0006054 ± 0.0001728  |
| Bin10  |    6.999 ± 0.05002     |  0.002872 ± 0.002031  |        0 ± 0        |       0 ± 0       | 0.001186 ± 0.002054  |    7.003 ± 0.0501     |  7 ± 2.646  | 0.9995 ± 0.3779  | 0.0005823 ± 0.0001339  |
| Bin11  |    4.542 ± 0.04022     |  0.005745 ± 0.003518  |  0.09854 ± 0.09854  |       0 ± 0       |        0 ± 0         |    4.646 ± 0.1065     |  5 ± 2.236  |  1.076 ± 0.4819  | 0.0004585 ± 7.333e-05  |
| Bin12  |    2.844 ± 0.03184     |  0.001436 ± 0.002487  |        0 ± 0        |    0 ± 0.01527    |        0 ± 0         |    2.845 ± 0.0354     |  5 ± 2.236  |  1.757 ± 0.7862  | 0.0004921 ± 7.418e-05  |
| Bin13  |    1.818 ± 0.02552     |  0.002872 ± 0.003518  |        0 ± 0        |       0 ± 0       | 0.001186 ± 0.001186  |    1.823 ± 0.02579    |  2 ± 1.414  |  1.097 ± 0.7761  | 0.0004704 ± 0.0001301  |
| Bin14  |     1.08 ± 0.01962     |  0.007181 ± 0.003211  |        0 ± 0        |       0 ± 0       |        0 ± 0         |    1.087 ± 0.01988    |    1 ± 1    | 0.9201 ± 0.9202  | 0.0002908 ± 5.702e-05  |
| Bin15  |    0.6456 ± 0.01513    |   0.007181 ± 0.0038   |        0 ± 0        |       0 ± 0       | 0.002372 ± 0.001677  |   0.6552 ± 0.01568    |    4 ± 2    |  6.105 ± 3.056   | 0.0002237 ± 5.001e-05  |
| Bin16  |    0.3708 ± 0.01151    | -0.002872 ± 0.002872  |        0 ± 0        |  0.0108 ± 0.0108  | 0.001186 ± 0.001186  |    0.38 ± 0.01609     |    0 ± 0    |      0 ± 0       | 0.0002796 ± 5.811e-05  |
| Bin17  |    0.204 ± 0.008492    | -0.001436 ± 0.002487  |        0 ± 0        |       0 ± 0       |        0 ± 0         |   0.2025 ± 0.008849   |    0 ± 0    |      0 ± 0       | 0.0001901 ± 4.875e-05  |
| Bin18  |   0.1269 ± 0.006746    | -0.001436 ± 0.003211  |        0 ± 0        |       0 ± 0       |        0 ± 0         |   0.1254 ± 0.007471   |    1 ± 1    |  7.971 ± 7.986   | 0.0002013 ± 4.745e-05  |
| Bin19  |   0.08137 ± 0.005437   |  0.001436 ± 0.001436  |        0 ± 0        | -0.0108 ± 0.0108  |        0 ± 0         |   0.07201 ± 0.01218   |    0 ± 0    |      0 ± 0       | 0.0001118 ± 3.536e-05  |
