+--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ          |         Other         |        Total         |  data  | Ratio  |          WWZ          |
|--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+----------------------+--------+--------+-----------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  | 0 ± 0  |         0 ± 0         |
| Bin1   | 0.006241 ± 0.001739  | 0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |  0.001469 ± 0.001469  | 0.009436 ± 0.002856  | 0 ± 0  | 0 ± 0  | 0.003677 ± 0.0003029  |
| Bin2   |  0.01944 ± 0.003014  |  0.01036 ± 0.004229  |         0 ± 0         |     0 ± 0.01922     |  0.002937 ± 0.002077  |  0.03273 ± 0.02002   | 0 ± 0  | 0 ± 0  |  0.01374 ± 0.0006005  |
| Bin3   |  0.02626 ± 0.003498  |  0.01208 ± 0.005726  |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |  0.05193 ± 0.01516   | 0 ± 0  | 0 ± 0  |  -0.01818 ± 0.04367   |
| Bin4   |  0.03238 ± 0.003846  |  0.02244 ± 0.008279  |  0.006197 ± 0.006197  |  0.04077 ± 0.02354  |         0 ± 0         |    0.1018 ± 0.026    | 0 ± 0  | 0 ± 0  |   0.0787 ± 0.04367    |
| Bin5   |  0.02308 ± 0.00322   |  0.02762 ± 0.00772   |  0.006197 ± 0.006197  |  0.01359 ± 0.01359  |     0 ± 0.002077      |  0.07049 ± 0.01725   | 0 ± 0  | 0 ± 0  |   0.08785 ± 0.04367   |
| Bin6   |  0.02623 ± 0.003409  |  0.0259 ± 0.008632   |         0 ± 0         | -0.01359 ± 0.03039  |     0 ± 0.003597      |  0.03854 ± 0.03198   | 0 ± 0  | 0 ± 0  |   0.09314 ± 0.04368   |
| Bin7   |  0.02312 ± 0.00323   |  0.03971 ± 0.01021   |   0.09183 ± 0.08586   |  0.08154 ± 0.03329  |  0.001469 ± 0.001469  |   0.2377 ± 0.09272   | 0 ± 0  | 0 ± 0  |   0.09423 ± 0.04368   |
| Bin8   |  0.0229 ± 0.003194   |  0.02935 ± 0.009297  |  0.006197 ± 0.006197  |  0.01359 ± 0.01359  |     0 ± 0.002077      |   0.07203 ± 0.018    | 0 ± 0  | 0 ± 0  |   0.09171 ± 0.04368   |
| Bin9   |  0.01608 ± 0.00279   |  0.03625 ± 0.01021   |         0 ± 0         |  0.01359 ± 0.01359  |   0.04187 ± 0.04639   |   0.1078 ± 0.04949   | 0 ± 0  | 0 ± 0  |   0.08547 ± 0.04368   |
| Bin10  |  0.01497 ± 0.002605  |  0.04661 ± 0.009612  |  -0.01239 ± 0.008764  |     0 ± 0.01922     |   0.04775 ± 0.0463    |  0.09693 ± 0.05186   | 0 ± 0  | 0 ± 0  |   0.07866 ± 0.04367   |
| Bin11  |  0.01554 ± 0.002637  |  0.01726 ± 0.009135  |   0.09183 ± 0.08586   |  0.01359 ± 0.01359  | -0.001469 ± 0.001469  |   0.1368 ± 0.08746   | 0 ± 0  | 0 ± 0  |   0.07202 ± 0.04367   |
| Bin12  |  0.01543 ± 0.002687  |   0.0328 ± 0.01021   |   0.08563 ± 0.08563   |        0 ± 0        | -0.001469 ± 0.001469  |   0.1324 ± 0.08629   | 0 ± 0  | 0 ± 0  |  -0.01769 ± 0.04367   |
| Bin13  |  0.01635 ± 0.002749  |  0.03971 ± 0.009612  |         0 ± 0         |  0.04077 ± 0.02354  |   0.04922 ± 0.04633   |   0.146 ± 0.05292    | 0 ± 0  | 0 ± 0  |   0.1075 ± 0.06175    |
| Bin14  |  0.01213 ± 0.002319  |  0.03625 ± 0.009297  |  0.006197 ± 0.006197  |  0.02718 ± 0.02718  |   0.04775 ± 0.0463    |   0.1295 ± 0.05489   | 0 ± 0  | 0 ± 0  |   0.05938 ± 0.04367   |
| Bin15  |  0.01438 ± 0.002593  |  0.01726 ± 0.009135  |         0 ± 0         |     0 ± 0.01922     |     0 ± 0.002077      |  0.03164 ± 0.02154   | 0 ± 0  | 0 ± 0  |   0.0576 ± 0.04367    |
| Bin16  | 0.006534 ± 0.001718  |  0.02762 ± 0.009135  | -0.006197 ± 0.006197  |  0.01359 ± 0.01359  |  0.001469 ± 0.001469  |  0.04302 ± 0.01765   | 0 ± 0  | 0 ± 0  |  0.01195 ± 0.0007052  |
| Bin17  | 0.007017 ± 0.001735  |  0.02072 ± 0.009135  |  0.006197 ± 0.006197  |  0.02718 ± 0.01922  |  0.001469 ± 0.001469  |  0.06258 ± 0.02228   | 0 ± 0  | 0 ± 0  |   0.1408 ± 0.07563    |
| Bin18  | 0.006114 ± 0.001683  |  0.02072 ± 0.007324  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.02683 ± 0.007515  | 0 ± 0  | 0 ± 0  |   0.05168 ± 0.04367   |
| Bin19  |  0.00695 ± 0.001821  |  0.003453 ± 0.00598  |  0.01239 ± 0.008764   |  0.01359 ± 0.01359  |         0 ± 0         |  0.03639 ± 0.01734   | 0 ± 0  | 0 ± 0  | 0.007312 ± 0.0005676  |
