+--------+---------------------+----------------------+-----------------------+--------------------+-----------------------+---------------------+--------+--------+----------------------+
| Bin#   |         ZZ          |         ttZ          |         Higgs         |         WZ         |         Other         |        Total        |  data  | Ratio  |         WWZ          |
|--------+---------------------+----------------------+-----------------------+--------------------+-----------------------+---------------------+--------+--------+----------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0         |
| Bin1   |   10.43 ± 0.06869   | -0.001726 ± 0.00299  |  -0.08563 ± 0.08563   |       0 ± 0        |         0 ± 0         |   10.35 ± 0.1098    | 0 ± 0  | 0 ± 0  |  0.09966 ± 0.06175   |
| Bin2   |    19.39 ± 0.093    |  0.01208 ± 0.005726  | -0.006197 ± 0.006197  | 0.05609 ± 0.05609  |  0.001469 ± 0.001469  |   19.46 ± 0.1089    | 0 ± 0  | 0 ± 0  |   0.0801 ± 0.07563   |
| Bin3   |   17.11 ± 0.08676   |  0.02072 ± 0.008097  |   0.09183 ± 0.0863    | 0.05609 ± 0.05929  | -0.001469 ± 0.001469  |   17.27 ± 0.1362    | 0 ± 0  | 0 ± 0  |  0.09864 ± 0.04368   |
| Bin4   |   11.9 ± 0.07209    |  0.02762 ± 0.008097  |   0.01859 ± 0.01073   | 0.08154 ± 0.03329  |   0.08815 ± 0.0655    |   12.12 ± 0.1038    | 0 ± 0  | 0 ± 0  |   0.1155 ± 0.04369   |
| Bin5   |   7.463 ± 0.05695   |  0.03453 ± 0.009135  | -0.006197 ± 0.006197  | 0.02718 ± 0.01922  |  0.002937 ± 0.002077  |   7.521 ± 0.06115   | 0 ± 0  | 0 ± 0  |   0.1714 ± 0.06177   |
| Bin6   |   4.345 ± 0.04343   |  0.03798 ± 0.009456  |   0.006197 ± 0.1213   | 0.07047 ± 0.06065  |         0 ± 0         |   4.459 ± 0.1427    | 0 ± 0  | 0 ± 0  |   0.125 ± 0.04369    |
| Bin7   |   2.453 ± 0.03256   |  0.02417 ± 0.01007   |   0.08563 ± 0.08563   | 0.06795 ± 0.03596  |  0.002937 ± 0.004154  |   2.634 ± 0.09902   | 0 ± 0  | 0 ± 0  |   0.2546 ± 0.08734   |
| Bin8   |   1.413 ± 0.02484   |   0.02244 ± 0.0105   |  0.01239 ± 0.008764   | 0.06968 ± 0.06083  |   0.04481 ± 0.04635   |   1.562 ± 0.08156   | 0 ± 0  | 0 ± 0  |   0.1599 ± 0.06177   |
| Bin9   |   0.801 ± 0.01877   |  0.04316 ± 0.01021   |     0 ± 0.008764      |    0 ± 0.02718     |   0.04775 ± 0.04635   |  0.8919 ± 0.05848   | 0 ± 0  | 0 ± 0  |   0.1094 ± 0.04369   |
| Bin10  |  0.4408 ± 0.01393   |   0.0587 ± 0.01196   |  0.006197 ± 0.006197  | 0.04077 ± 0.02354  |  0.002937 ± 0.002077  |  0.5494 ± 0.03056   | 0 ± 0  | 0 ± 0  |   0.1398 ± 0.06176   |
| Bin11  |  0.2379 ± 0.01009   |  0.04143 ± 0.01064   |         0 ± 0         | 0.02718 ± 0.01922  |  0.002937 ± 0.002937  |  0.3094 ± 0.02435   | 0 ± 0  | 0 ± 0  |  0.04472 ± 0.001164  |
| Bin12  |  0.151 ± 0.008203   |  0.01899 ± 0.008279  |   0.01859 ± 0.01073   | 0.02718 ± 0.01922  |         0 ± 0         |  0.2158 ± 0.02491   | 0 ± 0  | 0 ± 0  |   0.1242 ± 0.06176   |
| Bin13  |  0.1001 ± 0.006663  |  0.02762 ± 0.009766  |     0 ± 0.008764      | 0.01359 ± 0.01359  |  0.004406 ± 0.002544  |  0.1457 ± 0.02019   | 0 ± 0  | 0 ± 0  |  0.03312 ± 0.001144  |
| Bin14  | 0.07414 ± 0.005779  |  0.03107 ± 0.009135  |  0.006197 ± 0.006197  |       0 ± 0        |     0 ± 0.002077      |  0.1114 ± 0.01263   | 0 ± 0  | 0 ± 0  |  0.02617 ± 0.001018  |
| Bin15  | 0.04833 ± 0.004708  |  0.0328 ± 0.009612   |         0 ± 0         |       0 ± 0        |  0.001469 ± 0.001469  |   0.0826 ± 0.0108   | 0 ± 0  | 0 ± 0  |  0.06454 ± 0.04367   |
| Bin16  | 0.03547 ± 0.004009  |  0.02417 ± 0.008803  |         0 ± 0         |       0 ± 0        | -0.001469 ± 0.001469  | 0.05817 ± 0.009783  | 0 ± 0  | 0 ± 0  |  0.06174 ± 0.04367   |
| Bin17  |  0.0272 ± 0.003532  |  0.01208 ± 0.006686  |         0 ± 0         |       0 ± 0        |  0.002937 ± 0.002077  | 0.04222 ± 0.007842  | 0 ± 0  | 0 ± 0  | 0.01496 ± 0.0008175  |
| Bin18  |  0.01949 ± 0.00289  |  0.01381 ± 0.00772   |         0 ± 0         |       0 ± 0        | -0.001469 ± 0.001469  | 0.03184 ± 0.008373  | 0 ± 0  | 0 ± 0  |  0.05464 ± 0.04367   |
| Bin19  | 0.01492 ± 0.002552  |  0.01726 ± 0.00772   |         0 ± 0         |       0 ± 0        |         0 ± 0         | 0.03219 ± 0.008131  | 0 ± 0  | 0 ± 0  | 0.01145 ± 0.0007541  |
