+--------+----------------------+-----------------------+-----------------------+---------------------+-----------------------+----------------------+-------------+------------------+------------------------+
| Bin#   |          ZZ          |          ttZ          |         Higgs         |         WZ          |         Other         |        Total         |    data     |      Ratio       |          WWZ           |
|--------+----------------------+-----------------------+-----------------------+---------------------+-----------------------+----------------------+-------------+------------------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |    83.01 ± 0.1904    |     0 ± 0.004883      |    0.5138 ± 0.2098    |        0 ± 0        | -0.001469 ± 0.002544  |    83.52 ± 0.2833    | 82 ± 9.055  | 0.9818 ± 0.1085  |  0.001868 ± 0.0002749  |
| Bin2   |    62.82 ± 0.1656    |  0.006905 ± 0.004883  |         0 ± 0         |  0.02718 ± 0.01922  |  0.001469 ± 0.001469  |    62.86 ± 0.1668    | 66 ± 8.124  |  1.05 ± 0.1293   |  0.001746 ± 0.0002108  |
| Bin3   |    40.62 ± 0.133     |  0.006905 ± 0.005459  |  -0.07944 ± 0.08586   |        0 ± 0        | -0.001469 ± 0.002544  |    40.55 ± 0.1584    | 48 ± 6.928  |  1.184 ± 0.1709  |  0.001586 ± 0.0002031  |
| Bin4   |    23.65 ± 0.1013    |  0.01208 ± 0.005179   |  -0.08563 ± 0.08563   |     0 ± 0.01922     |  0.001469 ± 0.001469  |    23.58 ± 0.1341    | 19 ± 4.359  | 0.8059 ± 0.1849  | 0.0009186 ± 0.0001122  |
| Bin5   |   12.94 ± 0.07492    |  0.008632 ± 0.00386   |   0.08563 ± 0.08563   |        0 ± 0        |   0.04775 ± 0.0463    |    13.08 ± 0.1229    |  7 ± 2.646  |  0.535 ± 0.2023  |   0.04456 ± 0.04366    |
| Bin6   |    6.7 ± 0.05387     |  0.01036 ± 0.005459   |  0.006197 ± 0.006197  |  0.02718 ± 0.01922  | -0.001469 ± 0.002544  |   6.742 ± 0.05785    |    4 ± 2    | 0.5933 ± 0.2967  | 0.0009075 ± 0.0002065  |
| Bin7   |   3.485 ± 0.03884    |  0.008632 ± 0.004568  | -0.006197 ± 0.006197  |        0 ± 0        |  0.001469 ± 0.001469  |   3.489 ± 0.03963    |  3 ± 1.732  | 0.8599 ± 0.4965  |  0.0005059 ± 8.42e-05  |
| Bin8   |    1.83 ± 0.02818    |  0.01381 ± 0.004883   |   0.08563 ± 0.08563   |        0 ± 0        | -0.001469 ± 0.001469  |   1.928 ± 0.09029    |    0 ± 0    |      0 ± 0       |   0.04385 ± 0.04366    |
| Bin9   |   0.9637 ± 0.02048   |     0 ± 0.003453      |         0 ± 0         | -0.01359 ± 0.01359  |         0 ± 0         |   0.9501 ± 0.02482   |    0 ± 0    |      0 ± 0       |   0.04394 ± 0.04366    |
| Bin10  |   0.5318 ± 0.01519   |  0.01208 ± 0.004568   |  -0.08563 ± 0.08563   |        0 ± 0        |         0 ± 0         |   0.4582 ± 0.08709   |    1 ± 1    |  2.182 ± 2.221   | 0.0002936 ± 0.0001183  |
| Bin11  |    0.2763 ± 0.011    |  0.005179 ± 0.00386   |  0.006197 ± 0.006197  |  0.01359 ± 0.01359  |         0 ± 0         |   0.3013 ± 0.01895   |    0 ± 0    |      0 ± 0       | 6.657e-05 ± 2.977e-05  |
| Bin12  |  0.1806 ± 0.008878   |     0 ± 0.002441      |         0 ± 0         |  0.01359 ± 0.01359  |         0 ± 0         |   0.1942 ± 0.01642   |    0 ± 0    |      0 ± 0       | 3.994e-05 ± 2.306e-05  |
| Bin13  |  0.09128 ± 0.006208  |     0 ± 0.002441      |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.09128 ± 0.006671  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin14  |  0.06175 ± 0.005185  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.06348 ± 0.005464  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin15  |  0.0464 ± 0.004539   |     0 ± 0.002441      |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.0464 ± 0.005154   |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin16  |  0.02151 ± 0.003074  |  0.001726 ± 0.00299   |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.02323 ± 0.004289  |    1 ± 1    |  43.04 ± 43.77   | 1.331e-05 ± 1.331e-05  |
| Bin17  |  0.01266 ± 0.002284  |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01266 ± 0.002284  |    0 ± 0    |      0 ± 0       | 1.331e-05 ± 1.331e-05  |
| Bin18  | 0.007308 ± 0.001711  | -0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.005582 ± 0.00243  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin19  |  0.01023 ± 0.002116  |  0.003453 ± 0.002441  |         0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01368 ± 0.003231  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
