+--------+------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------+-------------+------------------+------------------------+
| Bin#   |        ZZ        |          ttZ          |         Higgs         |         WZ          |         Other         |      Total       |    data     |      Ratio       |          WWZ           |
|--------+------------------+-----------------------+-----------------------+---------------------+-----------------------+------------------+-------------+------------------+------------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |      0 ± 0       |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin2   |      0 ± 0       |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin3   |      0 ± 0       |         0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin4   | 2.246 ± 0.03047  |         0 ± 0         |  0.006197 ± 0.006197  |        0 ± 0        |         0 ± 0         | 2.252 ± 0.03109  |  3 ± 1.732  |  1.332 ± 0.7694  | 9.319e-05 ± 3.994e-05  |
| Bin5   | 8.235 ± 0.05883  |  0.006905 ± 0.003453  |      0 ± 0.1211       |  0.02718 ± 0.01922  |         0 ± 0         |  8.269 ± 0.136   |  7 ± 2.646  | 0.8466 ± 0.3203  | 0.0003461 ± 6.788e-05  |
| Bin6   | 19.69 ± 0.09178  |  0.006905 ± 0.003453  | -0.006197 ± 0.006197  | -0.01359 ± 0.01359  |  0.001469 ± 0.001469  | 19.68 ± 0.09306  | 17 ± 4.123  | 0.8639 ± 0.2096  | 0.0006797 ± 0.0001396  |
| Bin7   |  41.76 ± 0.1351  |  0.005179 ± 0.00386   |      0 ± 0.1211       |  0.01359 ± 0.01359  | -0.001469 ± 0.001469  |  41.78 ± 0.182   | 45 ± 6.708  |  1.077 ± 0.1606  |  0.001279 ± 0.0001657  |
| Bin8   |  39.67 ± 0.1322  |  0.001726 ± 0.005179  |   0.08563 ± 0.08563   |        0 ± 0        |  0.001469 ± 0.001469  |  39.76 ± 0.1576  | 37 ± 6.083  |  0.9306 ± 0.153  |  0.001426 ± 0.0001987  |
| Bin9   |  30.83 ± 0.1164  |  0.01381 ± 0.005459   |      0 ± 0.1211       |  0.01359 ± 0.01359  |     0 ± 0.002937      |  30.86 ± 0.1686  |   25 ± 5    | 0.8102 ± 0.1621  |   0.04498 ± 0.04366    |
| Bin10  |  22.93 ± 0.1002  |   0.01036 ± 0.00598   |   0.09183 ± 0.08586   |  0.01359 ± 0.01359  |   0.04628 ± 0.04633   |  23.09 ± 0.1406  | 21 ± 4.583  | 0.9093 ± 0.1985  | 0.0007995 ± 0.0001452  |
| Bin11  | 16.82 ± 0.08552  |  0.01036 ± 0.004229   |         0 ± 0         |        0 ± 0        |  0.001469 ± 0.001469  | 16.83 ± 0.08564  |   16 ± 4    | 0.9508 ± 0.2377  | 0.0007322 ± 9.873e-05  |
| Bin12  | 12.36 ± 0.07326  |  0.01208 ± 0.004568   |         0 ± 0         |        0 ± 0        |         0 ± 0         |  12.38 ± 0.0734  | 15 ± 3.873  |  1.212 ± 0.313   | 0.0006006 ± 0.0001678  |
| Bin13  |  9.19 ± 0.06308  |  0.001726 ± 0.005179  |         0 ± 0         |     0 ± 0.01922     | -0.001469 ± 0.001469  | 9.191 ± 0.06616  |    9 ± 3    | 0.9793 ± 0.3265  | 0.0005207 ± 0.0001656  |
| Bin14  | 6.872 ± 0.05446  |     0 ± 0.002441      |    0.1775 ± 0.1213    |        0 ± 0        | -0.001469 ± 0.001469  |  7.048 ± 0.133   | 10 ± 3.162  |  1.419 ± 0.4495  | 0.0001997 ± 5.156e-05  |
| Bin15  | 5.246 ± 0.04768  |  0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         | 5.248 ± 0.04771  |  6 ± 2.449  |  1.143 ± 0.4669  |   0.08751 ± 0.06175    |
| Bin16  | 4.024 ± 0.04172  |  0.003453 ± 0.003453  |   0.08563 ± 0.08563   |        0 ± 0        |         0 ± 0         | 4.114 ± 0.09532  |  2 ± 1.414  |  0.4862 ± 0.344  | 0.0001198 ± 3.994e-05  |
| Bin17  | 3.068 ± 0.03651  | -0.001726 ± 0.001726  |         0 ± 0         |        0 ± 0        |         0 ± 0         | 3.066 ± 0.03655  |  2 ± 1.414  | 0.6523 ± 0.4613  | 0.0002138 ± 0.0001152  |
| Bin18  | 2.378 ± 0.03216  |  0.003453 ± 0.002441  |         0 ± 0         |        0 ± 0        |         0 ± 0         | 2.381 ± 0.03225  |    4 ± 2    |  1.68 ± 0.8402   | 9.319e-05 ± 3.522e-05  |
| Bin19  | 1.919 ± 0.02895  |  0.003453 ± 0.003453  |         0 ± 0         |  0.01359 ± 0.01359  |  0.001469 ± 0.001469  |  1.938 ± 0.0322  |  3 ± 1.732  |  1.548 ± 0.8941  | 0.0002544 ± 0.0001546  |
