+--------+-------------------+-----------------------+--------------------+---------------------+-----------------------+-------------------+-------------+------------------+------------------------+
| Bin#   |        ZZ         |          ttZ          |       Higgs        |         WZ          |         Other         |       Total       |    data     |      Ratio       |          WWZ           |
|--------+-------------------+-----------------------+--------------------+---------------------+-----------------------+-------------------+-------------+------------------+------------------------+
| Bin0   |       0 ± 0       |         0 ± 0         |       0 ± 0        |        0 ± 0        |         0 ± 0         |       0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |  68.46 ± 0.1726   |  0.02244 ± 0.008632   |  0.08563 ± 0.1917  |     0 ± 0.01922     |     0 ± 0.004154      |  68.57 ± 0.2588   | 73 ± 8.544  |  1.065 ± 0.1247  |   0.04632 ± 0.04366    |
| Bin2   |  50.02 ± 0.1475   |  0.01554 ± 0.008279   |  0.09803 ± 0.1486  |  0.01359 ± 0.01359  |  0.001469 ± 0.001469  |   50.14 ± 0.21    | 63 ± 7.937  |  1.256 ± 0.1584  |  0.00208 ± 0.0002641   |
| Bin3   |    31 ± 0.1161    |  0.003453 ± 0.004883  |       0 ± 0        |        0 ± 0        |   0.04775 ± 0.0463    |  31.05 ± 0.1251   | 21 ± 4.583  | 0.6762 ± 0.1476  |  0.001173 ± 0.0001891  |
| Bin4   |  19.3 ± 0.09163   |  0.006905 ± 0.004229  |       0 ± 0        |  0.01359 ± 0.01359  |         0 ± 0         |  19.32 ± 0.09273  | 11 ± 3.317  | 0.5692 ± 0.1716  | 0.0008794 ± 0.0001476  |
| Bin5   |  13.41 ± 0.07652  |  0.006905 ± 0.004229  | 0.08563 ± 0.08563  |  0.01359 ± 0.01359  | -0.001469 ± 0.001469  |  13.51 ± 0.1157   | 13 ± 3.606  |  0.9622 ± 0.267  | 0.0005458 ± 8.525e-05  |
| Bin6   |  9.903 ± 0.06577  |  0.006905 ± 0.004229  |       0 ± 0        |        0 ± 0        |  0.001469 ± 0.001469  |  9.911 ± 0.06592  |  5 ± 2.236  | 0.5045 ± 0.2256  |   0.04412 ± 0.04366    |
| Bin7   |  7.707 ± 0.05804  |  0.01036 ± 0.004229   |       0 ± 0        |  0.01359 ± 0.01359  |         0 ± 0         |  7.731 ± 0.05976  |    9 ± 3    |  1.164 ± 0.3882  | 0.0002396 ± 5.648e-05  |
| Bin8   |  6.153 ± 0.05179  |  0.005179 ± 0.00299   |       0 ± 0        |        0 ± 0        |         0 ± 0         |  6.158 ± 0.05188  | 10 ± 3.162  |  1.624 ± 0.5137  |  0.0001731 ± 4.8e-05   |
| Bin9   |  5.236 ± 0.04795  |  0.001726 ± 0.001726  |       0 ± 0        |        0 ± 0        |         0 ± 0         |  5.237 ± 0.04798  |  7 ± 2.646  |  1.337 ± 0.5053  |  0.0001331 ± 4.21e-05  |
| Bin10  |  4.145 ± 0.04255  |  0.005179 ± 0.00299   |       0 ± 0        |        0 ± 0        | -0.001469 ± 0.001469  |  4.149 ± 0.04268  |    4 ± 2    | 0.9642 ± 0.4822  | 0.0001198 ± 3.994e-05  |
| Bin11  |  3.368 ± 0.03838  |         0 ± 0         |       0 ± 0        |        0 ± 0        |         0 ± 0         |  3.368 ± 0.03838  |  3 ± 1.732  | 0.8908 ± 0.5144  | 0.0002138 ± 0.0001137  |
| Bin12  |  2.75 ± 0.03467   |         0 ± 0         | 0.08563 ± 0.08563  |        0 ± 0        |         0 ± 0         |  2.835 ± 0.09239  |    4 ± 2    |  1.411 ± 0.7069  | 3.994e-05 ± 2.977e-05  |
| Bin13  |  2.185 ± 0.03096  |         0 ± 0         |       0 ± 0        |        0 ± 0        |         0 ± 0         |  2.185 ± 0.03096  |    1 ± 1    | 0.4576 ± 0.4576  |   0.04376 ± 0.04366    |
| Bin14  |  1.869 ± 0.02876  |  0.005179 ± 0.00299   |       0 ± 0        |        0 ± 0        |         0 ± 0         |  1.874 ± 0.02891  |    1 ± 1    | 0.5336 ± 0.5336  | 5.325e-05 ± 2.663e-05  |
| Bin15  |  1.47 ± 0.02542   | -0.003453 ± 0.002441  |       0 ± 0        |  0.01359 ± 0.01359  |         0 ± 0         |  1.48 ± 0.02893   |    0 ± 0    |      0 ± 0       | 0.0001206 ± 0.0001081  |
| Bin16  |  1.219 ± 0.02315  |         0 ± 0         |       0 ± 0        |        0 ± 0        | -0.001469 ± 0.001469  |  1.217 ± 0.0232   |    0 ± 0    |      0 ± 0       | 5.325e-05 ± 2.663e-05  |
| Bin17  |  1.004 ± 0.02101  |         0 ± 0         | 0.08563 ± 0.08563  |        0 ± 0        |         0 ± 0         |  1.09 ± 0.08817   |    0 ± 0    |      0 ± 0       | 2.663e-05 ± 1.883e-05  |
| Bin18  | 0.8395 ± 0.01924  |         0 ± 0         |       0 ± 0        |        0 ± 0        |         0 ± 0         | 0.8395 ± 0.01924  |    0 ± 0    |      0 ± 0       | 1.331e-05 ± 1.331e-05  |
| Bin19  | 0.7355 ± 0.01799  |  0.001726 ± 0.001726  |       0 ± 0        |        0 ± 0        |         0 ± 0         | 0.7372 ± 0.01807  |    0 ± 0    |      0 ± 0       | 1.331e-05 ± 1.331e-05  |
