+--------+----------------------+----------------------+---------------------+---------------------+----------------------+----------------------+-------------+------------------+------------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs        |         WZ          |        Other         |        Total         |    data     |      Ratio       |          WWZ           |
|--------+----------------------+----------------------+---------------------+---------------------+----------------------+----------------------+-------------+------------------+------------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |  0.03883 ± 0.004413  |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |  0.03883 ± 0.004413  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin2   |   1.219 ± 0.02462    | 0.003182 ± 0.003182  |        0 ± 0        |        0 ± 0        |        0 ± 0         |   1.222 ± 0.02482    |    1 ± 1    | 0.8181 ± 0.8183  |   0.04248 ± 0.04245    |
| Bin3   |   4.596 ± 0.04759    |  0.004773 ± 0.00421  |        0 ± 0        |        0 ± 0        |        0 ± 0         |   4.601 ± 0.04778    |  3 ± 1.732  | 0.6521 ± 0.3765  |    0.0427 ± 0.04245    |
| Bin4   |   9.772 ± 0.06933    | 0.009547 ± 0.005954  |  0.09213 ± 0.09213  |        0 ± 0        |  -0.00122 ± 0.00122  |    9.872 ± 0.1155    | 13 ± 3.606  |  1.317 ± 0.3655  |   0.04308 ± 0.04245    |
| Bin5   |   16.11 ± 0.08905    |  0.02068 ± 0.00656   | -0.09213 ± 0.09213  |  0.02693 ± 0.02693  |  0.00122 ± 0.002113  |    16.07 ± 0.1311    | 15 ± 3.873  | 0.9337 ± 0.2412  |   -0.04162 ± 0.04245   |
| Bin6   |    24.15 ± 0.1089    | 0.007956 ± 0.005737  |    0 ± 0.009668     |  0.05386 ± 0.03808  |     0 ± 0.001726     |    24.22 ± 0.1159    | 28 ± 5.292  |  1.156 ± 0.2186  |    0.0433 ± 0.04245    |
| Bin7   |    32.96 ± 0.127     | 0.006365 ± 0.006751  |   0.1843 ± 0.1303   |        0 ± 0        |     0 ± 0.00244      |    33.15 ± 0.1821    | 29 ± 5.385  | 0.8749 ± 0.1625  |  0.001503 ± 0.0002834  |
| Bin8   |    43.36 ± 0.1458    | 0.006365 ± 0.006365  |     0 ± 0.1303      |        0 ± 0        | 0.003661 ± 0.002113  |    43.37 ± 0.1956    | 46 ± 6.782  |  1.061 ± 0.1564  |   0.04418 ± 0.04245    |
| Bin9   |    54.03 ± 0.1628    |  0.0175 ± 0.006162   |    0 ± 0.009668     |        0 ± 0        | 0.003661 ± 0.003228  |    54.05 ± 0.1633    |  53 ± 7.28  | 0.9805 ± 0.1347  |   -0.04011 ± 0.04245   |
| Bin10  |    65.32 ± 0.1791    |  0.01114 ± 0.006162  |  0.09897 ± 0.09239  |  0.05386 ± 0.03808  | 0.003661 ± 0.002728  |    65.49 ± 0.2052    |  61 ± 7.81  | 0.9314 ± 0.1193  |  0.002265 ± 0.0002323  |
| Bin11  |    76.03 ± 0.1931    |  0.01432 ± 0.006162  |  0.09213 ± 0.09213  |        0 ± 0        | 0.004881 ± 0.003451  |    76.14 ± 0.2141    | 80 ± 8.944  |  1.051 ± 0.1175  |   0.04492 ± 0.04245    |
| Bin12  |    85.19 ± 0.2041    | 0.006365 ± 0.005032  |  0.09213 ± 0.1596   |        0 ± 0        |  -0.00244 ± 0.00244  |    85.29 ± 0.2592    | 80 ± 8.944  |  0.938 ± 0.1049  |    0.087 ± 0.06004     |
| Bin13  |    73.94 ± 0.1895    |  0.003182 ± 0.0045   |  0.09213 ± 0.09213  | -0.02693 ± 0.02693  |  0.03525 ± 0.03525   |    74.05 ± 0.2154    | 88 ± 9.381  |  1.188 ± 0.1267  |  0.002153 ± 0.0002286  |
| Bin14  |    21.6 ± 0.1017     | 0.001591 ± 0.001591  |        0 ± 0        | -0.05386 ± 0.03808  |        0 ± 0         |    21.54 ± 0.1086    |  22 ± 4.69  |  1.021 ± 0.2178  |   0.04334 ± 0.04245    |
| Bin15  |   6.678 ± 0.05611    |        0 ± 0         |        0 ± 0        |        0 ± 0        |  0.00122 ± 0.00122   |    6.68 ± 0.05612    |    9 ± 3    |  1.347 ± 0.4493  | 9.901e-05 ± 3.501e-05  |
| Bin16  |   1.748 ± 0.02847    |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |   1.748 ± 0.02847    |    0 ± 0    |      0 ± 0       |  2.475e-05 ± 1.75e-05  |
| Bin17  |   0.2344 ± 0.01049   |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |   0.2344 ± 0.01049   |    0 ± 0    |      0 ± 0       |  2.475e-05 ± 1.75e-05  |
| Bin18  | 0.003039 ± 0.001178  |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         | 0.003039 ± 0.001178  |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin19  |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin20  |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin21  |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0         |    0 ± 0    |      0 ± 0       |         0 ± 0          |
+--------+----------------------+----------------------+---------------------+---------------------+----------------------+----------------------+-------------+------------------+------------------------+
