+--------+----------------------+-----------------------+-----------------------+---------------------+----------------------+---------------------+--------------+------------------+------------------------+
| Bin#   |          ZZ          |          ttZ          |         Higgs         |         WZ          |        Other         |        Total        |     data     |      Ratio       |          WWZ           |
|--------+----------------------+-----------------------+-----------------------+---------------------+----------------------+---------------------+--------------+------------------+------------------------+
| Bin0   |        0 ± 0         |         0 ± 0         |         0 ± 0         |        0 ± 0        |        0 ± 0         |        0 ± 0        |    0 ± 0     |      0 ± 0       |         0 ± 0          |
| Bin1   |    66.92 ± 0.1821    |  0.001591 ± 0.001591  |  -0.09213 ± 0.09213   |        0 ± 0        |        0 ± 0         |   66.83 ± 0.2041    |  76 ± 8.718  |  1.137 ± 0.1305  | 0.0003094 ± 6.431e-05  |
| Bin2   |     129 ± 0.2518     | -0.001591 ± 0.001591  |    0.2764 ± 0.206     | -0.02693 ± 0.02693  |        0 ± 0         |   129.2 ± 0.3265    | 136 ± 11.66  | 1.052 ± 0.09029  |  0.00107 ± 0.0001609   |
| Bin3   |    116.1 ± 0.238     |     0 ± 0.003182      |   0.09213 ± 0.09213   |  0.02693 ± 0.02693  |  0.00244 ± 0.001726  |   116.2 ± 0.2567    | 117 ± 10.82  | 1.007 ± 0.09312  |  0.001225 ± 0.0001256  |
| Bin4   |    83.21 ± 0.2011    |  0.004773 ± 0.002756  |   0.09213 ± 0.1596    |     0 ± 0.03808     | -0.00122 ± 0.002113  |   83.31 ± 0.2596    |  71 ± 8.426  | 0.8523 ± 0.1012  |   0.04404 ± 0.04245    |
| Bin5   |    52.83 ± 0.1601    |  0.007956 ± 0.00421   |   0.09213 ± 0.09213   |  0.02693 ± 0.02693  | 0.003661 ± 0.002113  |   52.96 ± 0.1867    |  52 ± 7.211  | 0.9819 ± 0.1362  |  0.002308 ± 0.0002567  |
| Bin6   |    31.05 ± 0.1227    |  0.001591 ± 0.003558  | -0.006836 ± 0.006836  | -0.02693 ± 0.02693  |     0 ± 0.002989     |   31.02 ± 0.1258    |    36 ± 6    |  1.16 ± 0.1935   |  0.002073 ± 0.0001949  |
| Bin7   |   17.48 ± 0.09212    |   0.01114 ± 0.00421   |         0 ± 0         |        0 ± 0        |  -0.00244 ± 0.00244  |   17.49 ± 0.09224   |  15 ± 3.873  | 0.8577 ± 0.2215  |   0.001689 ± 0.06004   |
| Bin8   |    9.56 ± 0.06811    |  0.006365 ± 0.005032  |         0 ± 0         |  0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   9.594 ± 0.07345   |  8 ± 2.828   | 0.8338 ± 0.2949  |  0.001732 ± 0.0002673  |
| Bin9   |   5.116 ± 0.04986    |  0.007956 ± 0.005277  |         0 ± 0         |        0 ± 0        |  0.00244 ± 0.001726  |   5.127 ± 0.05017   |  6 ± 2.449   |  1.17 ± 0.4779   |  0.001225 ± 0.0002004  |
| Bin10  |   2.803 ± 0.03691    |  0.01591 ± 0.006751   |   0.09213 ± 0.09213   |        0 ± 0        |  0.03647 ± 0.03527   |   2.947 ± 0.1055    |    4 ± 2     |  1.357 ± 0.6803  |  0.001132 ± 0.000228   |
| Bin11  |   1.386 ± 0.02596    |  0.007956 ± 0.003558  |         0 ± 0         |  0.02693 ± 0.02693  |  0.00122 ± 0.002113  |   1.422 ± 0.03763   |  2 ± 1.414   |  1.407 ± 0.9953  | 0.0007115 ± 0.0001465  |
| Bin12  |   0.7311 ± 0.01888   |  0.004773 ± 0.00421   |         0 ± 0         |        0 ± 0        |  0.004881 ± 0.00244  |   0.7407 ± 0.0195   |    0 ± 0     |      0 ± 0       |   0.04322 ± 0.04245    |
| Bin13  |   0.3791 ± 0.01357   |  0.006365 ± 0.003898  |         0 ± 0         |        0 ± 0        |  0.00122 ± 0.00122   |  0.3867 ± 0.01418   |    1 ± 1     |  2.586 ± 2.588   |    0.0429 ± 0.04245    |
| Bin14  |   0.2172 ± 0.01033   |  0.004773 ± 0.004773  | -0.006836 ± 0.006836  |        0 ± 0        |  0.00122 ± 0.002113  |  0.2164 ± 0.01344   |  2 ± 1.414   |  9.243 ± 6.561   |   -0.04191 ± 0.04245   |
| Bin15  |  0.1093 ± 0.007331   |  0.01114 ± 0.004773   |         0 ± 0         |        0 ± 0        |        0 ± 0         |  0.1204 ± 0.008748  |  2 ± 1.414   |   16.61 ± 11.8   |   0.04273 ± 0.04245    |
| Bin16  |  0.06785 ± 0.005841  |  0.003182 ± 0.003182  |         0 ± 0         |        0 ± 0        |        0 ± 0         | 0.07103 ± 0.006652  |    0 ± 0     |      0 ± 0       | 0.0002351 ± 5.395e-05  |
| Bin17  |  0.03008 ± 0.003855  |  0.004773 ± 0.002756  |         0 ± 0         |        0 ± 0        |  -0.00122 ± 0.00122  | 0.03364 ± 0.004893  |    0 ± 0     |      0 ± 0       | 0.0002907 ± 0.0001263  |
| Bin18  |  0.01943 ± 0.003105  |  0.001591 ± 0.002756  |         0 ± 0         |        0 ± 0        |        0 ± 0         | 0.02102 ± 0.004152  |    0 ± 0     |      0 ± 0       |   0.04258 ± 0.04245    |
