+--------+------------------+----------------------+---------------------+---------------------+---------------------+------------------+-------------+------------------+------------------------+
| Bin#   |        ZZ        |         ttZ          |        Higgs        |         WZ          |        Other        |      Total       |    data     |      Ratio       |          WWZ           |
|--------+------------------+----------------------+---------------------+---------------------+---------------------+------------------+-------------+------------------+------------------------+
| Bin0   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin1   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin2   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin3   |      0 ± 0       |        0 ± 0         |        0 ± 0        |        0 ± 0        |        0 ± 0        |      0 ± 0       |    0 ± 0    |      0 ± 0       |         0 ± 0          |
| Bin4   | 4.785 ± 0.04749  |        0 ± 0         |        0 ± 0        |        0 ± 0        |  0.00122 ± 0.00122  | 4.786 ± 0.04751  |  2 ± 1.414  | 0.4179 ± 0.2955  | 8.663e-05 ± 3.274e-05  |
| Bin5   | 17.84 ± 0.09232  |     0 ± 0.00225      |        0 ± 0        |        0 ± 0        |        0 ± 0        | 17.84 ± 0.09234  | 20 ± 4.472  |  1.121 ± 0.2507  | 0.0007052 ± 0.0001828  |
| Bin6   |  43.4 ± 0.1449   | 0.007956 ± 0.005277  | -0.09213 ± 0.09213  | -0.02693 ± 0.02693  | -0.00122 ± 0.00122  |  43.29 ± 0.1739  |   49 ± 7    |  1.132 ± 0.1618  |  0.001324 ± 0.0002042  |
| Bin7   |  90.38 ± 0.2103  | 0.006365 ± 0.005032  |   0.2696 ± 0.1597   | -0.02693 ± 0.04664  |  0.03891 ± 0.03535  |  90.67 ± 0.2705  | 92 ± 9.592  |  1.015 ± 0.1058  |   0.04542 ± 0.07353    |
| Bin8   |  85.87 ± 0.2056  | 0.004773 ± 0.005277  |   0.1911 ± 0.1305   |        0 ± 0        | 0.00244 ± 0.004227  |  86.07 ± 0.2436  | 84 ± 9.165  | 0.9759 ± 0.1065  |   0.04517 ± 0.04245    |
| Bin9   |  67.18 ± 0.1817  | 0.006365 ± 0.005954  |  0.09213 ± 0.09213  |  0.02693 ± 0.02693  |  0.00244 ± 0.00244  |  67.31 ± 0.2056  | 70 ± 8.367  |  1.04 ± 0.1243   |  0.001881 ± 0.0001546  |
| Bin10  |  49.96 ± 0.1564  | 0.009547 ± 0.005032  |  0.09897 ± 0.09239  |  0.02693 ± 0.02693  | 0.00244 ± 0.001726  |  50.1 ± 0.1837   | 52 ± 7.211  |  1.038 ± 0.144   |   0.08654 ± 0.06004    |
| Bin11  |  36.92 ± 0.1344  | 0.007956 ± 0.005277  |  0.09213 ± 0.09213  |  0.05386 ± 0.03808  | -0.00122 ± 0.00122  |  37.07 ± 0.1674  | 26 ± 5.099  | 0.7014 ± 0.1376  |   0.04387 ± 0.04245    |
| Bin12  |  27.16 ± 0.1151  | 0.001591 ± 0.002756  | -0.09213 ± 0.09264  |        0 ± 0        | 0.00244 ± 0.001726  |  27.08 ± 0.1478  | 31 ± 5.568  |  1.145 ± 0.2057  |  0.001027 ± 0.0001942  |
| Bin13  | 20.05 ± 0.09883  | 0.003182 ± 0.005512  |        0 ± 0        |        0 ± 0        |    0 ± 0.001726     |  20.05 ± 0.099   | 20 ± 4.472  | 0.9976 ± 0.2231  | 0.0008045 ± 9.978e-05  |
| Bin14  | 14.91 ± 0.08517  |  0.01114 ± 0.006162  | -0.09213 ± 0.09213  |        0 ± 0        | 0.00122 ± 0.002113  |  14.83 ± 0.1256  | 21 ± 4.583  |  1.416 ± 0.3092  |  0.001039 ± 0.0002501  |
| Bin15  | 11.46 ± 0.07473  | 0.009547 ± 0.005954  |        0 ± 0        |        0 ± 0        | -0.00122 ± 0.00122  | 11.47 ± 0.07498  |    9 ± 3    | 0.7845 ± 0.2616  | 0.0006557 ± 0.0001811  |
| Bin16  | 8.747 ± 0.06531  | 0.009547 ± 0.003898  |        0 ± 0        |        0 ± 0        | 0.00244 ± 0.001726  | 8.759 ± 0.06545  |  8 ± 2.828  |  0.9133 ± 0.323  | 0.0003774 ± 0.0001316  |
| Bin17  | 6.774 ± 0.05754  | 0.001591 ± 0.001591  |        0 ± 0        |        0 ± 0        | -0.00122 ± 0.00122  | 6.774 ± 0.05757  |    9 ± 3    |  1.329 ± 0.443   | 0.0002104 ± 5.103e-05  |
| Bin18  | 5.307 ± 0.05097  |  0.007956 ± 0.00421  |  0.09213 ± 0.09213  |        0 ± 0        |        0 ± 0        |  5.408 ± 0.1054  |    4 ± 2    | 0.7397 ± 0.3701  |   0.04263 ± 0.04245    |
| Bin19  | 4.089 ± 0.04474  |  0.003182 ± 0.00225  |        0 ± 0        |        0 ± 0        |  0.00122 ± 0.00122  | 4.093 ± 0.04481  |  3 ± 1.732  | 0.7329 ± 0.4232  | 0.0002907 ± 0.0001263  |
