+--------+-------------------+-----------------------+----------------------+--------------------+----------------------+-------------------+--------------+-------------------+------------------------+
| Bin#   |        ZZ         |          ttZ          |        Higgs         |         WZ         |        Other         |       Total       |     data     |       Ratio       |          WWZ           |
|--------+-------------------+-----------------------+----------------------+--------------------+----------------------+-------------------+--------------+-------------------+------------------------+
| Bin0   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin2   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin3   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin4   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin5   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin6   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin7   |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin8   |  1.059 ± 0.02191  |  0.003182 ± 0.00225   |        0 ± 0         |       0 ± 0        |  0.00122 ± 0.00122   |  1.064 ± 0.02206  |    1 ± 1     |  0.9401 ± 0.9403  | 0.0002475 ± 5.535e-05  |
| Bin9   |  10.77 ± 0.07096  |   0.006365 ± 0.0045   |        0 ± 0         |       0 ± 0        | 0.003661 ± 0.002113  |  10.78 ± 0.07114  |  10 ± 3.162  |  0.9277 ± 0.2934  |  0.001188 ± 0.0002008  |
| Bin10  |  108.9 ± 0.2304   |   0.02228 ± 0.01006   |   0.1774 ± 0.1844    |    0 ± 0.03808     |  0.04135 ± 0.03544   |  109.1 ± 0.2998   | 105 ± 10.25  | 0.9621 ± 0.09393  |    0.1321 ± 0.07353    |
| Bin11  |  342.8 ± 0.4106   |   0.06365 ± 0.01405   |    0.1911 ± 0.226    | 0.05386 ± 0.05386  | 0.004881 ± 0.005723  |   343.1 ± 0.472   | 349 ± 18.68  |  1.017 ± 0.05447  |    0.1789 ± 0.1201     |
| Bin12  |  49.06 ± 0.1536   |   0.0175 ± 0.006936   |   0.1843 ± 0.1303    |    0 ± 0.03808     | -0.00122 ± 0.002113  |  49.26 ± 0.2051   |  56 ± 7.483  |   1.137 ± 0.152   |  0.002395 ± 0.0002079  |
| Bin13  |  4.154 ± 0.04304  | -0.001591 ± 0.003558  | 0.006836 ± 0.006836  |       0 ± 0        |        0 ± 0         |  4.159 ± 0.04372  |  6 ± 2.449   |  1.443 ± 0.5892   | 0.0004827 ± 7.729e-05  |
| Bin14  | 0.2985 ± 0.01115  |  0.001591 ± 0.001591  |        0 ± 0         |       0 ± 0        |        0 ± 0         | 0.3001 ± 0.01126  |    1 ± 1     |   3.332 ± 3.334   |  2.475e-05 ± 1.75e-05  |
| Bin15  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin16  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin17  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin18  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin19  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin20  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin21  |       0 ± 0       |         0 ± 0         |        0 ± 0         |       0 ± 0        |        0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
+--------+-------------------+-----------------------+----------------------+--------------------+----------------------+-------------------+--------------+-------------------+------------------------+
