+--------+---------------------+----------------------+--------------------+---------------------+----------------------+---------------------+--------------+-------------------+------------------------+
| Bin#   |         ZZ          |         ttZ          |       Higgs        |         WZ          |        Other         |        Total        |     data     |       Ratio       |          WWZ           |
|--------+---------------------+----------------------+--------------------+---------------------+----------------------+---------------------+--------------+-------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0        |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |   428.2 ± 0.4573    |  0.09706 ± 0.01765   |  0.2832 ± 0.2768   |  0.02693 ± 0.06021  | 0.008541 ± 0.006794  |   428.6 ± 0.5383    | 410 ± 20.25  | 0.9565 ± 0.04725  |    0.2698 ± 0.1342     |
| Bin2   |   62.68 ± 0.1753    | 0.009547 ± 0.007795  |  0.1843 ± 0.1303   |        0 ± 0        |  0.03769 ± 0.03533   |   62.91 ± 0.2214    |  78 ± 8.832  |   1.24 ± 0.1405   |   0.04479 ± 0.04245    |
| Bin3   |   14.58 ± 0.08479   | 0.003182 ± 0.003182  |       0 ± 0        |  0.02693 ± 0.02693  |  0.00122 ± 0.00122   |   14.61 ± 0.08902   |  23 ± 4.796  |  1.574 ± 0.3283   | 0.0002351 ± 5.935e-05  |
| Bin4   |   5.183 ± 0.05058   |        0 ± 0         |       0 ± 0        | -0.02693 ± 0.02693  |  0.00122 ± 0.00122   |   5.157 ± 0.05732   |  8 ± 2.828   |  1.551 ± 0.5487   | 0.0003279 ± 0.0001281  |
| Bin5   |   2.424 ± 0.03466   |  0.003182 ± 0.00225  |       0 ± 0        |        0 ± 0        |        0 ± 0         |   2.427 ± 0.03473   |  5 ± 2.236   |   2.06 ± 0.9217   | 9.901e-05 ± 3.501e-05  |
| Bin6   |   1.32 ± 0.02555    |        0 ± 0         |       0 ± 0        |        0 ± 0        |  0.00122 ± 0.00122   |   1.321 ± 0.02557   |    1 ± 1     |  0.7567 ± 0.7569  | 1.238e-05 ± 1.238e-05  |
| Bin7   |  0.7658 ± 0.01954   |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |  0.7658 ± 0.01954   |  2 ± 1.414   |   2.612 ± 1.848   |      0 ± 1.75e-05      |
| Bin8   |  0.4839 ± 0.01552   |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |  0.4839 ± 0.01552   |    0 ± 0     |       0 ± 0       | 1.238e-05 ± 1.238e-05  |
| Bin9   |   0.308 ± 0.01234   |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |   0.308 ± 0.01234   |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin10  |   0.208 ± 0.01011   |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |   0.208 ± 0.01011   |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin11  |  0.1515 ± 0.008674  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |  0.1515 ± 0.008674  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin12  |  0.1092 ± 0.00735   |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |  0.1092 ± 0.00735   |    1 ± 1     |   9.161 ± 9.182   |         0 ± 0          |
| Bin13  | 0.09943 ± 0.007071  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         | 0.09943 ± 0.007071  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin14  | 0.06691 ± 0.005815  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         | 0.06691 ± 0.005815  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin15  | 0.05841 ± 0.005404  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         | 0.05841 ± 0.005404  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin16  |  0.0459 ± 0.004798  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |  0.0459 ± 0.004798  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin17  |  0.03843 ± 0.00438  |        0 ± 0         | 0.09213 ± 0.09213  |        0 ± 0        |        0 ± 0         |  0.1306 ± 0.09224   |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin18  | 0.02773 ± 0.003724  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         | 0.02773 ± 0.003724  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin19  |  0.02346 ± 0.00339  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         |  0.02346 ± 0.00339  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin20  | 0.02323 ± 0.003386  |        0 ± 0         |       0 ± 0        |        0 ± 0        |        0 ± 0         | 0.02323 ± 0.003386  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin21  |  0.1744 ± 0.009363  |        0 ± 0         |       0 ± 0        |  0.02693 ± 0.02693  |        0 ± 0         |  0.2013 ± 0.02851   |    0 ± 0     |       0 ± 0       |  2.475e-05 ± 1.75e-05  |
+--------+---------------------+----------------------+--------------------+---------------------+----------------------+---------------------+--------------+-------------------+------------------------+
