+--------+-------------------+-----------------------+---------------------+---------------------+-----------------------+-------------------+--------------+-------------------+------------------------+
| Bin#   |        ZZ         |          ttZ          |        Higgs        |         WZ          |         Other         |       Total       |     data     |       Ratio       |          WWZ           |
|--------+-------------------+-----------------------+---------------------+---------------------+-----------------------+-------------------+--------------+-------------------+------------------------+
| Bin0   |       0 ± 0       |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |       0 ± 0       |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin2   |       0 ± 0       |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |       0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin3   |  74.42 ± 0.1905   |   0.0175 ± 0.008268   |  0.09213 ± 0.1596   |  0.08078 ± 0.04664  | -0.003661 ± 0.002728  |   74.6 ± 0.253    |  78 ± 8.832  |  1.046 ± 0.1184   |    0.0887 ± 0.06004    |
| Bin4   |  119.4 ± 0.2414   |  0.02387 ± 0.008569   |  0.09897 ± 0.09239  |  0.02693 ± 0.02693  |   0.04745 ± 0.03558   |  119.6 ± 0.2624   | 125 ± 11.18  |  1.045 ± 0.09349  |    0.1319 ± 0.07353    |
| Bin5   |  135.4 ± 0.2573   |  0.01432 ± 0.009413   | -0.006836 ± 0.1305  | -0.05386 ± 0.03808  |  0.00122 ± 0.002728   |  135.4 ± 0.2912   | 140 ± 11.83  |  1.034 ± 0.08743  |   -0.03829 ± 0.04245   |
| Bin6   |   106 ± 0.2278    |  0.02228 ± 0.007463   |   0.1911 ± 0.1846   |  0.02693 ± 0.02693  |  0.00122 ± 0.002728   |  106.2 ± 0.2946   |  104 ± 10.2  | 0.9792 ± 0.09605  |   0.04569 ± 0.04245    |
| Bin7   |  40.62 ± 0.1412   |   0.0175 ± 0.005737   |  0.09213 ± 0.09213  | -0.02693 ± 0.02693  |  0.00244 ± 0.001726   |   40.7 ± 0.1708   |  42 ± 6.481  |  1.032 ± 0.1593   |   0.04343 ± 0.04245    |
| Bin8   |  16.09 ± 0.0888   |  0.007956 ± 0.005277  |        0 ± 0        |        0 ± 0        |  0.00244 ± 0.001726   |  16.1 ± 0.08897   |  17 ± 4.123  |  1.056 ± 0.2561   | 0.0006928 ± 0.0001832  |
| Bin9   |  8.426 ± 0.06422  |  0.003182 ± 0.00225   |        0 ± 0        |        0 ± 0        |         0 ± 0         |  8.43 ± 0.06426   |  8 ± 2.828   |  0.949 ± 0.3356   |   0.04282 ± 0.04245    |
| Bin10  |  4.972 ± 0.04933  |  0.001591 ± 0.003558  |  0.09213 ± 0.09213  |        0 ± 0        |         0 ± 0         |  5.066 ± 0.1046   |    9 ± 3     |  1.777 ± 0.5933   |   0.04259 ± 0.04245    |
| Bin11  |  3.241 ± 0.0398   |  0.001591 ± 0.001591  |        0 ± 0        |        0 ± 0        |         0 ± 0         |  3.243 ± 0.03983  |    1 ± 1     |  0.3084 ± 0.3084  | 7.426e-05 ± 3.032e-05  |
| Bin12  |  2.125 ± 0.03225  |  0.001591 ± 0.002756  |        0 ± 0        |        0 ± 0        |  -0.00122 ± 0.00122   |  2.126 ± 0.03239  |  2 ± 1.414   |  0.9409 ± 0.6655  |   -0.04241 ± 0.04245   |
| Bin13  |  1.543 ± 0.02744  |  0.003182 ± 0.00225   |        0 ± 0        |        0 ± 0        |   0.00122 ± 0.00122   |  1.547 ± 0.02756  |    1 ± 1     |  0.6464 ± 0.6465  |  2.475e-05 ± 1.75e-05  |
| Bin14  |  1.104 ± 0.02322  | -0.001591 ± 0.001591  |        0 ± 0        |        0 ± 0        |         0 ± 0         |  1.102 ± 0.02327  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin15  | 0.7838 ± 0.01958  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         | 0.7838 ± 0.01958  |    0 ± 0     |       0 ± 0       |  2.475e-05 ± 1.75e-05  |
| Bin16  | 0.6183 ± 0.01738  |         0 ± 0         |        0 ± 0        |        0 ± 0        |  -0.00122 ± 0.00122   | 0.6171 ± 0.01743  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin17  |  0.464 ± 0.01508  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |  0.464 ± 0.01508  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin18  | 0.3544 ± 0.01316  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         | 0.3544 ± 0.01316  |    1 ± 1     |   2.821 ± 2.823   | 1.238e-05 ± 1.238e-05  |
| Bin19  | 0.2665 ± 0.01137  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         | 0.2665 ± 0.01137  |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin20  |  0.2116 ± 0.0102  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |  0.2116 ± 0.0102  |    0 ± 0     |       0 ± 0       |  4.95e-05 ± 2.475e-05  |
| Bin21  | 0.9353 ± 0.02145  |      0 ± 0.00225      |        0 ± 0        |        0 ± 0        |         0 ± 0         | 0.9353 ± 0.02157  |    0 ± 0     |       0 ± 0       |  2.475e-05 ± 1.75e-05  |
+--------+-------------------+-----------------------+---------------------+---------------------+-----------------------+-------------------+--------------+-------------------+------------------------+
