+--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+--------------------+--------+--------+---------------------+
| Bin#   |          ZZ          |         ttZ          |         Higgs         |         WZ          |         Other         |       Total        |  data  | Ratio  |         WWZ         |
|--------+----------------------+----------------------+-----------------------+---------------------+-----------------------+--------------------+--------+--------+---------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |         0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0        |
| Bin1   |  0.03656 ± 0.005316  | 0.003134 ± 0.003134  |         0 ± 0         |  0.04086 ± 0.04086  |         0 ± 0         | 0.08055 ± 0.04132  | 0 ± 0  | 0 ± 0  |  0.06101 ± 0.04394  |
| Bin2   |  0.08274 ± 0.007898  |  0.02664 ± 0.007834  |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.1108 ± 0.01121  | 0 ± 0  | 0 ± 0  | 0.05129 ± 0.001134  |
| Bin3   |  0.1072 ± 0.009026   |  0.02507 ± 0.009401  |         0 ± 0         |  0.04086 ± 0.04086  | 0.0007525 ± 0.003249  |  0.1739 ± 0.04301  | 0 ± 0  | 0 ± 0  |   0.173 ± 0.06214   |
| Bin4   |   0.122 ± 0.009638   |  0.02977 ± 0.01097   |         0 ± 0         |  0.04086 ± 0.04086  |  0.001404 ± 0.003713  |  0.194 ± 0.04355   | 0 ± 0  | 0 ± 0  |  0.1647 ± 0.04396   |
| Bin5   |   0.106 ± 0.008965   |  0.06268 ± 0.01366   |         0 ± 0         |     0 ± 0.05779     |   0.07552 ± 0.05269   |  0.2442 ± 0.07989  | 0 ± 0  | 0 ± 0  |  0.2777 ± 0.07611   |
| Bin6   |  0.1036 ± 0.008893   |  0.04857 ± 0.01302   |         0 ± 0         |  0.1634 ± 0.08172   |  0.002156 ± 0.004517  |  0.3178 ± 0.08335  | 0 ± 0  | 0 ± 0  |   0.3369 ± 0.1076   |
| Bin7   |  0.08935 ± 0.008338  |  0.04231 ± 0.01263   |   0.02812 ± 0.01623   |  0.1634 ± 0.08172   |  0.00356 ± 0.004294   |  0.3268 ± 0.08479  | 0 ± 0  | 0 ± 0  |   0.252 ± 0.06216   |
| Bin8   |  0.07807 ± 0.007726  |  0.07834 ± 0.01419   |  0.009372 ± 0.009372  |  0.08172 ± 0.05779  |  0.000651 ± 0.004934  |  0.2482 ± 0.06093  | 0 ± 0  | 0 ± 0  |  0.3294 ± 0.08788   |
| Bin9   |  0.0641 ± 0.006994   |  0.05954 ± 0.01384   |         0 ± 0         |     0 ± 0.05779     |   0.04688 ± 0.03724   |  0.1705 ± 0.07048  | 0 ± 0  | 0 ± 0  |  0.2729 ± 0.09825   |
| Bin10  |  0.06208 ± 0.006878  |  0.06424 ± 0.01478   |   0.01874 ± 0.01325   |  0.04086 ± 0.04086  |   0.04267 ± 0.03727   |  0.2286 ± 0.05916  | 0 ± 0  | 0 ± 0  |  0.1636 ± 0.07611   |
| Bin11  |  0.04602 ± 0.005855  |  0.07991 ± 0.01543   |   0.1051 ± 0.09622    |  0.08172 ± 0.05779  |  0.005614 ± 0.004862  |  0.3184 ± 0.1135   | 0 ± 0  | 0 ± 0  |  0.2325 ± 0.07611   |
| Bin12  |  0.04075 ± 0.00554   |  0.08175 ± 0.01557   |   0.02812 ± 0.02096   |        0 ± 0        |  0.00777 ± 0.004934   |  0.1584 ± 0.02714  | 0 ± 0  | 0 ± 0  |  0.1284 ± 0.04396   |
| Bin13  |  0.04572 ± 0.005887  |  0.06268 ± 0.01453   |  -0.06765 ± 0.09713   |  0.04086 ± 0.04086  |  0.001404 ± 0.003138  |  0.08302 ± 0.1066  | 0 ± 0  | 0 ± 0  |  0.2012 ± 0.07611   |
| Bin14  |  0.04261 ± 0.00567   |  0.08148 ± 0.01366   | -0.009372 ± 0.009372  |  0.04086 ± 0.04086  |   0.03846 ± 0.03714   |  0.194 ± 0.05793   | 0 ± 0  | 0 ± 0  |   0.1881 ± 0.0761   |
| Bin15  |  0.02311 ± 0.004188  |  0.06581 ± 0.01366   |         0 ± 0         |        0 ± 0        |     0 ± 0.002807      | 0.08892 ± 0.01456  | 0 ± 0  | 0 ± 0  |   0.224 ± 0.08787   |
| Bin16  |  0.02596 ± 0.004449  |  0.06424 ± 0.01244   |         0 ± 0         | -0.04086 ± 0.04086  |  0.001404 ± 0.001404  | 0.05074 ± 0.04297  | 0 ± 0  | 0 ± 0  |  0.1262 ± 0.06214   |
| Bin17  |  0.01801 ± 0.00373   |  0.05014 ± 0.01193   |         0 ± 0         |        0 ± 0        |     0 ± 0.002807      | 0.06815 ± 0.01281  | 0 ± 0  | 0 ± 0  |   0.1631 ± 0.0761   |
| Bin18  |  0.01326 ± 0.003219  |  0.03604 ± 0.01183   |         0 ± 0         |        0 ± 0        |  0.001404 ± 0.001404  |  0.0507 ± 0.01234  | 0 ± 0  | 0 ± 0  |  0.2031 ± 0.08787   |
| Bin19  |  0.01706 ± 0.003642  |  0.03134 ± 0.01151   |         0 ± 0         |        0 ± 0        |   0.03706 ± 0.03706   | 0.08546 ± 0.03898  | 0 ± 0  | 0 ± 0  |  0.06747 ± 0.04394  |
