+--------+---------------------+----------------------+----------------------+---------------------+-----------------------+--------------------+--------+--------+---------------------+
| Bin#   |         ZZ          |         ttZ          |        Higgs         |         WZ          |         Other         |       Total        |  data  | Ratio  |         WWZ         |
|--------+---------------------+----------------------+----------------------+---------------------+-----------------------+--------------------+--------+--------+---------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |        0 ± 0         |        0 ± 0        |         0 ± 0         |       0 ± 0        | 0 ± 0  | 0 ± 0  |        0 ± 0        |
| Bin1   |   14.66 ± 0.1034    | 0.003134 ± 0.004432  |   0.1822 ± 0.1358    |  0.04086 ± 0.04086  |         0 ± 0         |   14.88 ± 0.1755   | 0 ± 0  | 0 ± 0  | 0.03523 ± 0.000861  |
| Bin2   |   37.05 ± 0.1643    |  0.03134 ± 0.008291  |   0.2967 ± 0.1661    |  0.08172 ± 0.08172  |  0.005614 ± 0.002807  |   37.46 ± 0.2477   | 0 ± 0  | 0 ± 0  |  0.1484 ± 0.04396   |
| Bin3   |   46.44 ± 0.1839    |  0.0282 ± 0.009136   |      0 ± 0.1354      |  0.08172 ± 0.08172  |  0.001404 ± 0.003138  |   46.55 ± 0.2427   | 0 ± 0  | 0 ± 0  |  0.3342 ± 0.08788   |
| Bin4   |   44.03 ± 0.1789    |  0.07364 ± 0.01375   |    0.383 ± 0.1915    |  0.04086 ± 0.07077  |  0.003458 ± 0.004934  |   44.53 ± 0.2718   | 0 ± 0  | 0 ± 0  |  0.3408 ± 0.07612   |
| Bin5   |   35.74 ± 0.1611    |   0.05954 ± 0.0133   |  -0.09576 ± 0.09576  |  0.04086 ± 0.07077  |     0 ± 0.004862      |   35.75 ± 0.2008   | 0 ± 0  | 0 ± 0  |  0.3672 ± 0.07613   |
| Bin6   |   26.24 ± 0.1382    |  0.06581 ± 0.01486   |  0.009372 ± 0.1364   |  0.08172 ± 0.08172  |   0.08048 ± 0.05273   |   26.47 ± 0.2177   | 0 ± 0  | 0 ± 0  |   0.4702 ± 0.1163   |
| Bin7   |    17.28 ± 0.112    |  0.03447 ± 0.01273   |  0.01874 ± 0.01325   |  0.1634 ± 0.08172   |  0.007018 ± 0.004211  |   17.5 ± 0.1399    | 0 ± 0  | 0 ± 0  |   0.5582 ± 0.1163   |
| Bin8   |   10.81 ± 0.08864   |  0.06424 ± 0.01462   |  0.009372 ± 0.1358   |   0.2127 ± 0.1767   |  0.002807 ± 0.003438  |   11.1 ± 0.2402    | 0 ± 0  | 0 ± 0  |  0.4537 ± 0.09826   |
| Bin9   |   6.585 ± 0.06933   |   0.1235 ± 0.01889   |   0.1051 ± 0.1667    |  0.1226 ± 0.09137   |  0.008421 ± 0.005251  |   6.945 ± 0.2033   | 0 ± 0  | 0 ± 0  |  0.3436 ± 0.07613   |
| Bin10  |   3.751 ± 0.0523    |  0.06894 ± 0.01453   |  -0.09576 ± 0.09667  |        0 ± 0        |  0.00777 ± 0.004517   |   3.732 ± 0.111    | 0 ± 0  | 0 ± 0  |  0.4079 ± 0.09826   |
| Bin11  |   2.072 ± 0.0388    |  0.07364 ± 0.01575   |  0.08639 ± 0.09713   |  0.1634 ± 0.08172   |  0.008421 ± 0.004438  |   2.404 ± 0.1337   | 0 ± 0  | 0 ± 0  |  0.3787 ± 0.09826   |
| Bin12  |   1.129 ± 0.02872   |  0.07051 ± 0.01462   |   0.2009 ± 0.1364    |     0 ± 0.05779     |  0.005614 ± 0.004862  |   1.406 ± 0.1517   | 0 ± 0  | 0 ± 0  |   0.268 ± 0.07612   |
| Bin13  |   0.6824 ± 0.0224   |  0.08931 ± 0.01527   |   0.1051 ± 0.09622   |  0.1226 ± 0.07077   |   0.03565 ± 0.0373    |   1.035 ± 0.128    | 0 ± 0  | 0 ± 0  |  0.2012 ± 0.08788   |
| Bin14  |  0.3624 ± 0.01632   |   0.05798 ± 0.0141   |     0 ± 0.01874      |        0 ± 0        | -0.000651 ± 0.003539  |  0.4197 ± 0.0288   | 0 ± 0  | 0 ± 0  |  0.2239 ± 0.07611   |
| Bin15  |   0.2379 ± 0.0133   |  0.07678 ± 0.01393   |  0.09576 ± 0.09576   |        0 ± 0        |    0.035 ± 0.03725    |  0.4454 ± 0.1045   | 0 ± 0  | 0 ± 0  |  0.2948 ± 0.09825   |
| Bin16  |   0.135 ± 0.00998   |  0.05798 ± 0.01263   |   0.1051 ± 0.09622   |  0.1634 ± 0.08172   |   0.04202 ± 0.03723   |  0.5036 ± 0.1326   | 0 ± 0  | 0 ± 0  |  0.1061 ± 0.04395   |
| Bin17  | 0.09993 ± 0.008726  |  0.05327 ± 0.01273   | -0.009372 ± 0.01623  | -0.08172 ± 0.05779  |     0 ± 0.001985      | 0.06211 ± 0.06201  | 0 ± 0  | 0 ± 0  |  0.1382 ± 0.06214   |
| Bin18  | 0.06928 ± 0.007218  |   0.04701 ± 0.0113   |  0.09576 ± 0.09576   |     0 ± 0.05779     |     0 ± 0.001985      |  0.2121 ± 0.1127   | 0 ± 0  | 0 ± 0  |   0.1746 ± 0.0761   |
| Bin19  | 0.04699 ± 0.006027  |  0.04701 ± 0.01193   |        0 ± 0         |  0.04086 ± 0.04086  | -0.001404 ± 0.002431  |  0.1335 ± 0.04306  | 0 ± 0  | 0 ± 0  |  0.2121 ± 0.08787   |
