+--------+----------------------+----------------------+---------------------+---------------------+-----------------------+----------------------+--------------+-------------------+------------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs        |         WZ          |         Other         |        Total         |     data     |       Ratio       |          WWZ           |
|--------+----------------------+----------------------+---------------------+---------------------+-----------------------+----------------------+--------------+-------------------+------------------------+
| Bin0   |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0         |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |  0.06573 ± 0.00704   |        0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |  0.06573 ± 0.00704   |    0 ± 0     |       0 ± 0       | 2.425e-05 ± 1.715e-05  |
| Bin2   |    1.72 ± 0.03556    | 0.001567 ± 0.002714  |        0 ± 0        |        0 ± 0        |         0 ± 0         |   1.722 ± 0.03567    |    1 ± 1     |  0.5808 ± 0.5809  | 0.0001213 ± 3.834e-05  |
| Bin3   |   6.762 ± 0.07027    |  0.0141 ± 0.004701   |        0 ± 0        |        0 ± 0        |         0 ± 0         |   6.776 ± 0.07042    |    4 ± 2     |  0.5903 ± 0.2952  |   0.04444 ± 0.04393    |
| Bin4   |    14.51 ± 0.103     |  0.01254 ± 0.007007  |   0.1915 ± 0.1354   |        0 ± 0        |  0.002807 ± 0.001985  |    14.72 ± 0.1703    |    9 ± 3     |  0.6113 ± 0.2039  |   0.04487 ± 0.04393    |
| Bin5   |    23.79 ± 0.1319    |  0.02037 ± 0.009001  | -0.09576 ± 0.09576  |        0 ± 0        | -0.001404 ± 0.001404  |    23.72 ± 0.1633    |    25 ± 5    |  1.054 ± 0.2109   |    0.1771 ± 0.08786    |
| Bin6   |    35.36 ± 0.1605    |  0.02037 ± 0.007515  |   0.1915 ± 0.1354   |        0 ± 0        |     0 ± 0.002807      |    35.58 ± 0.2101    |  34 ± 5.831  |  0.9557 ± 0.164   |   -0.04212 ± 0.04393   |
| Bin7   |    49.18 ± 0.1892    |  0.02037 ± 0.008142  |     0 ± 0.1354      |        0 ± 0        |  0.004211 ± 0.002431  |    49.2 ± 0.2328     |  50 ± 7.071  |  1.016 ± 0.1438   |   0.04606 ± 0.04393    |
| Bin8   |    64.32 ± 0.2163    |  0.02977 ± 0.008724  |  0.009372 ± 0.1358  | -0.04086 ± 0.04086  |  0.01619 ± 0.005319   |    64.34 ± 0.2588    |  55 ± 7.416  |  0.8548 ± 0.1153  |  0.002469 ± 0.0002603  |
| Bin9   |    80.08 ± 0.2416    |  0.01724 ± 0.006069  |   0.1915 ± 0.1354   |  0.04086 ± 0.04086  |  0.002807 ± 0.003438  |    80.33 ± 0.2801    |  77 ± 8.775  |  0.9585 ± 0.1093  |  0.003958 ± 0.000321   |
| Bin10  |    97.03 ± 0.2661    |  0.02194 ± 0.007676  | -0.01874 ± 0.01325  |        0 ± 0        |     0 ± 0.003438      |    97.03 ± 0.2665    |  84 ± 9.165  | 0.8657 ± 0.09449  |    0.1352 ± 0.07609    |
| Bin11  |    113.1 ± 0.2872    | 0.006268 ± 0.006648  |   0.2873 ± 0.2141   | -0.04086 ± 0.04086  | -0.001404 ± 0.003138  |    113.4 ± 0.3606    | 103 ± 10.15  | 0.9085 ± 0.08957  |  0.004503 ± 0.0003423  |
| Bin12  |    126.8 ± 0.3033    |  0.02977 ± 0.007515  |        0 ± 0        |        0 ± 0        |   0.03846 ± 0.03719   |    126.8 ± 0.3057    | 119 ± 10.91  | 0.9383 ± 0.08604  |   0.09247 ± 0.06213    |
| Bin13  |     110 ± 0.2816     | 0.009401 ± 0.004432  |   0.2873 ± 0.1659   |  0.04086 ± 0.04086  | -0.002807 ± 0.001985  |    110.4 ± 0.3294    | 120 ± 10.95  |  1.087 ± 0.09932  |  0.003813 ± 0.0003178  |
| Bin14  |    32.48 ± 0.1521    | 0.001567 ± 0.002714  |        0 ± 0        |  0.04086 ± 0.04086  |  0.001404 ± 0.002431  |    32.52 ± 0.1576    |    36 ± 6    |  1.107 ± 0.1846   | 0.0008722 ± 0.0001312  |
| Bin15  |   10.05 ± 0.08399    | 0.001567 ± 0.001567  |        0 ± 0        |        0 ± 0        |         0 ± 0         |   10.06 ± 0.08401    |  7 ± 2.646   |  0.6961 ± 0.2632  |  0.0003751 ± 0.000103  |
| Bin16  |    2.68 ± 0.04289    | 0.003134 ± 0.002216  |        0 ± 0        |        0 ± 0        |         0 ± 0         |   2.683 ± 0.04295    |  3 ± 1.732   |  1.118 ± 0.6459   |  9.7e-05 ± 3.429e-05   |
| Bin17  |   0.3696 ± 0.01599   |        0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |   0.3696 ± 0.01599   |    1 ± 1     |   2.705 ± 2.708   | 1.213e-05 ± 1.213e-05  |
| Bin18  | 0.005455 ± 0.001952  |        0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         | 0.005455 ± 0.001952  |    0 ± 0     |       0 ± 0       | 1.213e-05 ± 1.213e-05  |
| Bin19  |        0 ± 0         |        0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |        0 ± 0         |    0 ± 0     |       0 ± 0       |         0 ± 0          |
