+--------+------------------+-----------------------+---------------------+---------------------+-----------------------+------------------+--------------+-------------------+------------------------+
| Bin#   |        ZZ        |          ttZ          |        Higgs        |         WZ          |         Other         |      Total       |     data     |       Ratio       |          WWZ           |
|--------+------------------+-----------------------+---------------------+---------------------+-----------------------+------------------+--------------+-------------------+------------------------+
| Bin0   |      0 ± 0       |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         |      0 ± 0       |    0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |   233 ± 0.4109   |   0.07051 ± 0.01375   |   0.1822 ± 0.2348   |  0.04086 ± 0.04086  |  0.008421 ± 0.004862  |  233.3 ± 0.4752  | 211 ± 14.53  | 0.9043 ± 0.06228  |   0.09851 ± 0.08787    |
| Bin2   |  164.2 ± 0.3449  |   0.04544 ± 0.01119   |   0.5746 ± 0.2346   |     0 ± 0.05779     |  0.002156 ± 0.004058  |  164.8 ± 0.4213  |  137 ± 11.7  | 0.8312 ± 0.07105  |    0.1379 ± 0.07609    |
| Bin3   |  105.4 ± 0.2765  |   0.0282 ± 0.009136   |   0.1822 ± 0.1918   |        0 ± 0        |  0.002807 ± 0.002807  |  105.6 ± 0.3366  | 108 ± 10.39  |  1.022 ± 0.09842  |  0.004054 ± 0.0003317  |
| Bin4   |  69.05 ± 0.2239  |   0.0141 ± 0.00683    |  0.09576 ± 0.09576  |        0 ± 0        |  0.002807 ± 0.002807  |  69.17 ± 0.2437  |  66 ± 8.124  |  0.9542 ± 0.1175  |  0.00241 ± 0.0002312   |
| Bin5   |  47.82 ± 0.1865  |   0.0188 ± 0.007007   | -0.08639 ± 0.09622  |        0 ± 0        | -0.001404 ± 0.003138  |   47.75 ± 0.21   |  52 ± 7.211  |  1.089 ± 0.1511   |   0.08986 ± 0.06213    |
| Bin6   |  34.81 ± 0.1592  |   0.0141 ± 0.005197   |        0 ± 0        | -0.04086 ± 0.04086  | -0.002807 ± 0.002807  |  34.78 ± 0.1645  |  30 ± 5.477  |  0.8626 ± 0.1575  |  0.001162 ± 0.000182   |
| Bin7   |  25.57 ± 0.1364  |  0.007834 ± 0.003504  |        0 ± 0        |        0 ± 0        |     0 ± 0.002807      |  25.58 ± 0.1365  |  26 ± 5.099  |  1.017 ± 0.1994   |   0.08901 ± 0.06213    |
| Bin8   |  19.42 ± 0.119   |  0.003134 ± 0.003838  |        0 ± 0        |        0 ± 0        |  0.002807 ± 0.001985  |  19.43 ± 0.1191  |  20 ± 4.472  |  1.029 ± 0.2303   |   0.04473 ± 0.04393    |
| Bin9   |  14.39 ± 0.1025  |     0 ± 0.002216      |        0 ± 0        |        0 ± 0        |         0 ± 0         |  14.39 ± 0.1025  |  13 ± 3.606  |  0.9034 ± 0.2506  | 0.0007616 ± 0.0001655  |
| Bin10  | 11.19 ± 0.09047  |     0 ± 0.002216      |        0 ± 0        |        0 ± 0        |         0 ± 0         |  11.19 ± 0.0905  |  14 ± 3.742  |  1.251 ± 0.3346   |    0.0443 ± 0.04393    |
| Bin11  |   8.33 ± 0.078   |  0.001567 ± 0.002714  |        0 ± 0        |        0 ± 0        |     0 ± 0.001985      | 8.331 ± 0.07807  |  12 ± 3.464  |   1.44 ± 0.416    | 0.0002546 ± 5.556e-05  |
| Bin12  | 6.324 ± 0.06798  |  0.003134 ± 0.002216  |  0.09576 ± 0.09576  |        0 ± 0        |  0.001404 ± 0.001404  |  6.424 ± 0.1175  |    9 ± 3     |  1.401 ± 0.4677   | 0.0002668 ± 5.687e-05  |
| Bin13  |  4.803 ± 0.0593  |  0.003134 ± 0.002216  |        0 ± 0        |        0 ± 0        |         0 ± 0         | 4.806 ± 0.05934  |  7 ± 2.646   |  1.457 ± 0.5508   |  7.275e-05 ± 2.97e-05  |
| Bin14  | 3.793 ± 0.05269  | -0.003134 ± 0.002216  |        0 ± 0        |        0 ± 0        |         0 ± 0         |  3.79 ± 0.05274  |  5 ± 2.236   |  1.319 ± 0.5903   | 6.063e-05 ± 3.638e-05  |
| Bin15  | 2.932 ± 0.04625  |  0.001567 ± 0.001567  |        0 ± 0        |        0 ± 0        |         0 ± 0         | 2.934 ± 0.04628  |    4 ± 2     |  1.363 ± 0.6821   | 7.275e-05 ± 3.429e-05  |
| Bin16  | 2.359 ± 0.04154  |         0 ± 0         |        0 ± 0        |        0 ± 0        |  0.001404 ± 0.001404  | 2.361 ± 0.04157  |  2 ± 1.414   |  0.8472 ± 0.5993  | 0.0001091 ± 3.638e-05  |
| Bin17  | 1.889 ± 0.03721  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         | 1.889 ± 0.03721  |    4 ± 2     |   2.117 ± 1.06    | 0.0002773 ± 0.0001244  |
| Bin18  | 1.557 ± 0.03378  |     0 ± 0.002216      |        0 ± 0        |        0 ± 0        |  0.001404 ± 0.001404  | 1.558 ± 0.03388  |    0 ± 0     |       0 ± 0       | 2.425e-05 ± 1.715e-05  |
| Bin19  | 1.294 ± 0.03077  |         0 ± 0         |        0 ± 0        |        0 ± 0        |         0 ± 0         | 1.294 ± 0.03077  |    1 ± 1     |  0.773 ± 0.7733   | 1.213e-05 ± 1.213e-05  |
