+--------+-------------------+--------------------+---------------------+----------------------+----------------------+-------------------+--------+--------+-------------------+
| Bin#   |        ZZ         |        ttZ         |        Higgs        |          WZ          |        Other         |       Total       |  data  | Ratio  |        WWZ        |
|--------+-------------------+--------------------+---------------------+----------------------+----------------------+-------------------+--------+--------+-------------------+
| Bin0   |       0 ± 0       |       0 ± 0        |        0 ± 0        |        0 ± 0         |        0 ± 0         |       0 ± 0       | 0 ± 0  | 0 ± 0  |       0 ± 0       |
| Bin1   |  308.1 ± 0.4212   | 0.03355 ± 0.01035  |   0.1089 ± 0.2108   |   0.5109 ± 0.1983    | 0.006432 ± 0.003704  |  308.7 ± 0.5112   | 0 ± 0  | 0 ± 0  | 0.3938 ± 0.09736  |
| Bin2   |  586.3 ± 0.5795   |  0.1659 ± 0.02038  |   1.203 ± 0.4063    |   0.5524 ± 0.1624    |  0.01998 ± 0.008118  |  588.2 ± 0.7265   | 0 ± 0  | 0 ± 0  |   0.9933 ± 0.17   |
| Bin3   |  522.1 ± 0.5456   |  0.215 ± 0.02621   |    1.059 ± 0.361    |    1.014 ± 0.3019    |  0.07464 ± 0.05029   |  524.4 ± 0.7227   | 0 ± 0  | 0 ± 0  |  1.315 ± 0.1619   |
| Bin4   |  368.8 ± 0.4578   |  0.3059 ± 0.02965  |   0.8753 ± 0.4516   |    1.203 ± 0.2429    |   0.2199 ± 0.09091   |  371.4 ± 0.6939   | 0 ± 0  | 0 ± 0  |   1.816 ± 0.186   |
| Bin5   |  232.2 ± 0.3632   |  0.363 ± 0.03266   |   0.6084 ± 0.3044   |    1.352 ± 0.3514    |   0.3666 ± 0.1087    |  234.8 ± 0.6008   | 0 ± 0  | 0 ± 0  |  1.942 ± 0.1934   |
| Bin6   |  136.4 ± 0.2787   |  0.3806 ± 0.03479  |   0.3034 ± 0.2738   |    1.231 ± 0.2964    |   0.1933 ± 0.07193   |  138.6 ± 0.4969   | 0 ± 0  | 0 ± 0  |  2.233 ± 0.2214   |
| Bin7   |  76.54 ± 0.2088   |  0.4128 ± 0.03598  |   1.062 ± 0.3352    |   0.9442 ± 0.2049    |   0.3871 ± 0.1143    |  79.34 ± 0.4608   | 0 ± 0  | 0 ± 0  |  2.546 ± 0.2543   |
| Bin8   |  41.86 ± 0.1545   |  0.445 ± 0.03669   |   0.4844 ± 0.232    |    1.091 ± 0.2902    |   0.1206 ± 0.04853   |    44 ± 0.4069    | 0 ± 0  | 0 ± 0  |   2.19 ± 0.249    |
| Bin9   |  22.85 ± 0.1142   |  0.4947 ± 0.03781  |   0.2643 ± 0.2505   |   0.8034 ± 0.2007    |   0.3057 ± 0.1038    |  24.72 ± 0.3582   | 0 ± 0  | 0 ± 0  |  1.667 ± 0.2103   |
| Bin10  |  12.54 ± 0.08473  |  0.4937 ± 0.03765  |   0.3697 ± 0.2131   |   0.6975 ± 0.2219    |   0.1933 ± 0.0783    |  14.29 ± 0.3307   | 0 ± 0  | 0 ± 0  |  1.431 ± 0.1789   |
| Bin11  |  6.637 ± 0.06159  |  0.4389 ± 0.03636  |   0.378 ± 0.2233    |   0.4236 ± 0.1333    |   0.1562 ± 0.06344   |  8.034 ± 0.2771   | 0 ± 0  | 0 ± 0  |  1.403 ± 0.1826   |
| Bin12  |  3.859 ± 0.04723  |  0.417 ± 0.03628   |   0.3368 ± 0.2078   |   0.2298 ± 0.1185    |  0.05306 ± 0.03697   |  4.896 ± 0.2493   | 0 ± 0  | 0 ± 0  |  1.369 ± 0.2078   |
| Bin13  |  2.207 ± 0.03567  |   0.42 ± 0.0347    |   0.1099 ± 0.1665   |   0.171 ± 0.08586    |   0.1104 ± 0.06007   |   3.019 ± 0.203   | 0 ± 0  | 0 ± 0  |   1.1 ± 0.1677    |
| Bin14  |  1.336 ± 0.02788  |  0.3279 ± 0.03214  |   0.1418 ± 0.1021   |   0.3167 ± 0.1157    |   0.2465 ± 0.09464   |   2.369 ± 0.186   | 0 ± 0  | 0 ± 0  |  0.8885 ± 0.1627  |
| Bin15  | 0.8846 ± 0.02257  |  0.3586 ± 0.03336  | -0.09918 ± 0.09985  |   0.2532 ± 0.09393   |  0.04979 ± 0.03796   |  1.447 ± 0.1478   | 0 ± 0  | 0 ± 0  |  1.086 ± 0.1842   |
| Bin16  |  0.6311 ± 0.0192  |  0.2948 ± 0.02923  |  0.02322 ± 0.1386   |    0.1714 ± 0.15     |  0.01434 ± 0.007231  |  1.135 ± 0.2073   | 0 ± 0  | 0 ± 0  |  0.6027 ± 0.1513  |
| Bin17  | 0.3775 ± 0.01484  |  0.2625 ± 0.02887  |  0.01828 ± 0.01698  |    0.3072 ± 0.146    |  0.01787 ± 0.00696   |  0.9834 ± 0.1507  | 0 ± 0  | 0 ± 0  |  0.6832 ± 0.1442  |
| Bin18  | 0.3083 ± 0.01348  |  0.2204 ± 0.02707  |  0.08404 ± 0.08661  |  0.007668 ± 0.07725  | 0.002708 ± 0.004812  |   0.6232 ± 0.12   | 0 ± 0  | 0 ± 0  |  0.7814 ± 0.1627  |
