+--------+------------------------+---------------------+-----------------------+--------------------+-----------------------+----------------------+--------+---------+------------------------+
| Bin#   |           ZZ           |         ttZ         |         Higgs         |         WZ         |         Other         |        Total         |  data  |  Ratio  |          WWZ           |
|--------+------------------------+---------------------+-----------------------+--------------------+-----------------------+----------------------+--------+---------+------------------------+
| Bin0   |         0 ± 0          |        0 ± 0        |         0 ± 0         |       0 ± 0        |         0 ± 0         |        0 ± 0         | 0 ± 0  |  0 ± 0  |         0 ± 0          |
| Bin1   |   0.04648 ± 0.005281   |   2.672 ± 0.09285   |    0.1991 ± 0.0725    |       0 ± 0        |  0.002992 ± 0.004626  |     2.92 ± 0.118     | 0 ± 0  |  0 ± 0  |    0.09983 ± 0.0611    |
| Bin2   |   0.04069 ± 0.004941   |   2.628 ± 0.09106   |   0.2717 ± 0.07245    | 0.04086 ± 0.04086  |   0.04181 ± 0.03483   |    3.023 ± 0.1283    | 0 ± 0  |  0 ± 0  |   0.05598 ± 0.04394    |
| Bin3   |   0.03051 ± 0.004327   |    2.7 ± 0.09327    |   0.2314 ± 0.07051    |       0 ± 0        | -0.002273 ± 0.004293  |    2.959 ± 0.1171    | 0 ± 0  |  0 ± 0  |   0.01141 ± 0.000666   |
| Bin4   |   0.01241 ± 0.002634   |   2.755 ± 0.09304   |    0.274 ± 0.07053    | 0.02693 ± 0.02693  |  0.004496 ± 0.005105  |     3.073 ± 0.12     | 0 ± 0  |  0 ± 0  |  0.01249 ± 0.0007279   |
| Bin5   |  0.006872 ± 0.001976   |   2.673 ± 0.09292   |   0.3868 ± 0.07446    |       0 ± 0        |  0.002773 ± 0.005379  |    3.069 ± 0.1192    | 0 ± 0  |  0 ± 0  |   0.05413 ± 0.04246    |
| Bin6   |  0.004392 ± 0.001749   |   2.56 ± 0.09129    |   0.2368 ± 0.06821    | 0.05166 ± 0.04226  |  0.004524 ± 0.005907  |    2.858 ± 0.1217    | 0 ± 0  |  0 ± 0  |  0.01155 ± 0.0006367   |
| Bin7   |  0.003166 ± 0.001444   |   2.525 ± 0.08911   |   0.1965 ± 0.06915    | 0.01359 ± 0.01359  |  0.01231 ± 0.005377   |    2.751 ± 0.1137    | 0 ± 0  |  0 ± 0  |  0.01108 ± 0.0006872   |
| Bin8   |  0.001238 ± 0.0009076  |   2.114 ± 0.08538   |   0.09471 ± 0.06364   |       0 ± 0        |  0.0002483 ± 0.00368  |    2.211 ± 0.1066    | 0 ± 0  |  0 ± 0  |    0.0518 ± 0.04393    |
| Bin9   |  0.001317 ± 0.0008225  |   2.11 ± 0.08305    |   0.1282 ± 0.06111    |       0 ± 0        |  0.001539 ± 0.004778  |    2.241 ± 0.1032    | 0 ± 0  |  0 ± 0  |  0.004941 ± 0.0004405  |
| Bin10  |  0.002665 ± 0.001232   |   1.694 ± 0.07324   |   0.1662 ± 0.05774    |       0 ± 0        |   0.05313 ± 0.04699   |    1.916 ± 0.1044    | 0 ± 0  |  0 ± 0  |  0.003852 ± 0.0004122  |
| Bin11  |         0 ± 0          |   1.355 ± 0.06504   |   0.1658 ± 0.05175    |       0 ± 0        |   0.00122 ± 0.00122   |   1.522 ± 0.08313    | 0 ± 0  |  0 ± 0  |  0.001744 ± 0.0002757  |
| Bin12  |         0 ± 0          |  0.8863 ± 0.05275   |   0.02624 ± 0.04032   |       0 ± 0        | -0.002156 ± 0.002156  |   0.9104 ± 0.06643   | 0 ± 0  |  0 ± 0  |  0.001028 ± 0.0002216  |
| Bin13  | 0.0009387 ± 0.0006692  |  0.4422 ± 0.04088   |  -0.03273 ± 0.03335   |       0 ± 0        |  -0.00244 ± 0.003616  |   0.408 ± 0.05288    | 0 ± 0  |  0 ± 0  | 0.0003798 ± 6.825e-05  |
| Bin14  |   0.00163 ± 0.001116   |  0.2608 ± 0.03027   |   0.01685 ± 0.02964   |       0 ± 0        |  0.001404 ± 0.001404  |   0.2807 ± 0.0424    | 0 ± 0  |  0 ± 0  |  0.000228 ± 9.383e-05  |
| Bin15  | 0.0004089 ± 0.0004089  |  0.1465 ± 0.02317   |   0.03244 ± 0.02272   |       0 ± 0        |         0 ± 0         |   0.1794 ± 0.03245   | 0 ± 0  |  0 ± 0  | 0.0001586 ± 4.402e-05  |
| Bin16  | 0.0005298 ± 0.0005298  |  0.09635 ± 0.01706  |  -0.002535 ± 0.01377  |       0 ± 0        |         0 ± 0         |  0.09434 ± 0.02193   | 0 ± 0  |  0 ± 0  | 0.0001984 ± 0.0001172  |
| Bin17  |         0 ± 0          |  0.05246 ± 0.01231  |   0.01987 ± 0.01148   |       0 ± 0        |         0 ± 0         |  0.07233 ± 0.01683   | 0 ± 0  |  0 ± 0  | 0.0001497 ± 0.0001146  |
| Bin18  |         0 ± 0          |  0.03699 ± 0.01043  |  -0.008424 ± 0.01406  |       0 ± 0        |   0.00219 ± 0.00219   |  0.03075 ± 0.01764   | 0 ± 0  |  0 ± 0  | 9.649e-05 ± 8.502e-05  |
| Bin19  |         0 ± 0          | 0.004851 ± 0.00691  | -0.009372 ± 0.009372  |       0 ± 0        |         0 ± 0         | -0.004521 ± 0.01164  | 0 ± 0  | -0 ± 0  | 1.213e-05 ± 1.213e-05  |
