+--------+------------------------+-------------------+--------------------+------------------+------------------------+-------------------+--------+--------+------------------------+
| Bin#   |           ZZ           |        ttZ        |       Higgs        |        WZ        |         Other          |       Total       |  data  | Ratio  |          WWZ           |
|--------+------------------------+-------------------+--------------------+------------------+------------------------+-------------------+--------+--------+------------------------+
| Bin0   |         0 ± 0          |       0 ± 0       |       0 ± 0        |      0 ± 0       |         0 ± 0          |       0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin1   |         0 ± 0          |       0 ± 0       |       0 ± 0        |      0 ± 0       |         0 ± 0          |       0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin2   |         0 ± 0          |       0 ± 0       |       0 ± 0        |      0 ± 0       |         0 ± 0          |       0 ± 0       | 0 ± 0  | 0 ± 0  |         0 ± 0          |
| Bin3   |  0.001286 ± 0.0009322  | 0.2839 ± 0.02936  | 0.03861 ± 0.03323  |      0 ± 0       |  0.002156 ± 0.002156   |  0.3259 ± 0.0444  | 0 ± 0  | 0 ± 0  |  0.01081 ± 0.0007112   |
| Bin4   |  0.002375 ± 0.001221   |   0.37 ± 0.0342   |  0.0952 ± 0.04428  |      0 ± 0       |  0.002125 ± 0.002987   | 0.4697 ± 0.05604  | 0 ± 0  | 0 ± 0  |  0.01255 ± 0.0007268   |
| Bin5   |  0.003923 ± 0.001435   | 0.4426 ± 0.03715  | 0.08058 ± 0.04797  |      0 ± 0       |  0.003155 ± 0.002773   | 0.5303 ± 0.06076  | 0 ± 0  | 0 ± 0  |  0.01405 ± 0.0007783   |
| Bin6   |   0.01019 ± 0.002634   | 0.5573 ± 0.04314  | 0.04437 ± 0.04569  |      0 ± 0       |  -0.00147 ± 0.004416   | 0.6104 ± 0.06304  | 0 ± 0  | 0 ± 0  |   0.01346 ± 0.000738   |
| Bin7   |   0.01431 ± 0.002789   |  0.616 ± 0.04558  |  0.1095 ± 0.05121  |      0 ± 0       |      0 ± 0.002077      | 0.7398 ± 0.06865  | 0 ± 0  | 0 ± 0  |   0.0137 ± 0.0007659   |
| Bin8   |   0.02319 ± 0.003818   | 0.7999 ± 0.05033  |  0.1499 ± 0.0445   |      0 ± 0       |  0.0006835 ± 0.005137  | 0.9737 ± 0.06748  | 0 ± 0  | 0 ± 0  |  0.009643 ± 0.0005526  |
| Bin9   |   0.02207 ± 0.003525   | 0.9266 ± 0.05524  | 0.08867 ± 0.05026  |      0 ± 0       |  0.0001643 ± 0.003339  |  1.037 ± 0.07484  | 0 ± 0  | 0 ± 0  |  0.009836 ± 0.0006253  |
| Bin10  |   0.01978 ± 0.003502   | 0.9841 ± 0.05739  | 0.05738 ± 0.05386  |      0 ± 0       |  0.002589 ± 0.001837   |  1.064 ± 0.0788   | 0 ± 0  | 0 ± 0  |  0.006978 ± 0.0004916  |
| Bin11  |    0.01793 ± 0.0034    |  1.178 ± 0.06091  |  0.2123 ± 0.06218  |      0 ± 0       |   0.09288 ± 0.05835    |  1.501 ± 0.1048   | 0 ± 0  | 0 ± 0  |  0.004758 ± 0.0004145  |
| Bin12  |   0.01214 ± 0.002604   |  1.154 ± 0.06084  |  0.2209 ± 0.05593  |      0 ± 0       |   0.001285 ± 0.00237   |  1.388 ± 0.08271  | 0 ± 0  | 0 ± 0  |  0.003095 ± 0.0003774  |
| Bin13  |  0.007586 ± 0.002172   |  1.198 ± 0.0608   |  0.1157 ± 0.05019  |      0 ± 0       |  0.0003666 ± 0.00372   |  1.322 ± 0.07896  | 0 ± 0  | 0 ± 0  |  0.001459 ± 0.0002156  |
| Bin14  |  0.003724 ± 0.001556   |  1.226 ± 0.06227  |  0.1028 ± 0.0415   |      0 ± 0       | -0.0004681 ± 0.002915  |  1.332 ± 0.07491  | 0 ± 0  | 0 ± 0  |   0.04451 ± 0.04393    |
| Bin15  |  0.001425 ± 0.0009075  |  1.148 ± 0.06025  |  0.0338 ± 0.04652  |      0 ± 0       |  0.001037 ± 0.003043   |  1.185 ± 0.07618  | 0 ± 0  | 0 ± 0  | 0.0003275 ± 6.308e-05  |
| Bin16  |  0.002391 ± 0.001197   |  1.026 ± 0.0573   |  0.1289 ± 0.04273  |      0 ± 0       |  0.006651 ± 0.002981   |  1.164 ± 0.07156  | 0 ± 0  | 0 ± 0  | 9.825e-05 ± 3.477e-05  |
| Bin17  |  0.002288 ± 0.001247   |  1.069 ± 0.05734  |  0.1268 ± 0.04215  |      0 ± 0       |  -0.00244 ± 0.001726   |  1.196 ± 0.0712   | 0 ± 0  | 0 ± 0  |  0.000391 ± 0.0001687  |
| Bin18  |  0.000961 ± 0.0006465  |  1.04 ± 0.05746   | 0.06256 ± 0.03789  |      0 ± 0       |  0.004058 ± 0.003138   |  1.108 ± 0.0689   | 0 ± 0  | 0 ± 0  | 8.443e-05 ± 3.196e-05  |
| Bin19  | 0.0009387 ± 0.0006692  | 0.9444 ± 0.05553  | 0.02097 ± 0.03461  |      0 ± 0       |  0.003309 ± 0.002367   | 0.9696 ± 0.06548  | 0 ± 0  | 0 ± 0  | 9.631e-05 ± 3.406e-05  |
