+--------+---------------------+----------------------+--------------------+--------------------+----------------------+---------------------+---------------+-------------------+------------------------+
| Bin#   |         ZZ          |         ttZ          |       Higgs        |         WZ         |        Other         |        Total        |     data      |       Ratio       |          WWZ           |
|--------+---------------------+----------------------+--------------------+--------------------+----------------------+---------------------+---------------+-------------------+------------------------+
| Bin0   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin1   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin2   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin3   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin4   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin5   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin6   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin7   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin8   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin9   |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin10  |        0 ± 0        |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |        0 ± 0        |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin11  |    1730 ± 0.9935    |   0.4753 ± 0.03795   |   2.45 ± 0.6457    |  0.1165 ± 0.1188   |   0.1693 ± 0.07045   |    1733 ± 1.194     | 1666 ± 40.82  | 0.9614 ± 0.02356  |     1.023 ± 0.2296     |
| Bin12  |   5.739 ± 0.05574   |  0.005179 ± 0.00299  | 0.09213 ± 0.09213  |       0 ± 0        |        0 ± 0         |   5.836 ± 0.1077    |   5 ± 2.236   |  0.8568 ± 0.3835  | 0.0001479 ± 4.277e-05  |
| Bin13  |  0.6888 ± 0.01939   |        0 ± 0         |       0 ± 0        |  0.0108 ± 0.0108   |        0 ± 0         |  0.6996 ± 0.02219   |     1 ± 1     |   1.429 ± 1.43    | 2.569e-05 ± 1.818e-05  |
| Bin14  |  0.2021 ± 0.01035   |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         |  0.2021 ± 0.01035   |     0 ± 0     |       0 ± 0       | 0.0001073 ± 0.0001073  |
| Bin15  | 0.08785 ± 0.006689  |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         | 0.08785 ± 0.006689  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin16  | 0.06863 ± 0.005821  |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         | 0.06863 ± 0.005821  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin17  |  0.05055 ± 0.00489  | 0.001436 ± 0.001436  |       0 ± 0        |       0 ± 0        |        0 ± 0         | 0.05198 ± 0.005097  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin18  | 0.04319 ± 0.004668  |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         | 0.04319 ± 0.004668  |     0 ± 0     |       0 ± 0       | 1.213e-05 ± 1.213e-05  |
| Bin19  | 0.02995 ± 0.003982  |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         | 0.02995 ± 0.003982  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin20  | 0.03219 ± 0.003843  |        0 ± 0         |       0 ± 0        |       0 ± 0        |        0 ± 0         | 0.03219 ± 0.003843  |     0 ± 0     |       0 ± 0       |         0 ± 0          |
| Bin21  |  0.2962 ± 0.01202   |        0 ± 0         |       0 ± 0        | 0.06779 ± 0.04894  | 0.001404 ± 0.001404  |  0.3654 ± 0.05041   |   2 ± 1.414   |   5.474 ± 3.944   | 5.113e-05 ± 2.559e-05  |
+--------+---------------------+----------------------+--------------------+--------------------+----------------------+---------------------+---------------+-------------------+------------------------+
