DeepAK8_V2Training; Object, Year, version, MistaggingRate[%], pT_low[GeV], pT_high[GeV], SF, SF_lowerErr, SF_upperErr
Top,2018, Nominal, 0p1,300,400,1.03,0.08,0.09
Top,2018, Nominal, 0p1,400,480,0.95,0.05,0.05
Top,2018, Nominal, 0p1,480,600,0.91,0.03,0.04
Top,2018, Nominal, 0p1,600,1200,0.95,0.05,0.07
Top,2018, Nominal, 0p5,300,400,1.19,0.12,0.12
Top,2018, Nominal, 0p5,400,480,0.98,0.04,0.04
Top,2018, Nominal, 0p5,480,600,0.96,0.03,0.04
Top,2018, Nominal, 0p5,600,1200,0.97,0.05,0.05
Top,2018, Nominal, 1p0,300,400,1.12,0.09,0.14
Top,2018, Nominal, 1p0,400,480,0.99,0.03,0.04
Top,2018, Nominal, 1p0,480,600,0.99,0.03,0.03
Top,2018, Nominal, 1p0,600,1200,0.98,0.06,0.05
W,2018, Nominal, 0p5,200,300,0.90,0.02,0.02
W,2018, Nominal, 0p5,300,400,0.83,0.02,0.05
W,2018, Nominal, 0p5,400,800,0.87,0.04,0.04
W,2018, Nominal, 1p0,200,300,1.02,0.03,0.02
W,2018, Nominal, 1p0,300,400,0.98,0.06,0.01
W,2018, Nominal, 1p0,400,800,1.02,0.13,0.05
W,2018, Nominal, 5p0,200,300,1.05,0.06,0.11
W,2018, Nominal, 5p0,300,400,1.00,0.08,0.08
W,2018, Nominal, 5p0,400,800,1.16,0.14,0.12
W,2018, MassDecorr, 0p5,200,300,0.81,0.03,0.03
W,2018, MassDecorr, 0p5,300,400,0.81,0.02,0.02
W,2018, MassDecorr, 0p5,400,800,0.77,0.04,0.04
W,2018, MassDecorr, 1p0,200,300,0.87,0.02,0.02
W,2018, MassDecorr, 1p0,300,400,0.86,0.02,0.02
W,2018, MassDecorr, 1p0,400,800,0.82,0.04,0.04
W,2018, MassDecorr, 2p5,200,300,0.92,0.02,0.03
W,2018, MassDecorr, 2p5,300,400,0.92,0.02,0.02
W,2018, MassDecorr, 2p5,400,800,0.87,0.04,0.04
Top,2017, Nominal, 0p1,300,400,1.12,0.10,0.12
Top,2017, Nominal, 0p1,400,480,0.96,0.04,0.05
Top,2017, Nominal, 0p1,480,600,1.00,0.05,0.05
Top,2017, Nominal, 0p1,600,1200,0.93,0.06,0.05
Top,2017, Nominal, 0p5,300,400,1.11,0.08,0.12
Top,2017, Nominal, 0p5,400,480,1.01,0.04,0.04
Top,2017, Nominal, 0p5,480,600,1.05,0.04,0.09
